States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
Andhra Pradesh,20,1,0,2,4,2,2,7,0,15,0,621,2,0,29,9,161,871
Assam,6,0,0,1,1,0,1,3,0,10,7,181,19,0,0,0,127,355
Bihar,50,18,4,7,27,7,20,49,6,66,21,1351,33,0,21,2,697,2352
Chhattisgarh,4,1,0,1,0,0,0,1,0,6,9,230,1,0,19,1,113,386
Gujarat,13,5,1,2,6,4,2,4,0,58,21,868,20,0,46,6,266,1316
Haryana,20,4,1,1,1,1,0,3,0,6,0,267,7,0,15,14,520,859
Himachal Pradesh,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,6
Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,8,20
Jharkhand,16,0,0,2,0,0,0,30,2,33,10,312,8,0,6,0,172,591
Karnataka,22,2,0,0,2,0,2,3,0,9,2,401,5,0,23,0,74,543
Kerala,0,0,0,0,0,0,0,0,1,6,0,153,1,0,13,0,30,204
Madhya Pradesh,10,4,4,5,5,2,3,1,4,33,14,1402,1,1,23,4,567,2078
Maharashtra,26,3,2,6,8,7,1,14,1,61,2,2781,27,3,56,7,279,3276
Orissa,10,2,1,3,8,5,3,3,3,20,11,409,7,0,33,5,241,756
Punjab,12,2,2,1,0,0,0,0,0,1,0,51,0,1,16,0,216,302
Rajasthan,7,5,0,0,10,5,5,2,1,11,1,547,4,0,2,1,441,1032
Tamil Nadu,0,2,1,2,0,0,0,1,0,3,2,95,7,0,33,8,292,446
Uttar Pradesh,18,22,6,1,7,3,4,5,0,22,0,761,13,0,7,5,816,1683
West Bengal,26,6,4,1,12,10,2,8,37,16,1,1021,11,0,7,3,193,1346
Delhi UT,5,2,0,1,11,10,1,0,3,3,1,945,0,1,8,1,95,1076
Total (All-India),265,79,26,36,102,56,46,134,58,380,103,12406,166,7,357,67,5312,19498
