Category,State/UT,Estimated Mid Year Population(In Lakhs)#,"Murder(Sec. 302,303 IPC) - (I)","Murder(Sec. 302,303 IPC) - ( R)","Murder(Sec. 302,303 IPC) - (P)",Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - ( R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction(Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - ( R)","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - (P)",Dacoity(Sec. 395-398 IPC) - (I),Dacoity(Sec. 395-398 IPC) - ( R),Dacoity(Sec. 395-398 IPC) - (P),"Robbery(Sec. 392-394,397,398 IPC) - (I)","Robbery(Sec. 392-394,397,398 IPC) - ( R)","Robbery(Sec. 392-394,397,398 IPC) - (P)","Arson(Sec. 435,436,438 IPC) - (I)","Arson(Sec. 435,436,438 IPC) - ( R)","Arson(Sec. 435,436,438 IPC) - (P)","Hurt(Sec. 323-333,335-338 IPC) - (I)","Hurt(Sec. 323-333,335-338 IPC) - ( R)","Hurt(Sec. 323-333,335-338 IPC) - (P)",Prot.Of Civil Rights Act(1955) - (I),Prot.Of Civil Rights Act(1955) - ( R),Prot.Of Civil Rights Act(1955) - (P),SC/ST Prev.Of Attrocities Act(1989) - (I),SC/ST Prev.Of Attrocities Act(1989) - ( R),SC/ST Prev.Of Attrocities Act(1989) - (P),Other Offences - (I),Other Offences - ( R),Other Offences - (P),Total - (I),Total - ( R),Total - (P)
State,Andhra Pradesh,816,11,0,7.9,44,0.1,7,10,0,11.2,0,0,0,0,0,0,4,0,7.4,87,0.1,10.2,3,0,0,303,0.4,27.4,291,0.4,11.1,753,0.9,13.6
State,Arunachal Pradesh,11.9,0,0,0,2,0.2,0.3,4,0.3,4.5,0,0,0,2,0.2,9.5,0,0,0,14,1.2,1.6,0,0,0,0,0,0,10,0.8,0.4,32,2.7,0.6
State,Assam,296.2,4,0,2.9,3,0,0.5,10,0,11.2,3,0,33.3,5,0,23.8,0,0,0,8,0,0.9,0,0,0,0,0,0,16,0.1,0.6,49,0.2,0.9
State,Bihar,928.3,1,0,0.7,9,0,1.4,0,0,0,0,0,0,1,0,4.8,1,0,1.9,14,0,1.6,0,0,0,33,0,3,6,0,0.2,65,0.1,1.2
State,Chhattisgarh,233.9,13,0.1,9.3,81,0.3,12.9,7,0,7.9,1,0,11.1,0,0,0,4,0,7.4,109,0.5,12.7,0,0,0,143,0.6,13,257,1.1,9.8,615,2.6,11.1
State,Goa,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,558.8,13,0,9.3,12,0,1.9,7,0,7.9,0,0,0,2,0,9.5,1,0,1.9,31,0.1,3.6,0,0,0,44,0.1,4,46,0.1,1.8,156,0.3,2.8
State,Haryana,235.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,65.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,2,0,0
State,Jammu & Kashmir,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,297.3,20,0.1,14.3,22,0.1,3.5,7,0,7.9,4,0,44.4,2,0,9.5,0,0,0,66,0.2,7.7,0,0,0,63,0.2,5.7,84,0.3,3.2,268,0.9,4.8
State,Karnataka,569.8,1,0,0.7,3,0,0.5,0,0,0,0,0,0,1,0,4.8,1,0,1.9,13,0,1.5,0,0,0,110,0.2,10,76,0.1,2.9,205,0.4,3.7
State,Kerala,340.1,2,0,1.4,16,0,2.6,0,0,0,0,0,0,0,0,0,3,0,5.6,29,0.1,3.4,0,0,0,4,0,0.4,34,0.1,1.3,88,0.3,1.6
State,Madhya Pradesh,684.6,47,0.1,33.6,288,0.4,45.9,17,0,19.1,0,0,0,2,0,9.5,8,0,14.8,207,0.3,24.2,0,0,0,206,0.3,18.7,726,1.1,27.6,1501,2.2,27.1
State,Maharashtra,1059.7,8,0,5.7,43,0,6.9,8,0,9,1,0,11.1,1,0,4.8,2,0,3.7,10,0,1.2,0,0,0,54,0.1,4.9,112,0.1,4.3,239,0.2,4.3
State,Manipur,26.1,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
State,Meghalaya,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
