Category,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary (Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A - 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
State,Andhra Pradesh,40,13,9,51,0,51,18,9,9,9,4,6,224,540,104,436,22,1,13,0,2,209,7,26,20,13,0,9,79,1315
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,1,0,12,13,32,10,22,0,0,0,0,0,18,0,0,0,0,0,0,21,97
State,Assam,22,1,0,24,0,24,16,12,4,9,0,8,84,248,14,234,27,0,3,1,0,39,0,4,2,1,0,0,50,539
State,Bihar,41,71,2,37,0,37,42,15,27,22,0,25,48,215,16,199,334,0,7,4,1,203,15,6,0,11,0,9,258,1351
State,Chhattisgarh,40,32,1,60,0,60,3,2,1,12,1,24,297,334,61,273,75,2,7,3,4,252,4,44,4,10,0,10,354,1573
State,Goa,0,0,0,2,0,2,1,1,0,0,0,1,15,17,3,14,1,0,0,0,1,1,0,1,0,0,0,2,9,51
State,Gujarat,40,24,1,22,0,22,31,29,2,7,1,41,184,487,173,314,138,0,5,0,3,265,0,15,12,43,0,0,545,1864
State,Haryana,20,19,0,27,0,27,19,13,6,2,26,18,114,202,94,108,75,7,13,0,0,204,5,17,10,21,0,4,289,1092
State,Himachal Pradesh,3,1,0,9,0,9,1,1,0,0,0,0,12,10,2,8,11,0,0,0,0,19,0,5,0,0,0,1,46,118
State,Jammu & Kashmir,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,10
State,Jharkhand,21,8,2,4,0,4,3,2,1,4,0,7,28,107,18,89,13,24,1,0,9,30,0,13,0,0,0,0,95,369
State,Karnataka,18,20,2,10,0,10,4,2,2,3,6,31,75,163,33,130,26,0,4,0,1,42,0,7,0,2,0,0,43,457
State,Kerala,6,6,1,5,0,5,4,2,2,5,2,5,44,97,36,61,74,1,0,0,0,63,0,5,0,0,0,0,42,360
State,Madhya Pradesh,117,124,7,216,0,216,28,22,6,3,2,51,366,595,70,525,111,0,8,0,8,1046,17,204,51,64,0,24,2047,5089
State,Maharashtra,129,101,2,89,0,89,47,32,15,44,34,104,542,1252,224,1028,405,3,24,1,21,1049,6,65,19,94,0,39,429,4499
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,3,2,0,9,0,9,0,0,0,4,0,1,15,30,1,29,0,0,0,0,5,1,0,3,0,0,0,3,29,105
State,Mizoram,0,0,0,2,0,2,0,0,0,0,0,1,7,4,0,4,0,0,0,0,0,1,0,1,0,0,0,0,2,18
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,21,15,1,32,0,32,4,3,1,2,1,9,59,119,3,116,16,0,0,1,1,45,1,13,0,6,0,0,89,435
State,Punjab,1,3,0,3,0,3,0,0,0,0,1,0,18,15,3,12,0,0,0,0,0,7,0,0,0,0,0,0,19,67
State,Rajasthan,47,68,0,48,0,48,18,12,6,1,0,32,208,378,88,290,23,0,6,0,5,196,6,22,0,15,0,2,381,1456
State,Sikkim,2,0,1,6,0,6,0,0,0,0,0,0,6,15,0,15,23,0,2,0,0,17,0,1,0,1,0,0,16,90
State,Tamil Nadu,38,17,1,13,0,13,4,2,2,14,0,1,138,387,56,331,26,0,4,0,0,42,0,2,0,0,0,0,65,752
State,Tripura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
State,Uttar Pradesh,29,3,3,20,0,20,42,37,5,0,0,10,4,63,10,53,10,0,0,1,0,7,9,3,7,18,0,3,90,322
State,Uttarakhand,3,1,2,5,0,5,3,3,0,0,3,1,26,34,4,30,1,2,0,0,0,3,0,0,0,0,0,0,7,91
State,West Bengal,6,3,5,22,0,22,7,1,6,0,3,0,2,23,0,23,2,0,1,0,0,1,0,1,1,1,0,0,11,89
State,Total (States),648,533,40,717,0,717,295,200,95,142,84,388,2531,5368,1023,4345,1413,40,98,12,62,3760,70,458,126,300,0,106,5020,22211
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,10,20
Union Territory,Chandigarh,1,2,1,3,0,3,0,0,0,0,0,1,2,32,6,26,4,0,0,0,0,3,0,0,0,0,0,0,17,66
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Union Territory,Daman & Diu,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,7
