Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
State,Andhra Pradesh,11555,5355,9833,51875,78618
State,Arunachal Pradesh,68,4276,81,1347,5772
State,Assam,2459,5061,5492,39037,52049
State,Bihar,5550,1649,2725,45951,55875
State,Chhattisgarh,1432,2850,887,24801,29970
State,Goa,105,409,68,4093,4675
State,Gujarat,11015,12015,4530,45147,72707
State,Haryana,2506,0,248,40353,43107
State,Himachal Pradesh,2775,805,188,8069,11837
State,Jammu & Kashmir,2990,3037,36603,19081,61711
State,Jharkhand,3438,6886,1476,28698,40498
State,Karnataka,8787,2414,3850,38241,53292
State,Kerala,6601,601,5948,30508,43658
State,Madhya Pradesh,NA,NA,NA,NA,NA
State,Maharashtra,18829,11525,5145,114072,149571
State,Manipur,293,4580,1860,9601,16334
State,Meghalaya,386,6802,143,1833,9164
State,Mizoram,261,7031,41,409,7742
State,Nagaland,346,8641,109,1210,10306
State,Orissa,6058,7160,915,24139,38272
State,Punjab,17086,3,228,54610,71927
State,Rajasthan,10110,8070,2012,44326,64518
State,Sikkim,168,736,0,2056,2960
State,Tamil Nadu,14095,645,3135,70098,87973
State,Tripura,3492,6247,896,11183,21818
State,Uttar Pradesh,26229,1214,6590,117447,151480
State,Uttarakhand,3109,786,373,9636,13904
State,West Bengal,13261,3476,6876,56458,80071
State,Total (States),173004,112274,100252,894279,1279809
Union Territory,A & N Islands,0,245,240,2320,2805
Union Territory,Chandigarh,542,1,12,3508,4063
Union Territory,D & N Haveli,22,110,3,83,218
Union Territory,Daman & Diu,77,5,9,125,216
Union Territory,Delhi,10287,4055,1258,43025,58625
Union Territory,Lakshadweep,1,217,2,70,290
Union Territory,Puducherry,421,0,67,1841,2329
Union Territory,Total (UTs),11350,4633,1591,50972,68546
Total (All-India),Total (All-India),184354,116907,101843,945251,1348355
