Category,Crime Head,Below 18 Years,Between 18 - 30 Years,Between 30 -45 Years,Between 45 - 60 Years,Above 60 Years,Total (All Age Groups)
A. Offences under IT Act,Tampering computer source documents,0,11,13,2,0,26
A. Offences under IT Act,Hacking with Computer Systems - i) Loss/damage to computer resource/utility,0,26,14,1,0,41
A. Offences under IT Act,Hacking with Computer Systems - ii) Hacking,0,8,7,0,0,15
A. Offences under IT Act,Obscene publication/transmission in electronic form,4,61,21,3,1,90
A. Offences under IT Act,Failure - i) Of compliance/orders of certifying Authority,0,1,0,1,0,2
A. Offences under IT Act,Failure - ii) To assist in decrypting the information intercepted by Govt,0,0,0,0,0,0
A. Offences under IT Act,Un-authorised access/attempt to access of protected Computer system,0,0,1,0,0,1
A. Offences under IT Act,Obtaining License or Digital Signature Certificate by misrepresentation/suppression of fact,0,0,0,0,0,0
A. Offences under IT Act,Publishing false digital Signature Certificate,0,0,0,0,0,0
A. Offences under IT Act,Fraud Digital Signature Certificate,0,0,0,0,0,0
A. Offences under IT Act,Breach of confidentiality/privacy,0,2,1,0,0,3
A. Offences under IT Act,Other,0,0,0,0,0,0
A. Offences under IT Act,Total (A),4,109,57,7,1,178
B. Offences under IPC,Offences by/Against Public Servant,0,0,0,0,0,0
B. Offences under IPC,False electronic evidence,0,0,0,0,0,0
B. Offences under IPC,Destruction of electronic evidence,0,0,0,0,0,0
B. Offences under IPC,Forgery,0,20,34,7,0,61
B. Offences under IPC,Criminal Breach of Trust/Fraud,0,24,58,14,0,96
B. Offences under IPC,Counterfeiting - i) Property/mark,2,8,10,0,0,20
B. Offences under IPC,Counterfeiting - ii) Tampering,0,0,0,0,0,0
B. Offences under IPC,Counterfeiting - iii)Currency/Stamps,0,8,9,1,0,18
B. Offences under IPC,Total( B),2,60,111,22,0,195
Grant Total (A+B),Grant Total (A+B),6,169,168,29,1,373
