Sl. No.,Crime Head,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases in Which - Investigation Refused,No. of Cases in Which - Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc,No. of Cases in Which - Investigation was Completed - Final Report True Submitted,No. of Cases in Which - Investigation was Completed - Charge Sheets Submitted,No. of Cases in Which - Investigation was Completed - Total,No. of Cases Pending Investigation at the end of the year
1,Murder (Sec.302 & 303 IPC),56136,4,270,1414,5147,25546,32107,23755
2,Attempt To Commit Murder (Sec. 307 IPC),42754,8,286,1339,2867,23244,27450,15010
3,"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",5471,2,2,222,425,2936,3583,1884
4,Rape (Sec. 376 IPC) - Total,30933,2,26,1785,1152,17614,20551,10354
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,1,0,0,0,0,0,0,1
4,Rape (Sec. 376 IPC) - (ii) Other Rape,30932,2,26,1785,1152,17614,20551,10353
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",48392,33,94,6011,5955,16392,28358,19907
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",35530,23,51,4383,4347,12451,21181,14275
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",12862,10,43,1628,1608,3941,7177,5632
6,Dacoity (Sec.395-398 IPC),10531,0,80,381,1210,3115,4706,5745
7,Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),5152,0,5,8,93,2750,2851,2296
8,"Robbery (Sec.392-394, 397,398 IPC)",32268,3,37,1239,5966,13103,20308,11920
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",131402,5,58,2924,52750,37918,93592,37747
10,Theft (Sec.379 - 382 IPC) - Total,443129,54,536,10738,173615,123266,307619,134920
10,Theft (Sec.379 - 382 IPC) - (i) Auto Theft,159672,39,124,3300,79429,33168,115897,43612
10,Theft (Sec.379 - 382 IPC) - (ii) Other Theft,283457,15,412,7438,94186,90098,191722,91308
11,"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",94633,40,50,3898,6219,53105,63222,31321
12,Criminal Breach Of Trust (Sec.406-409 IPC),29022,6,73,1965,4141,9926,16032,12911
13,"Cheating (Sec.419,420 IPC)",111949,9,86,15397,13008,36531,64936,46918
14,"Counterfeiting (Sec.231-254, 489a-489d IPC)",5492,0,33,68,1252,1200,2520,2939
15,"Arson (Sec.435,436,438 IPC)",13338,5,29,855,2344,5462,8661,4643
16,"Hurt (Sec.323-333,335-338 IPC)",340378,6,138,10005,15486,255819,281310,58924
17,Dowry Deaths (Sec.304b IPC),12248,3,22,481,522,6700,7703,4520
18,Molestation (Sec. 354 IPC),48572,12,14,2529,1388,34613,38530,10016
19,Sexual Harassment (Sec.509 IPC),13875,0,0,373,371,11130,11874,2001
20,Cruelty By Husband And Relatives (Sec. 498a IPC),105809,18,68,7616,4374,64802,76792,28931
21,Importation Of Girls (Sec.366b IPC),161,0,0,8,27,70,105,56
22,Causing Death By Negligence (Sec. 304a IPC),116299,37,196,3637,15733,69666,89036,27030
23,Other IPC Crimes,1054743,169,1096,49318,78505,732280,860103,193375
24,Total Cognizable Crimes Under IPC,2752687,416,3199,122211,392550,1547188,2061949,687123
