Crime Head,2007,2008,Percentage Variation in 2008 Over 2007,Percentage Share of Arrestees under Each Crime during 2008
Murder (Sec.302 & 303 IPC),63269,61455,-2.9,2.1
Attempt To Commit Murder (Sec. 307 IPC),63817,66467,4.2,2.3
"C.H. Not Amounting Murder (Sec.304 , 308 IPC)",6802,6684,-1.7,0.2
Rape (Sec. 376 IPC) - Total,25363,25036,-1.3,0.9
Rape (Sec. 376 IPC) - (i) Custodial Rape,0,0,NA,0
Rape (Sec. 376 IPC) - (ii) Other Rape,25363,25036,-1.3,0.9
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total",35562,38181,7.4,1.3
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) Of Women & Girls",23658,27208,15,0.9
"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) Of Others",11904,10973,-7.8,0.4
Dacoity (Sec.395-398 IPC),18117,17810,-1.7,0.6
Preparation & Assembly For Dacoity (Sec.399 To 402 IPC),12585,12494,-0.7,0.4
"Robbery (Sec.392-394, 397,398 IPC)",29820,31684,6.3,1.1
"Burglary (Sec.449-452,454,455,457-460 IPC)",67060,67836,1.2,2.4
Theft (Sec.379 - 382 IPC) - Total,194182,208311,7.3,7.2
Theft (Sec.379 - 382 IPC) - (i) Auto Theft,43981,47566,8.2,1.7
Theft (Sec.379 - 382 IPC) - (ii) Other Theft,150201,160745,7,5.6
"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",314946,332934,5.7,11.6
Criminal Breach Of Trust (Sec.406-409 IPC),18457,19895,7.8,0.7
"Cheating (Sec.419,420 IPC)",62385,65080,4.3,2.3
"Counterfeiting (Sec.231-254, 489a-489d IPC)",2603,2676,2.8,0.1
"Arson (Sec.435,436,438 IPC)",11903,11430,-4,0.4
"Hurt (Sec.323-333,335-338 IPC)",485217,502137,3.5,17.4
Dowry Deaths (Sec.304b IPC),22113,22624,2.3,0.8
Molestation (Sec. 354 IPC),48003,48835,1.7,1.7
Sexual Harassment (Sec.509 IPC),13753,14943,8.7,0.5
Cruelty By Husband And Relatives (Sec. 498a IPC),156412,164861,5.4,5.7
Importation Of Girls (Sec.366b IPC),95,125,31.6,0
Causing Death By Negligence (Sec. 304a IPC),72931,77524,6.3,2.7
Other IPC Crimes,1055164,1083264,2.7,37.6
Total Cognizable Crimes Under IPC,2780559,2882286,3.7,100
