Sl. No.,Category,States/ UTs,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India/ Cities Total,Estimated mid-Year Population** (In Lakhs),Rate of Total Cognizable Crimes,Rank of Criminality *
1,State,Andhra Pradesh,179275,8.6,824.61,217.4,11
2,State,Arunachal Pradesh,2374,0.1,12.04,197.2,16
3,State,Assam,53333,2.5,300.79,177.3,18
4,State,Bihar,122669,5.9,943.06,130.1,27
5,State,Chhattisgarh,51442,2.5,237.74,216.4,12
6,State,Goa,2742,0.1,16.44,166.8,19
7,State,Gujarat,123808,5.9,566.65,218.5,10
8,State,Haryana,55344,2.6,238.9,231.7,8
9,State,Himachal Pradesh,13976,0.7,65.71,212.7,13
10,State,Jammu & Kashmir,20604,1,125.02,164.8,20
11,State,Jharkhand,38686,1.8,301.44,128.3,28
12,State,Karnataka,127540,6.1,576.02,221.4,9
13,State,Kerala,110620,5.3,343.4,322.1,3
14,State,Madhya Pradesh,206556,9.9,696.83,296.4,4
15,State,Maharashtra,206243,9.9,1073.47,192.1,17
16,State,Manipur,3349,0.2,26.37,127,29
17,State,Meghalaya,2318,0.1,25.47,91,33
18,State,Mizoram,1989,0.1,9.84,202.1,15
19,State,Nagaland,1202,0.1,21.96,54.7,35
20,State,Orissa,56755,2.7,400.33,141.8,23
21,State,Punjab,35314,1.7,266.89,132.3,25
22,State,Rajasthan,151174,7.2,649.94,232.6,7
23,State,Sikkim,730,0,5.96,122.5,30
24,State,Tamil Nadu,176833,8.4,665.76,265.6,6
25,State,Tripura,5336,0.3,35.24,151.4,21
26,State,Uttar Pradesh,168996,8.1,1920.49,88,34
27,State,Uttarakhand,8856,0.4,95.43,92.8,32
28,State,West Bengal,105419,5,882.07,119.5,31
State,State,Total (states),2033483,97.1,11327.87,179.5,NA
29,Union Territory,A & N Islands,882,0,4.15,212.5,14
30,Union Territory,Chandigarh,3931,0.2,10.71,367,2
31,Union Territory,D & N Haveli,401,0,2.65,151.3,22
32,Union Territory,Daman & Diu,248,0,1.89,131.2,26
33,Union Territory,Delhi,49350,2.4,172.5,286.1,5
34,Union Territory,Lakshadweep,95,0,0.69,137.7,24
35,Union Territory,Puducherry,4989,0.2,10.8,461.9,1
Union Territory,Union Territory,Total (UTs),59896,2.9,203.39,294.5,NA
Total (All-india),Total (All-india),Total (All-india),2093379,100,11531.26,181.5,NA
1,City,Agra,4826,1.4,13.21,365.3,17
2,City,Ahmedabad,18544,5.3,45.19,410.4,12
3,City,Allahabad,2068,0.6,10.5,197,31
4,City,Amritsar,2327,0.7,10.11,230.2,26
5,City,Asansol,1676,0.5,10.91,153.6,33
6,City,Bengaluru,29664,8.5,56.87,521.6,7
7,City,Bhopal,11515,3.3,14.55,791.4,2
8,City,Chennai,11829,3.4,64.25,184.1,32
9,City,Coimbatore,4180,1.2,14.46,289.1,23
10,City,Delhi (city),44573,12.8,127.91,348.5,19
11,City,Dhanbad,1302,0.4,10.64,122.4,34
12,City,Faridabad,4516,1.3,10.55,428.1,11
13,City,Hyderabad,18567,5.3,55.34,335.5,20
14,City,Indore,15430,4.4,16.39,941.4,1
15,City,Jabalpur,5128,1.5,11.17,459.1,10
16,City,Jaipur,15407,4.4,23.24,663,3
17,City,Jamshedpur,2685,0.8,11.02,243.6,24
18,City,Kanpur,8885,2.6,26.9,330.3,22
19,City,Kochi,7956,2.3,13.55,587.2,4
20,City,Kolkata,13005,3.7,132.17,98.4,35
21,City,Lucknow,11735,3.4,22.67,517.6,8
22,City,Ludhiana,2847,0.8,13.95,204.1,29
23,City,Madurai,2470,0.7,11.95,206.7,28
24,City,Meerut,2765,0.8,11.67,236.9,25
25,City,Mumbai,32770,9.4,163.68,200.2,30
26,City,Nagpur,8661,2.5,21.23,408,13
27,City,Nasik,3813,1.1,11.52,331,21
28,City,Patna,9014,2.6,17.07,528.1,6
29,City,Pune,14467,4.2,37.56,385.2,14
30,City,Rajkot,5525,1.6,10.02,551.4,5
31,City,Surat,10741,3.1,28.11,382.1,15
32,City,Vadodara,5386,1.6,14.92,361,18
33,City,Varanasi,2734,0.8,12.12,225.6,27
34,City,Vijayawada,5127,1.5,10.11,507.1,9
35,City,Vishakhapatnam,5015,1.4,13.29,377.4,16
City,City,Total (Cities),347153,100,1078.8,321.8,NA
