Sl. No.,Category,States/ UTs,Area (In Sqr. Kms.),Estimated Mid-Year Population (in Thousands),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+SI+ASI of Civ. Pol.),No. of Policemen Per 100 Sqr. Kms. of Area,"No. of Policemen Per 1,00,000 of Population",No. of IPC Cases Per Civil Police Man,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
1,State,Andhra Pradesh,275045,82461,238579,253893,492472,66463,14801,81264,81.8,8321,72943,01:09,6755,29.5,99,3.6,1450.86,178537
2,State,Arunachal Pradesh,83743,1204,3319,140,3459,3436,3841,7277,47.2,786,6491,01:08,515,8.7,604,1,123.13,169204
3,State,Assam,78438,30079,105881,7385,113266,27900,23829,51729,53.9,6334,45395,01:07,4876,65.9,172,3.8,752.06,145385
4,State,Bihar,94163,94306,204937,20511,225448,47416,12675,60091,78.9,10954,49137,01:04,9671,63.8,64,4.3,897.8,149407
5,State,Chhattisgarh,135191,23774,56327,247451,303778,17392,16969,34361,50.6,3521,30840,01:09,1523,25.4,145,3.2,468,136201
6,State,Goa,3702,1644,4811,2887,7698,3962,665,4627,85.6,457,4170,01:09,389,125,281,1.2,93.39,201837
7,State,Gujarat,196024,56665,139926,220211,360137,45703,12463,58166,78.6,10528,47638,01:05,9001,29.7,103,3.1,986.81,169654
8,State,Haryana,44212,23890,65883,24632,90515,36460,6108,42568,85.7,5019,37549,01:07,4313,96.3,178,1.8,772.76,181535
9,State,Himachal Pradesh,55673,6571,17653,5119,22772,9776,3270,13046,74.9,1970,11076,01:06,1536,23.4,199,1.8,248.01,190104
10,State,Jammu & Kashmir,101387,12502,26824,3459,30283,39035,24733,63768,61.2,6402,57366,01:09,4586,62.9,510,0.7,1109.37,173970
