Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which (Col. 5) - Investigation Refused,No. of Cases in Which Investigation Completed (Col. 6) - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in Which Investigation Completed (Col. 7) - Final Report True Submitted,No. of Cases in Which Investigation Completed (Col. 8) - Charge Sheets Submitted,No. of Cases in Which Investigation Completed (Col. 9) - Total = Col. {(6) + (7) + (8)},No. of Cases Pending Investigation at the end of the year (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),ChargeSheeting Rate (Col. 13) = Col. ((8) / (7+8) × 100)
State,Andhra Pradesh,5192,0,11,1630,137,1744,3511,1670,32.2,15.8,92.7
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,NA,0,NA
State,Assam,263,0,0,38,21,37,96,167,63.5,1.6,63.8
State,Bihar,6440,0,0,324,420,1937,2681,3759,58.4,35.7,82.2
State,Chhattisgarh,710,3,2,7,20,590,617,88,12.4,0.8,96.7
State,Goa,7,0,0,0,3,3,6,1,14.3,0,50
State,Gujarat,1320,0,3,23,38,1119,1180,137,10.4,1.3,96.7
State,Haryana,386,0,0,61,8,278,347,39,10.1,0.4,97.2
State,Himachal Pradesh,89,0,0,33,2,31,66,23,25.8,0.2,93.9
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,NA,0,NA
State,Jharkhand,919,0,0,38,106,272,416,503,54.7,4.8,72
State,Karnataka,2733,0,42,361,116,1808,2285,406,14.9,3.9,94
State,Kerala,722,0,1,62,156,275,493,228,31.6,2.2,63.8
State,Madhya Pradesh,3256,0,0,61,38,3003,3102,154,4.7,1.5,98.8
State,Maharashtra,1576,3,2,99,28,1031,1158,413,26.2,3.9,97.4
State,Manipur,0,0,0,0,0,0,0,0,NA,0,NA
State,Meghalaya,0,0,0,0,0,0,0,0,NA,0,NA
State,Mizoram,0,0,0,0,0,0,0,0,NA,0,NA
State,Nagaland,0,0,0,0,0,0,0,0,NA,0,NA
State,Orissa,2845,0,3,184,54,1367,1605,1237,43.5,11.7,96.2
State,Punjab,242,0,1,52,30,86,168,73,30.2,0.7,74.1
State,Rajasthan,4568,0,0,2287,32,1952,4271,297,6.5,2.8,98.4
State,Sikkim,19,0,0,0,1,12,13,6,31.6,0.1,92.3
State,Tamil Nadu,2079,0,5,516,65,968,1549,525,25.3,5,93.7
State,Tripura,4,0,0,0,0,3,3,1,25,0,100
State,Uttar Pradesh,8638,0,0,844,1100,5980,7924,714,8.3,6.8,84.5
State,Uttarakhand,53,0,0,3,8,35,46,7,13.2,0.1,81.4
State,West Bengal,34,0,0,0,4,8,12,22,64.7,0.2,66.7
State,Total (States),42095,6,70,6623,2387,22539,31549,10470,24.9,99.3,90.4
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Chandigarh,4,0,0,0,0,2,2,2,50,0,100
Union Territory,D & N Haveli,1,0,0,0,0,1,1,0,0,0,100
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Delhi,85,0,1,3,1,19,23,61,71.8,0.6,95
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Puducherry,33,0,0,6,0,17,23,10,30.3,0.1,100
Union Territory,Total (UTs),123,0,1,9,1,39,49,73,59.3,0.7,97.5
Total (All-India),Total (All-India),42218,6,71,6632,2388,22578,31598,10543,25,100,90.4
