Sl. No.,Category,States/ UTs,Total No. of Persons Under Trial Including Those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,10930,114,3396,7420,384,67.9,4
2,State,Arunachal Pradesh,1,0,0,1,0,100,0
3,State,Assam,223,0,63,160,18,71.7,0.1
4,State,Bihar,15817,105,2644,13068,372,82.6,7
5,State,Chhattisgarh,3689,108,723,2858,280,77.5,1.5
6,State,Goa,4,0,0,4,0,100,0
7,State,Gujarat,21184,13,2613,18558,86,87.6,10
8,State,Haryana,1905,0,358,1547,36,81.2,0.8
9,State,Himachal Pradesh,700,54,109,537,4,76.7,0.3
10,State,Jammu & Kashmir,14,0,0,14,0,100,0
11,State,Jharkhand,1159,29,374,756,77,65.2,0.4
12,State,Karnataka,19291,8,6015,13268,143,68.8,7.1
13,State,Kerala,2069,15,561,1493,12,72.2,0.8
14,State,Madhya Pradesh,30598,825,8814,20959,3051,68.5,11.2
15,State,Maharashtra,20453,34,2073,18346,127,89.7,9.8
16,State,Manipur,0,0,0,0,0,NA,0
17,State,Meghalaya,0,0,0,0,0,NA,0
18,State,Mizoram,0,0,0,0,0,NA,0
19,State,Nagaland,0,0,0,0,0,NA,0
20,State,Orissa,10214,0,1319,8895,140,87.1,4.8
21,State,Punjab,889,0,210,679,31,76.4,0.4
22,State,Rajasthan,18884,366,2856,15662,1263,82.9,8.4
23,State,Sikkim,23,0,14,9,11,39.1,0
24,State,Tamil Nadu,7252,28,2196,5028,311,69.3,2.7
25,State,Tripura,16,0,6,10,0,62.5,0
26,State,Uttar Pradesh,73439,139,16750,56550,9655,77,30.3
27,State,Uttarakhand,626,0,222,404,112,64.5,0.2
28,State,West Bengal,40,0,10,30,1,75,0
State,State,Total (States),239420,1838,51326,186256,16114,77.8,99.9
29,Union Territory,A & N Islands,0,0,0,0,0,NA,0
30,Union Territory,Chandigarh,5,0,0,5,0,100,0
31,Union Territory,D & N Haveli,11,0,3,8,0,72.7,0
32,Union Territory,Daman & Diu,4,0,4,0,0,0,0
33,Union Territory,Delhi,107,0,3,104,2,97.2,0.1
34,Union Territory,Lakshadweep,0,0,0,0,0,NA,0
35,Union Territory,Puducherry,130,10,34,86,0,66.2,0
Union Territory,Union Territory,Total (UTs),257,10,44,203,2,79,0.1
Total (All India),Total (All India),Total (All India),239677,1848,51370,186459,16116,77.8,100
