Sl. No.,Category,States/ UTs,2006,2007,2008,Percentage Variation in - 2007 over 2006,Percentage Variation in - 2008 over 2007
1,State,Andhra Pradesh,6,2,4,-66.7,100
2,State,Arunachal Pradesh,0,0,0,NA,NA
3,State,Assam,16,11,10,-31.3,-9.1
4,State,Bihar,15,4,3,-73.3,-25
5,State,Chhattisgarh,5,1,2,-80,100
6,State,Goa,0,0,3,NA,NA
7,State,Gujarat,2,2,1,0,-50
8,State,Haryana,11,11,7,0,-36.4
9,State,Himachal Pradesh,0,0,0,NA,NA
10,State,Jammu & Kashmir,0,0,0,NA,NA
11,State,Jharkhand,2,2,5,0,150
12,State,Karnataka @,2,5,3,150,-40
13,State,Kerala,4,6,4,50,-33.3
14,State,Madhya Pradesh,7,13,5,85.7,-61.5
15,State,Maharashtra,23,39,19,69.6,-51.3
16,State,Manipur,0,0,0,NA,NA
17,State,Meghalaya,0,0,0,NA,NA
18,State,Mizoram,0,0,0,NA,NA
19,State,Nagaland,0,0,0,NA,NA
20,State,Orissa,2,0,1,-100,NA
21,State,Punjab,9,8,6,-11.1,-25
22,State,Rajasthan,8,6,15,-25,150
23,State,Sikkim,0,0,0,NA,NA
24,State,Tamil Nadu,25,13,9,-48,-30.8
25,State,Tripura,0,0,0,NA,NA
26,State,Uttar Pradesh,32,26,24,-18.8,-7.7
27,State,Uttarakhand,15,30,22,100,-26.7
28,State,West Bengal,5,7,2,40,-71.4
State,State,Total (States),189,186,145,-1.6,-22
29,Union Territory,A & N Islands,0,0,0,NA,NA
30,Union Territory,Chandigarh,0,0,0,NA,NA
31,Union Territory,D & N Haveli,0,0,0,NA,NA
32,Union Territory,Daman & Diu,0,0,0,NA,NA
33,Union Territory,Delhi,0,0,0,NA,NA
34,Union Territory,Lakshadweep,0,0,0,NA,NA
35,Union Territory,Puducherry,0,0,0,NA,NA
Union Territory,Union Territory,Total (UTs),0,0,0,NA,NA
Total (All-India),Total (All-India),Total (All-India),189,186,145,-1.6,-22
