Sl. No.,Category,States/ UTs,Estimated Mid Year Population (In Lakhs)#,"Murder (Sec. 302,303 IPC) - I","Murder (Sec. 302,303 IPC) - R","Murder (Sec. 302,303 IPC) - P",Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dacoity (Sec. 395-398 IPC) - I,Dacoity (Sec. 395-398 IPC) - R,Dacoity (Sec. 395-398 IPC) - P,"Robbery (Sec. 392-394,397,398 IPC) - I","Robbery (Sec. 392-394,397,398 IPC) - R","Robbery (Sec. 392-394,397,398 IPC) - P","Arson (Sec. 435,436,438 IPC) - I","Arson (Sec. 435,436,438 IPC) - R","Arson (Sec. 435,436,438 IPC) - P","Hurt (Sec. 323-333,335-338 IPC) - I","Hurt (Sec. 323-333,335-338 IPC) - R","Hurt (Sec. 323-333,335-338 IPC) - P",Prot.of Civil Rights Act (1955) - I,Prot.of Civil Rights Act (1955) - R,Prot.of Civil Rights Act (1955) - P,SC/ST Prev.of Attrocities Act (1989) - I,SC/ST Prev.of Attrocities Act (1989) - R,SC/ST Prev.of Attrocities Act (1989) - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,824.6,7,0,5.5,37,0,6.3,2,0,2.2,0,0,0,0,0,0,2,0,4.1,123,0.1,14.1,5,0,83.3,258,0.3,25.2,316,0.4,11.3,750,0.9,13.4
2,State,Arunachal Pradesh,12,0,0,0,0,0,0,2,0.2,2.2,0,0,0,0,0,0,0,0,0,38,3.2,4.4,0,0,0,0,0,0,23,1.9,0.8,63,5.2,1.1
3,State,Assam,300.8,7,0,5.5,7,0,1.2,13,0,14,5,0,35.7,6,0,33.3,7,0,14.3,26,0.1,3,0,0,0,0,0,0,59,0.2,2.1,130,0.4,2.3
4,State,Bihar,943.1,1,0,0.8,1,0,0.2,0,0,0,0,0,0,1,0,5.6,1,0,2,17,0,1.9,0,0,0,54,0.1,5.3,24,0,0.9,99,0.1,1.8
5,State,Chhattisgarh,237.7,21,0.1,16.4,100,0.4,17.1,6,0,6.5,1,0,7.1,1,0,5.6,4,0,8.2,110,0.5,12.6,0,0,0,141,0.6,13.8,230,1,8.2,614,2.6,11
6,State,Goa,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0
7,State,Gujarat,566.7,5,0,3.9,26,0,4.4,13,0,14,3,0,21.4,1,0,5.6,1,0,2,43,0.1,4.9,1,0,16.7,66,0.1,6.5,64,0.1,2.3,223,0.4,4
8,State,Haryana,238.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,301.4,4,0,3.1,18,0.1,3.1,5,0,5.4,1,0,7.1,0,0,0,1,0,2,50,0.2,5.7,0,0,0,104,0.3,10.2,48,0.2,1.7,231,0.8,4.1
12,State,Karnataka,576,3,0,2.3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1.8,0,0,0,172,0.3,16.8,203,0.4,7.3,400,0.7,7.2
13,State,Kerala,343.4,1,0,0.8,23,0.1,3.9,1,0,1.1,0,0,0,0,0,0,0,0,0,36,0.1,4.1,0,0,0,2,0,0.2,43,0.1,1.5,106,0.3,1.9
14,State,Madhya Pradesh,696.8,45,0.1,35.2,234,0.3,40,20,0,21.5,1,0,7.1,0,0,0,11,0,22.4,169,0.2,19.4,0,0,0,0,0,0,591,0.8,21.2,1071,1.5,19.2
15,State,Maharashtra,1073.5,11,0,8.6,46,0,7.9,7,0,7.5,3,0,21.4,1,0,5.6,8,0,16.3,18,0,2.1,0,0,0,47,0,4.6,127,0.1,4.5,268,0.2,4.8
16,State,Manipur,26.4,0,0,0,0,0,0,1,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,State,Meghalaya,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
