Sl. No.,Category,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. Not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) of Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) of Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery (Sec 392-394, 397, 398 IPC)","Burglary (Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231-254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husbandand Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,28,14,3,45,0,45,18,14,4,1,0,18,243,427,77,350,14,1,12,0,3,178,2,28,26,2,0,17,90,1170
2,State,Arunachal Pradesh,0,0,0,0,0,0,1,1,0,2,0,5,11,25,11,14,1,0,0,0,0,12,0,3,0,0,0,0,16,76
3,State,Assam,30,1,3,40,0,40,27,12,15,4,0,13,62,207,11,196,40,0,4,1,6,37,0,1,0,0,0,0,58,534
4,State,Bihar,56,42,1,36,0,36,53,24,29,9,0,28,38,184,30,154,246,20,21,0,5,125,7,6,2,9,0,1,252,1141
5,State,Chhattisgarh,54,53,0,82,0,82,22,17,5,13,0,24,380,319,85,234,79,0,6,0,16,346,1,74,13,10,0,16,1328,2836
6,State,Goa,1,0,0,1,0,1,1,1,0,2,0,1,10,15,6,9,3,0,1,0,0,1,0,2,1,0,0,0,9,48
7,State,Gujarat,42,21,0,13,0,13,21,19,2,13,0,33,179,481,179,302,119,4,3,1,2,281,0,17,1,34,0,8,420,1693
8,State,Haryana,23,20,3,20,0,20,27,21,6,4,18,14,162,246,103,143,68,14,28,2,1,201,4,16,20,19,0,5,240,1155
9,State,Himachal Pradesh,3,3,0,5,0,5,1,1,0,0,0,0,20,27,9,18,9,0,1,2,0,8,0,2,0,0,0,0,41,122
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,8
11,State,Jharkhand,23,10,0,30,0,30,11,2,9,32,3,19,26,93,10,83,45,2,1,0,1,57,1,9,0,3,0,0,74,440
12,State,Karnataka,19,16,0,8,0,8,1,0,1,5,3,25,56,85,29,56,12,0,0,1,0,21,1,4,0,1,0,1,31,290
13,State,Kerala,10,8,0,14,0,14,1,1,0,3,4,10,66,100,25,75,87,0,0,0,1,107,0,10,1,1,0,1,81,505
14,State,Madhya Pradesh,122,144,4,196,0,196,39,31,8,9,13,85,404,600,148,452,143,0,6,1,10,1207,20,205,37,50,0,61,1858,5214
15,State,Maharashtra,141,98,3,103,0,103,28,22,6,44,14,99,529,1438,353,1085,402,10,36,9,16,1031,6,84,23,82,0,31,370,4597
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,5,1,0,9,0,9,5,2,3,8,0,1,1,25,3,22,0,0,0,0,0,1,0,1,0,0,0,0,40,97
18,State,Mizoram,0,0,0,1,0,1,1,0,1,0,0,0,20,20,0,20,0,0,0,0,0,2,0,2,0,0,0,0,6,52
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,16,13,0,24,0,24,7,7,0,2,1,18,79,161,0,161,14,0,1,0,1,29,0,9,4,1,0,3,94,477
21,State,Punjab,7,2,2,9,0,9,1,0,1,0,3,0,8,14,3,11,0,1,1,0,0,18,0,2,0,0,0,1,11,80
22,State,Rajasthan,50,72,0,45,0,45,46,36,10,1,1,50,192,364,100,264,37,0,8,0,5,175,6,28,0,6,0,13,443,1542
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,4,1,0,0,0,2,1,0,0,0,0,0,0,1,16
24,State,Tamil Nadu,26,17,0,7,0,7,3,3,0,3,0,13,106,410,56,354,23,0,0,0,3,158,1,5,0,2,0,6,75,858
25,State,Tripura,1,0,0,2,0,2,2,0,2,0,0,0,3,4,3,1,2,0,0,0,1,4,0,0,0,1,0,0,2,22
26,State,Uttar Pradesh,37,0,2,30,0,30,19,13,6,0,0,2,7,72,9,63,3,0,0,0,0,7,14,1,3,17,0,0,61,275
27,State,Uttarakhand,5,2,1,4,0,4,0,0,0,0,0,2,18,37,4,33,0,0,2,0,0,11,1,0,0,0,0,0,6,89
28,State,West Bengal,16,2,0,34,0,34,10,6,4,1,2,3,3,62,4,58,211,0,0,0,0,206,1,44,0,1,0,0,28,624
State,State,Total (States),715,539,22,758,0,758,345,233,112,156,62,465,2629,5420,1258,4162,1561,52,131,17,73,4226,65,553,131,239,0,164,5638,23961
29,Union Territory,A & N Islands,2,0,0,0,0,0,0,0,0,0,0,0,9,7,1,6,1,0,0,0,1,2,0,0,0,0,0,0,12,34
30,Union Territory,Chandigarh,0,1,0,0,0,0,2,2,0,1,0,2,11,59,16,43,8,0,0,0,0,4,0,0,0,0,0,0,20,108
31,Union Territory,D & N Haveli,0,0,0,0,0,0,1,1,0,0,0,0,1,6,1,5,0,0,0,0,0,0,0,2,0,0,0,0,2,12
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,10
33,Union Territory,Delhi,23,21,1,18,0,18,6,6,0,4,6,33,41,101,38,63,1,1,4,0,1,15,3,5,1,0,0,1,82,368
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,3,2,0,0,0,0,0,0,0,0,0,0,9,18,5,13,2,0,0,0,0,7,0,0,0,0,0,0,1,42
Union Territory,Union Territory,Total (UTs),28,24,1,18,0,18,9,9,0,5,6,35,73,195,61,134,13,1,4,0,2,31,3,7,1,0,0,1,117,574
Total (All India),Total (All India),Total (All India),743,563,23,776,0,776,354,242,112,161,68,500,2702,5615,1319,4296,1574,53,135,17,75,4257,68,560,132,239,0,165,5755,24535
