Sl. No.,Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,55,1,610,20,816,14,1481,35,1516
2,State,Arunachal Pradesh,0,0,20,0,65,0,85,0,85
3,State,Assam,59,5,252,28,261,37,572,70,642
4,State,Bihar,4,0,92,2,994,71,1090,73,1163
5,State,Chhattisgarh,86,47,1317,38,1311,37,2714,122,2836
6,State,Goa,2,0,14,1,46,3,62,4,66
7,State,Gujarat,37,14,689,52,1244,106,1970,172,2142
8,State,Haryana,33,2,464,11,981,33,1478,46,1524
9,State,Himachal Pradesh,1,0,74,4,80,3,155,7,162
10,State,Jammu & Kashmir,0,0,7,4,0,0,7,4,11
11,State,Jharkhand,0,0,160,2,302,14,462,16,478
12,State,Karnataka,17,0,181,1,260,11,458,12,470
13,State,Kerala,3,0,203,6,498,9,704,15,719
14,State,Madhya Pradesh,259,19,2270,146,3443,188,5972,353,6325
15,State,Maharashtra,226,18,2162,122,3863,189,6251,329,6580
16,State,Manipur,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,3,0,24,0,101,3,128,3,131
18,State,Mizoram,5,0,9,0,45,0,59,0,59
19,State,Nagaland,0,0,0,0,0,0,0,0,0
20,State,Orissa,55,4,356,10,316,13,727,27,754
21,State,Punjab,8,3,43,5,41,2,92,10,102
22,State,Rajasthan,48,5,807,39,1261,54,2116,98,2214
23,State,Sikkim,0,0,15,0,15,3,30,3,33
24,State,Tamil Nadu,18,4,287,8,643,24,948,36,984
25,State,Tripura,4,0,10,6,20,3,34,9,43
26,State,Uttar Pradesh,0,0,91,13,211,13,302,26,328
27,State,Uttarakhand,19,0,54,1,48,0,121,1,122
28,State,West Bengal,13,0,61,2,577,7,651,9,660
State,State,Total (States),955,122,10272,521,17442,837,28669,1480,30149
29,Union Territory,A & N Islands,1,0,16,1,30,4,47,5,52
30,Union Territory,Chandigarh,16,0,77,0,64,0,157,0,157
31,Union Territory,D & N Haveli,0,0,7,0,15,0,22,0,22
32,Union Territory,Daman & Diu,0,0,1,0,10,0,11,0,11
33,Union Territory,Delhi,9,0,239,3,264,5,512,8,520
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,12,0,39,0,51,0,51
Union Territory,Union Territory,Total (UTs),26,0,352,4,422,9,800,13,813
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),Total (All India),981,122,10624,525,17864,846,29469,1493,30962
