Sl. No.,Category,States/ UTs,7 - 12 Years - Boys,7 - 12 Years - Girls,12 - 16 Years - Boys,12 - 16 Years - Girls,16 - 18 Years - Boys,16 - 18 Years - Girls,Total for all Age Groups - Boys,Total for all Age Groups - Girls,Total (Boys + Girls)
1,State,Andhra Pradesh,0,0,4,0,100,2,104,2,106
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,2,0,0,0,2,0,2
4,State,Bihar,2,0,13,0,61,5,76,5,81
5,State,Chhattisgarh,4,0,118,0,83,5,205,5,210
6,State,Goa,0,0,1,0,0,0,1,0,1
7,State,Gujarat,0,3,145,28,301,80,446,111,557
8,State,Haryana,2,0,43,3,219,8,264,11,275
9,State,Himachal Pradesh,0,0,0,0,1,0,1,0,1
10,State,Jammu & Kashmir,0,0,0,1,0,0,0,1,1
11,State,Jharkhand,0,0,0,0,66,5,66,5,71
12,State,Karnataka,6,0,22,0,15,2,43,2,45
13,State,Kerala,0,0,7,0,50,0,57,0,57
14,State,Madhya Pradesh,19,0,223,3,523,15,765,18,783
15,State,Maharashtra,13,1,103,3,304,15,420,19,439
16,State,Manipur,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,4,0,4,0,8,0,8
18,State,Mizoram,0,0,5,0,6,0,11,0,11
19,State,Nagaland,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,6,1,12,0,18,1,19
21,State,Punjab,0,0,2,0,9,0,11,0,11
22,State,Rajasthan,3,0,43,3,85,4,131,7,138
23,State,Sikkim,0,0,2,1,1,0,3,1,4
24,State,Tamil Nadu,112,9,276,15,194,3,582,27,609
25,State,Tripura,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,5,1,13,0,18,1,19
27,State,Uttarakhand,0,0,16,0,19,0,35,0,35
28,State,West Bengal,4,0,22,1,19,1,45,2,47
State,State,Total (States),165,13,1062,60,2085,145,3312,218,3530
29,Union Territory,A & N Islands,0,0,0,0,3,0,3,0,3
30,Union Territory,Chandigarh,0,0,0,0,4,1,4,1,5
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,3,0,3,0,3
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,1,0,3,0,4,0,4
Union Territory,Union Territory,Total (UTs),0,0,1,0,13,1,14,1,15
Total (All India),Total (All India),Total (All India),165,13,1063,60,2098,146,3326,219,3545
