Sl. No.,Category,States/ UTs,"Murder (Sec 302, 303 IPC)",Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) of Women","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) of Others","Kidnapping and Abduction (Sec 363 - 369, 371 - 373 IPC) Dacoity (Sec 395- 398 IPC)",Preparation and Assembly For Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392 - 394, 397, 398 IPC)","Burglary (Sec 449 - 452, 454, 455, 457 - 460 IPC)",Theft (Sec 379 - 382 IPC) - Total,Theft (Sec 379 - 382 IPC) - Auto Theft,Theft (Sec 379 - 382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach Of Trust (Sec 406 - 409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231-254, 489A –489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband & Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,35,16,4,52,0,52,22,16,6,1,0,22,327,567,84,483,18,3,14,0,4,231,3,31,33,2,0,20,111,1516
2,State,Arunachal Pradesh,0,0,0,0,0,0,1,1,0,9,0,5,11,25,11,14,2,0,0,0,0,13,0,3,0,0,0,0,16,85
3,State,Assam,32,1,3,41,0,41,26,12,14,8,0,17,78,224,18,206,67,0,4,1,6,51,0,1,0,0,0,0,82,642
4,State,Bihar,57,46,1,37,0,37,53,24,29,9,0,28,40,188,30,158,248,19,21,0,5,131,7,6,2,9,0,1,255,1163
5,State,Chhattisgarh,54,53,0,82,0,82,22,17,5,13,0,24,380,319,85,234,80,0,5,0,16,346,1,74,13,10,0,16,1328,2836
6,State,Goa,1,0,0,1,0,1,2,2,0,2,0,1,18,17,7,10,10,0,1,0,0,1,0,2,1,0,0,0,9,66
7,State,Gujarat,57,22,0,14,0,14,27,24,3,22,0,38,248,625,262,363,173,6,7,1,2,342,0,20,1,37,0,8,492,2142
8,State,Haryana,32,26,3,24,0,24,36,26,10,8,21,19,260,311,136,175,108,15,33,2,1,260,4,16,22,26,0,5,292,1524
9,State,Himachal Pradesh,3,5,0,5,0,5,1,1,0,0,0,0,27,34,9,25,19,0,1,2,0,13,0,2,0,0,0,0,50,162
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,11
11,State,Jharkhand,22,11,0,31,0,31,13,1,12,34,3,19,29,107,16,91,47,2,1,0,3,61,3,9,0,3,0,0,80,478
12,State,Karnataka,34,27,0,9,0,9,1,0,1,14,9,54,101,114,36,78,26,0,0,1,0,28,1,4,0,1,0,1,45,470
13,State,Kerala,11,12,0,16,0,16,1,1,0,3,9,10,94,135,33,102,168,0,0,0,1,140,0,10,1,1,0,2,105,719
14,State,Madhya Pradesh,131,158,4,218,0,218,43,33,10,10,13,90,532,706,157,549,216,0,6,1,11,1541,29,224,39,60,0,61,2232,6325
15,State,Maharashtra,183,148,3,127,0,127,32,25,7,79,26,153,819,2092,597,1495,656,11,44,10,23,1406,6,94,28,110,0,31,499,6580
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,12,11,0,12,0,12,7,4,3,11,0,1,1,33,3,30,0,0,0,0,0,1,0,1,0,0,0,0,41,131
18,State,Mizoram,0,0,0,1,0,1,1,0,1,0,0,0,22,25,0,25,0,0,0,0,0,2,0,2,0,0,0,0,6,59
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,17,25,0,27,0,27,10,10,0,5,1,25,129,232,0,232,33,0,1,0,1,74,0,17,5,1,0,8,143,754
21,State,Punjab,8,2,2,10,0,10,1,0,1,0,3,0,10,23,3,20,0,1,1,0,0,21,0,2,0,0,0,1,17,102
22,State,Rajasthan,64,84,0,51,0,51,58,48,10,2,1,73,281,519,136,383,75,0,11,0,7,231,11,32,0,7,0,13,694,2214
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,2,12,13,0,13,2,0,0,0,2,1,0,0,0,0,0,0,1,33
24,State,Tamil Nadu,37,19,0,8,0,8,3,3,0,3,0,13,131,465,57,408,29,0,0,0,3,162,1,5,0,2,0,6,97,984
25,State,Tripura,1,0,0,3,0,3,1,0,1,0,0,0,5,11,7,4,7,0,0,0,1,5,0,0,0,3,0,0,6,43
26,State,Uttar Pradesh,44,0,2,32,0,32,26,19,7,0,0,5,10,84,11,73,3,0,0,0,0,7,16,1,4,17,0,0,77,328
27,State,Uttarakhand,7,2,1,4,0,4,0,0,0,0,0,2,24,60,7,53,0,0,3,0,0,12,1,0,0,0,0,0,6,122
28,State,West Bengal,17,2,0,34,0,34,10,6,4,1,4,3,3,83,4,79,216,0,0,0,0,206,1,45,0,5,0,0,30,660
State,State,Total (States),859,670,23,839,0,839,397,273,124,234,90,604,3593,7012,1709,5303,2206,57,153,18,86,5288,84,601,149,294,0,173,6719,30149
29,Union Territory,A & N Islands,6,0,0,0,0,0,0,0,0,0,0,0,14,15,1,14,2,0,0,0,1,2,0,0,0,0,0,0,12,52
30,Union Territory,Chandigarh,0,1,0,0,0,0,2,2,0,6,0,4,21,75,23,52,18,0,0,0,0,6,0,0,0,0,0,0,24,157
31,Union Territory,D & N Haveli,0,0,0,0,0,0,1,1,0,0,0,0,1,14,1,13,0,0,0,0,0,0,0,4,0,0,0,0,2,22
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,2,0,0,0,0,3,0,0,0,0,0,0,0,11
