Sl. No.,Category,States/ UTs,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Female to Total
1,State,Andhra Pradesh,214594,16792,231386,7.3
2,State,Arunachal Pradesh,2573,48,2621,1.8
3,State,Assam,53943,2141,56084,3.8
4,State,Bihar,224841,8121,232962,3.5
5,State,Chhattisgarh,64369,3210,67579,4.7
6,State,Goa,2904,255,3159,8.1
7,State,Gujarat,154898,14186,169084,8.4
8,State,Haryana,68293,3260,71553,4.6
9,State,Himachal Pradesh,17586,2161,19747,10.9
10,State,Jammu & Kashmir,23828,1814,25642,7.1
11,State,Jharkhand,47413,2723,50136,5.4
12,State,Karnataka,140637,10361,150998,6.9
13,State,Kerala,151002,5401,156403,3.5
14,State,Madhya Pradesh,328137,14910,343047,4.3
15,State,Maharashtra,281988,29610,311598,9.5
16,State,Manipur,1240,85,1325,6.4
17,State,Meghalaya,1624,42,1666,2.5
18,State,Mizoram,2059,103,2162,4.8
19,State,Nagaland,989,35,1024,3.4
20,State,Orissa,73310,4517,77827,5.8
21,State,Punjab,43164,3361,46525,7.2
22,State,Rajasthan,168861,12306,181167,6.8
23,State,Sikkim,834,63,897,7
24,State,Tamil Nadu,198703,14129,212832,6.6
25,State,Tripura,5529,472,6001,7.9
26,State,Uttar Pradesh,268631,6619,275250,2.4
27,State,Uttarakhand,10821,571,11392,5
28,State,West Bengal,112802,9104,121906,7.5
State,State,Total (States),2665573,166400,2831973,5.9
29,Union Territory,A & N Islands,961,103,1064,9.7
30,Union Territory,Chandigarh,2870,114,2984,3.8
31,Union Territory,D & N Haveli,568,29,597,4.9
32,Union Territory,Daman & Diu,362,36,398,9
33,Union Territory,Delhi,36968,1318,38286,3.4
34,Union Territory,Lakshadweep,61,1,62,1.6
35,Union Territory,Puducherry,6608,314,6922,4.5
Union Territory,Union Territory,Total (UTs),48398,1915,50313,3.8
Total (All India),Total (All India),Total (All India),2713971,168315,2882286,5.8
