Sl. No.,Category,States/ UTs,DG/ Addl.DG / IG / DIG - Sanctioned,DG/ Addl.DG / IG / DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,4,3,91,73,1230,1006,14241,13719,15566,14801
2,State,Arunachal Pradesh,0,0,30,30,172,172,3855,3639,4057,3841
3,State,Assam,0,0,202,185,1000,965,24712,22679,25914,23829
4,State,Bihar,4,4,122,45,1162,821,17033,11805,18321,12675
5,State,Chhattisgarh,7,7,167,155,1632,1632,15175,15175,16981,16969
6,State,Goa,0,0,22,0,96,27,1670,638,1788,665
7,State,Gujarat,3,3,72,28,2139,1196,14485,11236,16699,12463
8,State,Haryana,3,3,54,34,545,463,6881,5608,7483,6108
9,State,Himachal Pradesh,2,3,50,26,309,225,5042,3016,5403,3270
10,State,Jammu & Kashmir,4,3,333,214,1557,1163,28698,23353,30592,24733
11,State,Jharkhand,2,2,114,114,829,711,12012,9917,12957,10744
12,State,Karnataka @,4,3,66,14,514,328,10950,9330,11534,9675
13,State,Kerala,3,3,50,43,362,290,7090,3977,7505,4313
14,State,Madhya Pradesh *,10,10,124,124,2026,2026,19173,19173,21333,21333
15,State,Maharashtra,4,0,104,36,2049,1501,15279,12618,17436,14155
16,State,Manipur,5,2,141,89,420,384,11805,10181,12371,10656
17,State,Meghalaya,0,0,53,35,240,156,4573,4064,4866,4255
18,State,Mizoram,0,0,85,64,279,279,8066,6002,8430,6345
19,State,Nagaland,0,0,33,33,143,142,4590,4477,4766,4652
20,State,Orissa,0,0,215,90,1153,360,17309,12004,18677,12454
21,State,Punjab,9,9,209,205,1205,1114,18240,17713,19663,19041
22,State,Rajasthan,5,2,101,65,457,208,11847,11447,12410,11722
23,State,Sikkim,1,1,0,12,120,96,1306,1508,1427,1617
24,State,Tamil Nadu,3,3,88,29,616,576,14720,14641,15427,15249
25,State,Tripura,2,2,143,86,637,376,15556,12629,16338,13093
26,State,Uttar Pradesh,14,13,173,151,1977,1586,34229,28855,36393,30605
27,State,Uttarakhand,1,2,36,10,148,83,3912,3382,4097,3477
28,State,West Bengal,8,7,145,104,5355,3076,18751,16156,24259,19343
State,State,Total (States),98,85,3023,2094,28372,20962,361200,308942,392693,332083
29,Union Territory,A & N Islands,1,1,3,3,34,54,581,510,619,568
30,Union Territory,Chandigarh,0,0,1,1,14,14,404,404,419,419
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,2,0,86,23,707,473,12484,7114,13279,7610
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,2,2,26,14,741,697,769,713
Union Territory,Union Territory,Total (UTs),3,1,92,29,781,555,14210,8725,15086,9310
Total (All India),Total (All India),Total (All India),101,86,3115,2123,29153,21517,375410,317667,407779,341393
