Sr. No. (Col.1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in Which - Investigation Refused (Col. 4),Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed (Col. 5) - Charge Found False /Mistake of Fact or Law Etc.,Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed (Col. 6) - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed (Col. 7) - Charge Sheets Submitted,Percentage of Cases to Total Cases for Investigation in Which - Investigation was Completed (Col. 8) - Total = Col. {(5)+(6)+(7)},Percentage of Cases Pending Investigation at the end of the year (Col. 9),Chargesheeting Rate (Col. 10) = Col. ((7) / ((6) +7× 100)
1,Murder (Sec.302 IPC),0,0.1,2.4,8.7,44.1,55.2,44.7,83.6
2,Attempt to Commit Murder (Sec. 307 IPC),0,0,3.4,6.5,52.3,62.1,37.8,89
3,"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",0,0,3.3,7.4,48.7,59.5,40.5,86.7
4,Rape (Sec. 376 IPC),0,0.1,5.3,3.4,55.9,64.6,35.3,94.2
5,Custodial Rape,0,0,0,0,33.3,33.3,66.7,100
6,Other Rape,0,0.1,5.3,3.4,55.9,64.6,35.3,94.2
7,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",0.2,0.2,12.6,12.1,31.2,55.9,43.8,72
8,Of Women & Girls,0.2,0.2,12.8,11.9,32.8,57.4,42.3,73.5
9,Of Others,0.3,0.2,11.9,13,26.5,51.4,48.1,67.2
10,Dacoity (Sec.395-398 IPC),0,0.1,3.7,12.1,28.9,44.7,55.2,70.5
11,Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),0.1,0.2,0.1,2.4,47.4,49.8,49.9,95.2
12,"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3.7,18.2,38.1,59.9,40,67.7
13,"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0,2.2,38.3,27.5,68,32,41.8
14,Theft (Sec.379 – 382 IPC),0,0.1,2.3,40.2,24.9,67.4,32.5,38.3
15,Auto Theft,0,0,1.9,49,18.7,69.7,30.2,27.7
16,Other Theft,0,0.1,2.5,34.3,29.1,65.9,34,45.9
17,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",0,0.1,3.9,6.7,55.4,66.1,33.8,89.2
18,Criminal Breach of Trust (Sec.406-409 IPC),0.1,0,7.2,13.6,32,52.8,47.1,70.2
19,"Cheating (Sec.419,420 IPC)",0,0.1,14.9,12.6,28.4,56,43.9,69.2
20,"Counterfeiting (Sec.231-254, 489A-489D IPC)",0,0,0.9,27.5,18.1,46.6,53.4,39.7
21,"Arson (Sec.435,436,438 IPC)",0,0,6.7,18.6,39.7,65,35,68.1
22,"Hurt (Sec.323-333,335-338 IPC)",0,0,3.2,4.5,74,81.7,18.3,94.3
23,Dowry Deaths (Sec.304B IPC),0,0.1,4,4.8,53.4,62.2,37.7,91.7
24,Molestation (Sec. 354 IPC),0,0,5,3.1,71,79.1,20.9,95.8
25,Sexual Harassment (Sec.509 IPC),0,0,3.2,2.8,79.8,85.8,14.2,96.6
26,Cruelty by Husband and Relatives (Sec. 498 A IPC),0,0.1,7.1,4.3,60.4,71.8,28.1,93.3
27,Importation Of Girls (Sec.366B IPC),0,0,5.8,4.8,40.4,51,49,89.4
28,Causing Death By Negligence (Sec. 304A IPC),0,0.1,2.7,14.6,57.8,75.1,24.8,79.8
29,Other IPC Crimes,0,0,4.7,8.1,66.5,79.3,20.7,89.1
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,0,0.1,4.5,14.7,53.6,72.9,27,78.4
