Sr. No.,Category,States/ UTs,Number of Police Stations (Sanctioned Strength) - Below 10,Number of Police Stations (Sanctioned Strength) - 11-20,Number of Police Stations (Sanctioned Strength) - 21 - 30,Number of Police Stations (Sanctioned Strength) - 31 - 40,Number of Police Stations (Sanctioned Strength) - 41 - 50,Number of Police Stations (Sanctioned Strength) - 51 And Above
1,State,Andhra Pradesh,89,863,261,181,108,157
2,State,Arunachal Pradesh,0,54,15,0,0,0
3,State,Assam,49,101,65,57,41,0
4,State,Bihar,298,340,104,35,18,32
5,State,Chhattisgarh,10,97,70,41,79,88
6,State,Goa,0,0,0,2,3,20
7,State,Gujarat,3,11,75,77,83,251
8,State,Haryana,19,32,44,48,50,45
9,State,Himachal Pradesh,0,24,22,10,32,14
10,State,Jammu & Kashmir,9,10,34,44,32,54
11,State,Jharkhand,99,106,50,133,11,26
12,State,Karnataka,0,4,99,314,195,267
13,State,Kerala,0,13,51,215,96,86
14,State,Madhya Pradesh,34,326,240,119,84,143
15,State,Maharashtra,1,42,136,169,142,512
16,State,Manipur,0,0,9,0,0,82
17,State,Meghalaya,1,28,9,0,0,1
18,State,Mizoram,8,13,14,1,0,2
19,State,Nagaland,3,2,7,11,9,14
20,State,Orissa,170,279,53,15,8,9
21,State,Punjab,9,17,34,50,44,135
22,State,Rajasthan,1,295,242,139,36,33
23,State,Sikkim,0,0,6,12,4,6
24,State,Tamil Nadu,0,0,882,0,157,231
25,State,Tripura,0,2,29,20,7,6
26,State,Uttar Pradesh,0,238,427,284,194,332
27,State,Uttarakhand,6,35,29,18,3,34
28,State,West Bengal,15,223,106,39,24,76
State,State,Total (States),824,3155,3113,2034,1460,2656
29,Union Territory,A & N Islands,9,11,0,0,0,1
30,Union Territory,Chandigarh,0,0,0,0,0,11
31,Union Territory,D & N Haveli,0,0,1,0,0,1
32,Union Territory,Daman & Diu,0,0,0,1,1,1
33,Union Territory,Delhi,4,2,4,4,0,155
34,Union Territory,Lakshadweep,0,2,5,1,0,1
35,Union Territory,Puducherry,11,14,12,3,1,1
Union Territory,Union Territory,Total (UTs),24,29,22,9,2,171
Total (All-India),Total (All-India),Total (All-India),848,3184,3135,2043,1462,2827
