Sr. No. (Col.1),Category (Col.2),States/ UTs (Col.3),Total No. of Cases for Investigation Including Pending Cases from Previous Year (Col. 4),Cases Withdrawn by Govt. (Col. 5),No. of Cases in which - Investgation Refused (Col. 6),No. of Cases in which - Investigation Completed - Charge Found False /Mistake of Fact or Law etc. (Col. 7),No. of Cases in which - Investigation Completed - Final Report true Submitted (Col. 8),No. of Cases in which - Investigation Completed - Charge Sheets Submitted (Col.9),No. of Cases in which - Investigation Completed - Total {(Col. 7+Col. 8+Col. 9)} = (Col.10,No. of Cases Pending investigation at the end of the Year (Col. 11),Pendency Percentage (Col. 12),Percentage of Pendency to All India Total (Col. 13),Charge Sheeting Rate{(Col9) /(Col8+ Col.9)× 100} = (Col. 14)
1,State,Andhra Pradesh,1166,0,3,356,32,463,851,312,26.8,17.9,93.5
2,State,Arunachal Pradesh,27,0,0,0,11,13,24,3,11.1,0.2,54.2
3,State,Assam,167,0,0,17,12,25,54,113,67.7,6.5,67.6
4,State,Bihar,220,0,0,7,18,43,68,152,69.1,8.7,70.5
5,State,Chhattisgarh,630,0,0,8,8,535,551,79,12.5,4.5,98.5
6,State,Goa,1,0,0,0,0,1,1,0,0,0,100
7,State,Gujarat,210,0,1,6,3,181,190,19,9,1.1,98.4
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,1,0,0,0,0,1,1,0,0,0,100
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,432,0,0,26,47,202,275,157,36.3,9,81.1
12,State,Karnataka,385,0,12,50,12,215,277,96,24.9,5.5,94.7
13,State,Kerala,160,0,0,18,8,79,105,55,34.4,3.2,90.8
14,State,Madhya Pradesh,1182,0,0,9,10,1112,1131,51,4.3,2.9,99.1
15,State,Maharashtra,333,1,1,14,4,230,248,83,24.9,4.8,98.3
16,State,Manipur,29,0,0,0,0,0,0,29,100,1.7,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0
20,State,Odisha,903,0,2,59,12,402,473,428,47.4,24.6,97.1
21,State,Punjab,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,1301,0,0,677,5,506,1188,113,8.7,6.5,99
23,State,Sikkim,24,0,0,4,5,10,19,5,20.8,0.3,66.7
24,State,Tamil Nadu,24,0,0,3,0,21,24,0,0,0,100
25,State,Tripura,32,0,0,0,6,21,27,5,15.6,0.3,77.8
26,State,Uttar Pradesh,4,0,0,2,0,2,4,0,0,0,100
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,38,0,0,0,2,6,8,30,78.9,1.7,75
State,State,Total (States),7269,1,19,1256,195,4068,5519,1730,23.8,99.5,95.4
29,Union Territory,Andaman & Nicobar Islands,5,0,0,0,2,1,3,2,40,0.1,33.3
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,Dadra Nagar Haveli,19,0,0,5,1,8,14,5,26.3,0.3,88.9
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,2,100,0.1,0
33,Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),26,0,0,5,3,9,17,9,34.6,0.5,75
Total (All-India),Total (All-India),Total (All-India),7295,1,19,1261,198,4077,5536,1739,23.8,100,95.4
