Sr. No.,Category,States/ UTs,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents / Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,State,Andhra Pradesh,1565,238,125,81,212,30,62,817
2,State,Arunachal Pradesh,139,86,53,0,0,0,0,0
3,State,Assam,563,163,155,15,83,30,33,84
4,State,Bihar,1066,24,23,0,154,0,17,848
5,State,Chhattisgarh,3112,41,143,27,619,142,131,2009
6,State,Goa,76,1,6,0,3,0,5,61
7,State,Gujarat,2466,197,329,117,101,106,311,1305
8,State,Haryana,1374,1,2,0,6,13,8,1344
9,State,Himachal Pradesh,170,48,33,0,5,0,0,84
10,State,Jammu & Kashmir,11,1,0,0,0,0,0,10
11,State,Jharkhand,788,56,96,34,376,46,88,92
12,State,Karnataka,282,53,43,14,27,6,5,134
13,State,Kerala,707,112,147,26,56,8,19,339
14,State,Madhya Pradesh,6186,1726,619,259,511,543,374,2154
15,State,Maharashtra,6972,979,1768,404,1173,71,109,2468
16,State,Manipur,0,0,0,0,0,0,0,0
17,State,Meghalaya,88,0,23,1,3,0,17,44
18,State,Mizoram,20,0,3,0,0,0,3,14
19,State,Nagaland,20,0,0,2,4,0,5,9
20,State,Orissa,483,110,87,0,164,0,4,118
21,State,Punjab,233,0,4,4,14,2,7,202
22,State,Rajasthan,2456,246,372,60,1070,2,72,634
23,State,Sikkim,60,9,8,5,22,0,0,16
24,State,Tamil Nadu,2921,648,531,129,145,73,194,1201
25,State,Tripura,91,33,29,0,4,0,9,16
26,State,Uttar Pradesh,475,10,7,26,274,18,14,126
27,State,Uttarakhand,254,8,77,11,136,0,1,21
28,State,West Bengal,195,29,70,2,3,9,7,75
State,State,Total (States),32773,4819,4753,1217,5165,1099,1495,14225
29,Union Territory,A & N Islands,38,0,0,0,9,0,0,29
30,Union Territory,Chandigarh,135,3,6,0,45,11,0,70
31,Union Territory,D & N Haveli,26,0,0,0,0,0,0,26
32,Union Territory,Daman & Diu,3,3,0,0,0,0,0,0
33,Union Territory,Delhi,586,161,61,24,201,3,12,124
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,81,0,2,0,0,0,0,79
Union Territory,Union Territory,Total (UTs),869,167,69,24,255,14,12,328
Total (All-India),Total (All-India),Total (All-India),33642,4986,4822,1241,5420,1113,1507,14553
