Sr. No.,Category,States/ UTs,Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)",Total Economic Crimes,Percentage share,Crime Rate,Percentage to Total Cog. Crimes
1,State,Andhra Pradesh,904,8528,461,9893,10.76,11.88,5.48
2,State,Arunachal Pradesh,38,29,8,75,0.08,6.15,3.18
3,State,Assam,802,1098,84,1984,2.16,6.5,3.59
4,State,Bihar,1186,2676,69,3931,4.27,4.11,3.2
5,State,Chhattisgarh,166,682,68,916,1,3.79,1.78
6,State,Goa,52,132,27,211,0.23,12.48,7.02
7,State,Gujarat,1256,1014,238,2508,2.73,4.37,2.18
8,State,Haryana,827,1406,35,2268,2.47,9.36,4.03
9,State,Himachal Pradesh,117,264,2,383,0.42,5.78,2.88
10,State,Jammu & Kashmir,132,475,37,644,0.7,4.99,2.93
11,State,Jharkhand,473,910,15,1398,1.52,4.58,3.73
12,State,Karnataka,461,5079,171,5711,6.21,9.81,4.26
13,State,Kerala,354,3394,66,3814,4.15,11,3.22
14,State,Madhya Pradesh,575,1830,27,2432,2.64,3.43,1.17
15,State,Maharashtra,1895,7976,478,10349,11.25,9.52,5.18
16,State,Manipur,20,96,1,117,0.13,4.38,4.1
17,State,Meghalaya,26,113,9,148,0.16,5.74,6.05
18,State,Mizoram,30,61,9,100,0.11,10.04,4.89
19,State,Nagaland,6,33,3,42,0.05,1.89,3.97
20,State,Odisha,258,1137,34,1429,1.55,3.53,2.56
21,State,Punjab,234,3098,63,3395,3.69,12.58,9.55
22,State,Rajasthan,842,15037,59,15938,17.33,24.13,9.57
23,State,Sikkim,4,12,2,18,0.02,2.98,2.69
24,State,Tamil Nadu,215,2557,352,3124,3.4,4.66,1.79
25,State,Tripura,52,110,20,182,0.2,5.1,3.32
26,State,Uttarakhand,3917,8845,339,13101,14.24,6.7,7.58
27,State,Uttar Pradesh,156,544,43,743,0.81,7.67,8.44
28,State,West Bengal,918,3298,153,4369,4.75,4.9,3.87
State,State,Total (States),15916,70434,2873,89223,97,7.77,4.33
29,Union Territory,Andaman & Nicobar Islands,7,20,2,29,0.03,6.86,3.08
30,Union Territory,Chandigarh,38,193,4,235,0.26,21.42,6.61
31,Union Territory,Dadra Nagar Haveli,17,20,1,38,0.04,13.82,8.6
32,Union Territory,Daman & Diu,8,4,3,15,0.02,7.73,5.43
33,Union Territory,Delhi,333,2000,47,2380,2.59,13.38,4.74
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,7,47,5,59,0.06,5.38,1.29
Union Territory,Union Territory,Total (UTs),410,2284,62,2756,3,13.16,4.58
Total (All-India),Total (All-India),Total (All-India),16326,72718,2935,91979,100,7.87,4.34
