Sr. No.,Category,States/ UTs,Officers (Dy.SP & Above) - Sanctioned Strength,Officers (Dy.SP & Above) - Built-in Houses Provided by Government,"Officers (Dy.SP & Above) - Houses Provided on Lease, Rent/ General Pool by Govt.",Upper Subordinates (ASI to Inspectors) - Sanctioned Strength,Upper Subordinates (ASI to Inspectors) - Built-in Houses Provided by Government,"Upper Subordinates (ASI to Inspectors) - Houses Provided on Lease, Rent/ General Pool by Govt.","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Sanctioned Strength","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Built-in Houses Provided by Government","Lower Subordinates (Constables, Head Constables & Class IV Subordinate Staff) - Houses Provided on Lease, Rent/ General Pool by Govt."
1,State,Andhra Pradesh,1007,34,973,14628,2799,11829,111535,38204,73331
2,State,Arunachal Pradesh,107,81,26,742,688,54,6712,2568,4144
3,State,Assam,538,18,0,6008,87,0,49408,67,0
4,State,Bihar,640,159,481,15741,2534,13207,69412,5513,63899
5,State,Chhattisgarh,551,0,0,4649,46,0,37491,302,0
6,State,Goa,60,11,6,501,273,1,5390,1052,1
7,State,Gujarat,451,122,33,13032,5415,652,65443,34120,4573
8,State,Haryana,376,196,60,7151,1072,4124,49130,9195,26445
9,State,Himachal Pradesh,186,51,17,2051,377,0,14789,2380,0
10,State,Jammu & Kashmir,1008,148,0,8338,954,0,91044,4527,0
11,State,Jharkhand,459,275,19,6020,1069,869,48479,2589,1138
12,State,Karnataka,717,154,26,8552,3129,748,77804,39906,5593
13,State,Kerala,425,90,36,4176,765,82,42808,7071,49
14,State,Madhya Pradesh,914,NA,NA,9101,NA,NA,66821,NA,NA
15,State,Maharashtra,786,0,0,32348,5593,0,168941,79042,0
16,State,Manipur,325,53,5,2992,82,2,26060,116,2
17,State,Meghalaya,129,40,88,1215,487,828,9994,2210,7685
18,State,Mizoram,179,59,0,1460,174,0,11709,1268,0
19,State,Nagaland,133,70,122,662,174,77,9984,535,1167
20,State,Orissa,817,186,0,9294,1858,0,43660,7969,0
21,State,Punjab,665,1,0,7335,48,0,63868,88,0
22,State,Rajasthan,667,0,0,10090,1900,0,67741,13749,0
23,State,Sikkim,111,8,9,481,190,0,3293,394,0
24,State,Tamil Nadu,1063,351,0,11017,3639,0,91763,41413,0
25,State,Tripura,366,79,0,2099,326,0,25359,1942,0
26,State,Uttar Pradesh,1455,1019,436,20642,7275,2654,337372,43247,17660
27,State,Uttarakhand,182,63,0,1152,301,0,17849,1658,0
28,State,West Bengal,738,398,24,27347,5055,193,71521,10338,865
State,State,Total (States),15055,3666,2361,228824,46310,35320,1685380,351463,206552
29,Union Territory,A & N Islands,27,10,11,557,52,0,3463,927,0
30,Union Territory,Chandigarh,30,10,0,677,340,0,6013,1797,0
31,Union Territory,D & N Haveli,3,0,2,16,0,15,218,0,200
32,Union Territory,Daman & Diu,5,0,0,22,6,0,218,69,0
33,Union Territory,Delhi,483,240,0,13407,9503,0,67556,5242,0
34,Union Territory,Lakshadweep,2,2,0,85,50,0,469,148,0
35,Union Territory,Puducherry,24,14,0,319,92,0,2214,817,0
Union Territory,Union Territory,Total (UTs),574,276,13,15083,10043,15,80151,9000,200
Total (All-India),Total (All-India),Total (All-India),15629,3942,2374,243907,56353,35335,1765531,360463,206752
