Sr. No.,Category,States/ UTs,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"C.H. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC) - Total,Rape (Sec 376 IPC) - Custodial,Rape (Sec 376 IPC) - Others,"Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - Total","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec 363 - 369, 371 - 373 IPC) - of Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399 - 402 IPC),"Robbery Sec 392-394, 397, 398 IPC)","Burglary Sec 449-452, 454, 455, 457 - 460 IPC)",Theft (Sec 379-382 IPC) - Total,Theft (Sec 379-382 IPC) - Auto Theft,Theft (Sec 379-382 IPC) - Other Theft,"Riots Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust Sec 406 -409 IPC),"Cheating (Sec 419, 420 IPC)","Counterfeiting (Sec 231- 254, 489A – 489D IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323- 333, 335- 338 IPC)",Dowry Deaths (Sec 304B IPC),Molestation (Sec 354 IPC),Sexual Harassment (Sec 509 IPC),Cruelty by Husband and Relatives (Sec 498A IPC),Importation of Girls (Sec 366B IPC),Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
1,State,Andhra Pradesh,23,7,0,53,0,53,24,18,6,3,0,10,162,436,121,315,34,0,17,1,1,162,1,36,59,5,0,15,159,1208
2,State,Arunachal Pradesh,0,0,0,2,0,2,0,0,0,0,0,6,16,4,0,4,3,0,0,0,0,29,0,0,0,0,0,0,52,112
3,State,Assam,14,3,0,39,0,39,26,9,17,7,1,10,76,271,8,263,37,0,1,0,1,25,0,2,0,0,0,0,33,546
4,State,Bihar,61,43,4,33,0,33,42,18,24,7,1,22,45,151,31,120,189,1,10,0,13,48,5,11,0,14,0,3,232,935
5,State,Chhattisgarh,60,76,0,92,0,92,17,11,6,10,0,52,465,289,79,210,111,0,3,0,23,348,4,68,26,5,0,8,1203,2860
6,State,Goa,5,1,0,3,0,3,1,0,1,0,0,1,16,20,14,6,0,0,0,0,0,3,0,1,0,0,0,0,9,60
7,State,Gujarat,36,20,0,22,0,22,31,27,4,6,0,13,125,348,159,189,86,0,6,3,2,276,0,15,1,50,0,10,378,1428
8,State,Haryana,28,17,0,26,0,26,27,19,8,2,13,10,97,180,99,81,64,11,10,0,0,206,5,9,4,7,0,7,236,959
9,State,Himachal Pradesh,7,3,0,7,0,7,0,0,0,1,0,1,17,19,5,14,13,0,0,0,1,15,0,4,0,0,0,1,38,127
10,State,Jammu & Kashmir,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,8
11,State,Jharkhand,56,34,1,50,0,50,17,8,9,14,21,21,11,114,25,89,66,0,2,0,6,94,16,12,0,7,0,0,144,686
12,State,Karnataka,24,11,0,6,0,6,2,1,1,7,1,5,29,53,18,35,11,0,2,1,0,22,0,6,1,0,0,0,46,227
13,State,Kerala,5,9,0,2,0,2,4,3,1,3,1,7,52,114,48,66,100,0,0,1,2,67,0,7,1,1,0,0,65,441
14,State,Madhya Pradesh,117,101,4,184,0,184,53,38,15,9,8,69,262,381,71,310,173,1,6,1,6,854,16,158,24,73,0,26,2009,4535
