Sr. No.,Category,States/ UTs,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
1,State,Andhra Pradesh,479649,3028,482677,0.6
2,State,Arunachal Pradesh,95,3,98,3.1
3,State,Assam,2488,59,2547,2.3
4,State,Bihar,15129,553,15682,3.5
5,State,Chhattisgarh,205622,2983,208605,1.4
6,State,Goa,2643,312,2955,10.6
7,State,Gujarat,177672,74766,252438,29.6
8,State,Haryana,30110,301,30411,1
9,State,Himachal Pradesh,4910,468,5378,8.7
10,State,Jammu & Kashmir,2785,53,2838,1.9
11,State,Jharkhand,5086,344,5430,6.3
12,State,Karnataka,40264,2154,42418,5.1
13,State,Kerala,195420,638,196058,0.3
14,State,Madhya Pradesh,162389,1920,164309,1.2
15,State,Maharashtra,164714,11822,176536,6.7
16,State,Manipur,1125,94,1219,7.7
17,State,Meghalaya,171,5,176,2.8
18,State,Mizoram,1093,31,1124,2.8
19,State,Nagaland,378,85,463,18.4
20,State,Orissa,16275,891,17166,5.2
21,State,Punjab,19614,1028,20642,5
22,State,Rajasthan,53703,756,54459,1.4
23,State,Sikkim,92,11,103,10.7
24,State,Tamil Nadu,561252,46433,607685,7.6
25,State,Tripura,291,2,293,0.7
26,State,Uttar Pradesh,2398449,1858,2400307,0.1
27,State,Uttarakhand,187986,310,188296,0.2
28,State,West Bengal,8659,482,9141,5.3
State,State,Total (States),4738064,151390,4889454,3.1
29,Union Territory,A & N Islands,5390,477,5867,8.1
30,Union Territory,Chandigarh,742,49,791,6.2
31,Union Territory,D & N Haveli,36,0,36,0
32,Union Territory,Daman & Diu,68,14,82,17.1
33,Union Territory,Delhi,4233,503,4736,10.6
34,Union Territory,Lakshadweep,15,0,15,0
35,Union Territory,Puducherry,1593,32,1625,2
Union Territory,Union Territory,Total (UTs),12077,1075,13152,8.2
Total (All-India),Total (All-India),Total (All-India),4750141,152465,4902606,3.1
