Sr. No.,Category,States/ UTs,Number of Victims Killed - in Terrorist/ Extremists Operations,Number of Victims Killed - in Dacoity Operations or Other Raids,Number of Victims Killed - by Riotous Mobs,Number of Victims Killed - by Other Criminals,Number of Victims Killed - on Border Duties,Number of Victims Killed - in Accidents,Number of Victims Killed - Total,Number of Victims Injured - in Terrorist/ Extremists Operations,Number of Victims Injured - in Dacoity Operation or Other Raids,Number of Victims Injured - by Riotous Mobs,Number of Victims Injured - by Other Criminals,Number of Victims Injured - on Border Duties,Number of Victims Injured - in Accidents,Number of Victims Injured - Total
1,State,Andhra Pradesh,0,0,0,1,0,49,50,0,8,24,18,0,100,150
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,1,0,0,2,0,1,4,1,0,22,8,0,1,32
4,State,Bihar,13,0,1,3,0,11,28,9,4,4,2,0,7,26
5,State,Chhattisgarh,90,0,0,4,1,8,103,71,0,37,20,8,7,143
6,State,Goa,0,0,0,0,0,1,1,0,0,4,1,0,4,9
7,State,Gujarat,0,1,0,1,9,38,49,0,1,51,6,0,24,82
8,State,Haryana,0,0,6,1,2,36,45,0,0,24,0,0,0,24
9,State,Himachal Pradesh,0,0,0,0,0,1,1,0,0,0,3,0,5,8
10,State,Jammu & Kashmir,8,0,0,5,0,7,20,17,0,263,15,0,5,300
11,State,Jharkhand,40,0,0,1,0,12,53,4,0,3,0,0,2,9
12,State,Karnataka,0,0,0,2,0,19,21,10,38,119,136,146,39,488
13,State,Kerala,0,0,0,1,0,12,13,0,0,203,245,0,69,517
14,State,Madhya Pradesh,0,0,0,4,0,25,29,0,13,95,67,33,19,227
15,State,Maharashtra,52,1,0,11,0,88,152,14,19,327,98,0,142,600
16,State,Manipur,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,1,1,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,State,Orissa,22,0,0,1,0,2,25,35,10,31,5,0,0,81
21,State,Punjab,0,0,0,8,0,58,66,0,0,71,8,0,2,81
22,State,Rajasthan,0,0,0,2,0,36,38,0,0,70,270,0,9,349
23,State,Sikkim,0,0,0,1,0,1,2,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,0,0,1,0,79,80,0,5,18,10,0,121,154
25,State,Tripura,1,0,0,0,0,1,2,1,0,0,0,0,0,1
26,State,Uttar Pradesh,0,6,0,8,5,96,115,0,21,36,22,0,20,99
27,State,Uttarakhand,0,0,1,0,1,16,18,0,0,17,0,0,8,25
28,State,West Bengal,7,0,0,2,0,13,22,32,0,233,4,0,155,424
State,State,Total (States),234,8,9,59,18,611,939,194,119,1653,938,187,739,3830
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,5,5,0,0,50,0,0,9,59
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,1,0,9,10,2,5,79,22,0,14,122
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,1,8,0,0,9
Union Territory,Union Territory,Total (UTs),0,0,0,1,0,14,15,2,5,130,30,0,23,190
Total (All-India),Total (All-India),Total (All-India),234,8,9,60,18,625,954,196,124,1783,968,187,762,4020
