Sr. No.,Category,States/ UTs,No. of Victims Murdered - by Firearms (Licensed + Unlicensed),No. of Victims Murdered - by Licensed Arms,No. of Victims Murdered - by Unlicensed Arms
1,State,Andhra Pradesh,8,0,8
2,State,Arunachal Pradesh,4,4,0
3,State,Assam,25,5,20
4,State,Bihar,718,9,709
5,State,Chhattisgarh,43,0,43
6,State,Goa,0,0,0
7,State,Gujarat,21,6,15
8,State,Haryana,157,29,128
9,State,Himachal Pradesh,6,5,1
10,State,Jammu & Kashmir,57,14,43
11,State,Jharkhand,326,0,326
12,State,Karnataka,12,7,5
13,State,Kerala,2,1,1
14,State,Madhya Pradesh,159,48,111
15,State,Maharashtra,42,5,37
16,State,Manipur,107,0,107
17,State,Meghalaya,3,0,3
18,State,Mizoram,4,2,2
19,State,Nagaland,24,2,22
20,State,Odisha,2,0,2
21,State,Punjab,51,46,5
22,State,Rajasthan,71,12,59
23,State,Sikkim,0,0,0
24,State,Tamil Nadu,4,0,4
25,State,Tripura,10,0,10
26,State,Uttar Pradesh,917,172,745
27,State,Uttarakhand,64,1,63
28,State,West Bengal,188,1,187
State,State,Total (States),3025,369,2656
29,Union Territory,Andaman & Nicobar Islands,0,0,0
30,Union Territory,Chandigarh,2,0,2
31,Union Territory,Dadra Nagar Haveli,0,0,0
32,Union Territory,Daman & Diu,0,0,0
33,Union Territory,Delhi,66,2,64
34,Union Territory,Lakshadweep,0,0,0
35,Union Territory,Pondicherry,0,0,0
Union Territory,Union Territory,Total (UTs),68,2,66
Total (All-India),Total (All-India),Total (All-India),3093,371,2722
