Sl. No.,Crime Head,2006,2007,2008,2009,2010
1,Murder (Sec.302 IPC),1.7,1.6,1.6,1.5,1.5
2,Attempt to Commit Murder (Sec. 307 IPC),1.4,1.4,1.4,1.4,1.3
3,"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",0.2,0.2,0.2,0.2,0.2
4,Rape (Sec. 376 IPC),1,1,1,1,1
4,Rape (Sec. 376 IPC) - (i) Custodial Rape,0,0,0,0,0
4,Rape (Sec. 376 IPC) - (ii) Other Rape,1,1,1,1,1
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC)",1.3,1.4,1.4,1.6,1.7
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (i) of Women & Girls",0.9,1,1.1,1.2,1.3
5,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (ii) of Others",0.4,0.4,0.3,0.4,0.4
6,Dacoity (Sec.395-398 IPC),0.3,0.2,0.2,0.2,0.2
7,Preparation & Assembly for Dacoity (Sec.399 To 402 IPC),0.2,0.2,0.2,0.1,0.1
8,"Robbery (Sec.392-394, 397,398 IPC)",1,1,1,1.1,1.1
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",4.9,4.6,4.5,4.3,4.1
10,Theft (Sec.379 – 382 IPC),14.6,14.3,15.1,15.3,14.8
10,Theft (Sec.379 – 382 IPC) - (i) Auto Theft,4.8,5,5.7,6.6,6.6
10,Theft (Sec.379 – 382 IPC) - (ii) Other Theft,9.8,9.3,9.4,8.7,8.2
11,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",3,3,3.2,3,3
12,Criminal Breach of Trust (Sec.406-409 IPC),0.7,0.8,0.8,0.8,0.7
13,"Cheating (Sec.419,420 IPC)",3.1,3.3,3.2,3.4,3.6
14,"Counterfeiting (Sec.231-254, 489A-489D IPC)",0.1,0.1,0.1,0.1,0.1
15,"Arson (Sec.435,436,438 IPC)",0.5,0.5,0.4,0.4,0.4
16,"Hurt (Sec.323-333,335-338 IPC)",14.1,13.7,13.6,13.2,13
17,Dowry Deaths (Sec.304B IPC),0.4,0.4,0.4,0.4,0.4
18,Molestation (Sec. 354 IPC),1.9,1.9,1.9,1.8,1.8
19,Sexual Harassment (Sec.509 IPC),0.5,0.6,0.6,0.5,0.4
20,Cruelty by Husband and Relatives (Sec. 498 A IPC),3.4,3.8,3.9,4.2,4.2
21,Importation Of Girls (Sec.366B IPC),0,0,0,0,0
22,Causing Death By Negligence (Sec. 304A IPC),4.2,4.4,4.4,4.6,4.8
23,Other IPC Crimes,41.5,41.7,40.9,40.8,41.5
24,Total Cognizable Crimes Under IPC,100,100,100,100,100
