Sr. No.,Category,States/ UTs/ Cities,Below - 18 years,Between - 18 – 30 - years,Between - 30 – 45 - years,Between - 45 – 60 - years,Above - 60 years,Total
1,State,Andhra Pradesh,0,25,46,10,0,81
2,State,Arunachal Pradesh,0,0,2,0,0,2
3,State,Assam,0,4,4,0,0,4
4,State,Bihar,0,2,0,0,0,2
5,State,Chhattisgarh,0,4,3,0,0,7
6,State,Goa,0,1,1,0,0,2
7,State,Gujarat,0,24,19,2,0,45
8,State,Haryana,0,0,0,0,0,0
9,State,Himachal Pradesh,0,9,9,2,0,20
10,State,Jammu & Kashmir,0,0,2,0,0,2
11,State,Jharkhand,0,0,0,0,0,0
12,State,Karnataka,2,56,30,5,2,95
13,State,Kerala,1,61,40,3,0,105
14,State,Madhya Pradesh,1,27,20,1,0,49
15,State,Maharashtra,5,88,43,7,0,143
16,State,Manipur,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0
20,State,Odisha,0,8,9,5,2,24
21,State,Punjab,0,15,17,1,1,34
22,State,Rajasthan,0,21,14,0,0,35
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,0,28,10,4,2,44
25,State,Tripura,0,0,0,0,0,0
26,State,Uttar Pradesh,7,40,15,2,0,64
27,State,Uttarakhand,0,5,6,0,0,11
28,State,West Bengal,0,0,2,1,0,3
State,State,Total (States),16,414,292,43,7,772
29,Union Territory,A & N Islands,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,2,0,0,0,2
31,Union Territory,D & N Haveli,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0
33,Union Territory,Delhi,0,17,6,2,0,25
34,Union Territory,Lakshadweep @,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,19,6,2,0,27
Total (All-India),Total (All-India),Total (All-India),16,433,298,45,7,799
36,City,Agra,0,9,2,0,0,11
37,City,Ahmedabad,0,7,0,0,0,7
38,City,Allahabad,0,1,1,0,0,2
39,City,Amritsar,0,3,7,0,0,10
40,City,Asansol,0,0,0,0,0,0
41,City,Bengaluru,0,5,10,1,1,17
42,City,Bhopal,0,15,7,0,0,22
43,City,Chennai,0,10,2,2,0,14
44,City,Coimbatore,0,9,5,0,2,16
45,City,Delhi,0,17,6,2,0,25
46,City,Dhanbad,0,0,0,0,0,0
47,City,Faridabad,0,0,0,0,0,0
48,City,Hyderabad,1,7,7,3,0,18
49,City,Indore,0,5,4,0,0,9
50,City,Jabalpur,0,0,0,0,0,0
51,City,Jaipur,0,6,8,0,0,14
52,City,Jamshedpur,0,0,0,0,0,0
53,City,Kanpur,0,2,0,0,0,2
54,City,Kochi,0,2,1,0,0,3
55,City,Kolkata,0,0,1,1,0,2
56,City,Lucknow,0,0,0,0,0,0
57,City,Ludhiana,0,0,2,0,0,2
58,City,Madurai,0,0,0,0,0,0
59,City,Meerut,0,0,0,0,0,0
60,City,Mumbai,0,1,6,0,0,7
61,City,Nagpur,0,0,0,0,0,0
62,City,Nasik,3,14,1,0,0,18
63,City,Patna,0,1,0,0,0,1
64,City,Pune,0,10,11,3,0,24
65,City,Rajkot,0,0,0,0,0,0
66,City,Surat,0,1,1,0,0,2
67,City,Vadodara,0,2,1,2,0,5
68,City,Varanasi,0,2,0,0,0,2
69,City,Vijayawada,0,0,0,0,0,0
70,City,Vishakhapatnam,0,7,6,0,0,13
City,City,Total (Cities),4,136,89,14,3,246
