Sr. No.,Category,States/ UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,194,160.4,88,131.1,0,0,20,5.4,20,5.1,0,0.3,0,0,13,2.6,235,91.9,550,391.4
2,State,Arunachal Pradesh,33,26.3,3,0.2,0,0,0,0,0,0,0,0,0,0,11,2,22,16.5,69,45
3,State,Assam,152,24,50,29.7,0,0,6,1.6,5,1,1,0.6,2,0.9,81,15.4,371,65.8,662,137.5
4,State,Bihar,87,64.4,1051,567.2,2,0.9,30,3.3,18,2.4,12,0.9,2,4.2,56,15.5,310,184.2,1538,839.6
5,State,Chhattisgarh,51,29.7,78,27.8,0,0,7,3.1,3,1.1,4,2,2,78.3,11,4.3,403,161.2,552,304.4
6,State,Goa,4,2.4,12,36.3,0,0,0,0,0,0,0,0,0,0,2,0.3,21,19.5,39,58.4
7,State,Gujarat,130,136,54,54.3,1,0,13,0.9,7,0.6,6,0.2,2,0.3,62,216.4,1122,655.6,1384,1063.6
8,State,Haryana,66,138.5,136,346.1,0,0,18,5.8,4,0.3,14,5.5,1,1.7,54,37.9,459,633.3,734,1163.4
9,State,Himachal Pradesh,2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,7,12,11,16.2
10,State,Jammu & Kashmir,16,10.2,4,4.3,0,0,4,0.1,0,0,4,0.1,0,0,1,0.2,36,40.4,61,55.3
11,State,Jharkhand,105,43.3,376,167.4,0,0,27,4.4,8,2,19,2.4,7,20.4,67,24.9,127,51.6,709,311.9
12,State,Karnataka,703,293.9,81,105.2,1,0.1,30,15.9,20,11.3,10,4.6,1,1,44,40.4,1089,1052,1949,1508.5
13,State,Kerala,119,30.1,24,6.8,0,0,9,2.9,8,2.9,1,0,0,0,31,13.7,453,137.5,636,191
14,State,Madhya Pradesh,325,153.5,245,426,0,0,17,19.1,13,18.9,4,0.2,15,13.8,43,49.2,1274,644.3,1919,1305.9
15,State,Maharashtra,353,211.3,360,1210.5,3,0.2,105,14.7,54,7.8,51,6.8,7,15.4,183,12217.7,2710,1539.1,3721,15209
16,State,Manipur,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,2,0.5
17,State,Meghalaya,13,8.7,20,6.8,0,0,0,0,0,0,0,0,1,1.5,0,0,33,11.9,67,28.9
18,State,Mizoram,8,10.3,7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,15.1
19,State,Nagaland,7,3.5,37,17.5,0,0,0,0,0,0,0,0,2,5.9,0,0,17,86.8,63,113.7
20,State,Odisha,204,104.9,453,559.5,0,0,21,16.1,8,4.5,13,11.6,5,20,123,80.3,685,411.2,1491,1192
21,State,Punjab,73,136.6,22,19,0,0,0,0,0,0,0,0,0,0,29,76.8,117,226.6,241,458.9
22,State,Rajasthan,24,14.6,70,392.5,0,0,3,0.2,3,0.2,0,0,5,37.4,23,70.3,747,643.6,872,1158.5
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.7,7,1.7
24,State,Tamil Nadu,472,273.4,150,122.2,0,0,74,22,60,18.4,14,3.6,0,0,129,97,992,657,1817,1171.6
25,State,Tripura,25,3.5,0,0,0,0,0,0,0,0,0,0,0,0,8,1.5,32,8.1,65,13.2
26,State,Uttar Pradesh,162,108.3,1014,1204.5,0,0,99,10.6,92,10.3,7,0.3,6,85.4,19,54.4,1277,1006.8,2577,2470
27,State,Uttarakhand,14,17.1,112,103.2,0,0,0,0,0,0,0,0,0,0,2,3.5,34,16.4,162,140.2
28,State,West Bengal,90,62.3,171,124.3,0,0,22,26,18,25.2,4,0.8,1,34,48,48.5,466,208.7,798,503.9
State,State,Total (States),3432,2071.6,4619,5667.5,7,1.2,505,152.1,341,112.1,164,40,59,320.1,1042,13073,13048,8583.8,22712,29869.4
29,Union Territory,A & N Islands,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.1,7,3.2
30,Union Territory,Chandigarh,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,62,33.2,67,34.1
31,Union Territory,D & N Haveli,3,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.5
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,163,145.8,29,34.3,0,0,12,1,5,0.1,7,0.9,0,0,45,115.4,350,869.6,599,1166.1
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.7,4,21.6,5,24.3
Union Territory,Union Territory,Total (UTs),173,157.7,29,34.3,0,0,12,1,5,0.1,7,0.9,0,0,48,118.6,419,925.4,681,1237.1
Total (All-India),Total (All-India),Total (All-India),3605,2229.4,4648,5701.9,7,1.2,517,153.2,346,112.2,171,41,59,320.1,1090,13191.6,13467,9509.2,23393,31106.5
36,City,Agra,3,2.1,21,72.1,0,0,0,0,0,0,0,0,0,0,0,0,13,19.8,37,94
37,City,Ahmedabad,21,5.6,0,0,0,0,0,0,0,0,0,0,1,0.2,18,78.4,765,331.9,805,416
38,City,Allahabad,0,0,10,8.1,0,0,0,0,0,0,0,0,0,0,0,0,12,1.6,22,9.7
39,City,Amritsar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34.3,9,34.3
40,City,Asansol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.8,2,0.6,5,4.5
41,City,Bengaluru,545,171.9,24,13.7,0,0,1,0.3,0,0,1,0.3,1,1,27,33.3,43,436.8,641,656.9
42,City,Bhopal,8,2.9,0,0,0,0,0,0,0,0,0,0,3,0.5,6,0,174,40.7,191,44.1
43,City,Chennai,10,21.5,49,51.3,0,0,0,0,0,0,0,0,0,0,11,12.4,4,1.1,74,86.2
44,City,Coimbatore,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21.9,25,30.9
45,City,Delhi (city),151,117.2,28,34.3,0,0,12,1,5,0.1,7,0.9,0,0,19,96.2,344,795.9,554,1044.5
46,City,Dhanbad,3,1.6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6.7
47,City,Faridabad,5,7,3,12.2,0,0,0,0,0,0,0,0,0,0,4,2.7,8,67.6,20,89.5
48,City,Hyderabad,10,12.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,14.7,54,27.5
49,City,Indore,196,60.4,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,12,4.2,210,64.7
50,City,Jabalpur,1,0.2,8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,43,0.8,52,1.6
51,City,Jaipur,1,0.2,0,0,0,0,0,0,0,0,0,0,1,15.4,2,19.7,249,230.5,253,265.7
52,City,Jamshedpur,0,0,17,7.8,0,0,0,0,0,0,0,0,0,0,6,2.7,2,0.9,25,11.5
