SI. No.,Category,States/ UTs,Districts,Murder (Sec.302 IPC),Attempt to Commit Murder (Sec. 307 IPC),"C.h. Not Amounting Murder (Sec.304 , 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Others",Dacoity (Sec. 395-398 IPC),Preparation & Assembly for Dacoity (Sec.399-402 IPC),"Robbery (Sec.392-394, 397,398 IPC)","Burglary (Sec.449-452,454,455,457-460 IPC)",Theft (Sec.379 – 382 IPC) Total,Theft (Sec.379 – 382 IPC) - Auto theft,Theft (Sec.379 – 382 IPC) - Other Theft,"Riots (Sec.143-145, 147-151, 153, 153A,153B,157,158,160 IPC)",Criminal Breach of Trust (Sec.406-409 IPC),"Cheating (Sec.419,420 IPC)","Counterfeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec.435,436,438 IPC)","Hurt (Sec.323-333,335-338 IPC)",Dowry Deaths (Sec.304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec.509 IPC),Cruelty by Husband and Relatives (Sec. 498 A IPC),Importation Of Girls (Sec.366B IPC),Causing Death By Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cognizable Crimes Under IPC
1,State,Andhra Pradesh,Adilabad,98,90,9,48,0,48,55,48,7,5,0,15,196,302,85,217,65,36,162,1,26,1044,18,133,155,429,0,342,1726,4955
2,State,Andhra Pradesh,Anantapur,137,101,7,20,0,20,81,60,21,18,0,21,291,730,230,500,65,23,226,2,35,2066,20,132,35,250,0,574,1020,5854
3,State,Andhra Pradesh,Chittoor,100,50,1,44,0,44,85,56,29,8,0,12,149,484,116,368,58,16,152,7,19,827,32,136,121,388,0,552,1977,5218
4,State,Andhra Pradesh,Cuddapah,99,40,5,39,0,39,63,51,12,2,0,9,144,488,133,355,99,37,152,4,37,1385,15,137,45,321,0,484,2089,5694
5,State,Andhra Pradesh,Cyberabad,187,84,10,95,0,95,150,72,78,14,1,63,1361,4015,1609,2406,60,173,1256,18,61,3529,43,157,1257,1191,0,1080,1543,16348
6,State,Andhra Pradesh,East Godavari,71,91,23,66,0,66,51,30,21,3,0,11,318,836,297,539,29,80,271,6,24,2060,20,193,188,246,0,577,1185,6349
7,State,Andhra Pradesh,Guntakal Rly.,8,1,0,0,0,0,4,2,2,0,0,2,0,221,0,221,0,0,3,2,1,4,0,2,2,0,0,3,34,287
8,State,Andhra Pradesh,Guntur,107,107,1,38,0,38,55,39,16,9,0,15,222,648,172,476,48,60,208,11,54,1408,20,282,409,456,0,550,1804,6512
9,State,Andhra Pradesh,Guntur Urban,43,26,1,12,0,12,27,5,22,2,0,19,123,743,220,523,9,34,236,2,9,321,13,48,54,245,0,232,1009,3208
10,State,Andhra Pradesh,Hyderabad City,134,143,8,45,0,45,121,41,80,7,0,54,906,4916,1543,3373,513,96,2021,29,15,3425,44,171,60,1420,0,542,2879,17549
11,State,Andhra Pradesh,Karimnagar,139,86,8,65,0,65,158,128,30,2,0,16,282,673,251,422,158,41,489,1,56,2791,39,237,241,636,0,571,1631,8320
12,State,Andhra Pradesh,Khammam,93,70,4,62,0,62,71,66,5,2,0,11,210,511,172,339,130,25,233,4,38,1994,17,147,129,354,0,497,969,5571
13,State,Andhra Pradesh,Krishna,80,79,1,54,0,54,75,67,8,2,1,9,195,563,107,456,36,13,171,6,28,2323,22,300,149,412,0,440,860,5819
14,State,Andhra Pradesh,Kurnool,156,145,6,49,0,49,85,67,18,5,0,20,211,491,164,327,84,28,301,9,41,1500,19,347,268,501,0,593,2399,7258
15,State,Andhra Pradesh,Mahaboobnagar,177,58,14,89,0,89,87,78,9,1,0,24,253,1224,7,1217,46,28,185,3,37,1903,34,174,78,233,0,734,1322,6704
16,State,Andhra Pradesh,Medak,96,59,11,49,0,49,83,68,15,7,0,21,325,544,168,376,46,13,231,2,58,1654,29,103,95,316,0,655,872,5269
17,State,Andhra Pradesh,Nalgonda,118,68,5,68,0,68,81,81,0,4,0,36,303,595,191,404,99,46,245,4,57,1420,32,195,192,218,0,748,3202,7736
18,State,Andhra Pradesh,Nellore,72,86,2,28,0,28,77,74,3,6,0,11,237,780,299,481,34,38,244,6,43,1951,6,176,119,382,0,484,997,5779
19,State,Andhra Pradesh,Nizamabad,98,45,8,62,0,62,65,50,15,4,0,23,329,704,205,499,56,12,206,7,36,1805,21,114,75,626,0,442,1077,5815
20,State,Andhra Pradesh,Prakasham,98,99,2,29,0,29,84,65,19,8,0,14,188,455,56,399,23,47,188,1,32,1118,13,253,32,216,0,488,2054,5442
21,State,Andhra Pradesh,Rajahmundry,21,20,1,10,0,10,30,12,18,3,0,10,129,382,6,376,5,35,82,4,4,620,4,47,39,96,0,164,316,2022
22,State,Andhra Pradesh,Ranga Reddy,33,26,5,19,0,19,21,19,2,0,0,4,66,120,24,96,20,4,59,1,17,638,19,39,26,75,0,167,317,1676
23,State,Andhra Pradesh,Secunderabad Rly.,2,0,0,1,0,1,1,1,0,0,0,8,0,357,0,357,0,0,3,4,1,8,0,2,2,0,0,3,70,462
24,State,Andhra Pradesh,Srikakulam,31,43,0,35,0,35,31,31,0,2,0,7,139,306,5,301,53,12,99,1,21,833,5,93,92,233,0,317,2557,4910
25,State,Andhra Pradesh,Tirupathi Urban,31,35,0,10,0,10,26,15,11,2,0,4,119,636,221,415,25,7,150,1,4,696,5,38,25,85,0,237,471,2607
26,State,Andhra Pradesh,Vijayawada City,33,49,1,25,0,25,87,65,22,3,0,20,228,1324,539,785,8,52,398,16,20,1565,17,172,219,626,0,363,607,5833
27,State,Andhra Pradesh,Vijayawada Rly.,3,1,0,1,0,1,0,0,0,1,0,10,0,360,0,360,1,1,4,0,0,12,3,6,0,4,0,5,37,449
28,State,Andhra Pradesh,Visakha Rural,79,26,2,42,0,42,27,12,15,1,0,1,110,250,15,235,70,10,112,4,27,1263,8,92,52,222,0,347,567,3312
29,State,Andhra Pradesh,Visakhapatnam,24,25,4,53,0,53,34,24,10,8,0,40,335,1234,134,1100,2,75,294,16,28,2443,11,59,52,393,0,466,1516,7112
30,State,Andhra Pradesh,Vizianagaram,26,40,2,32,0,32,19,15,4,1,0,6,122,269,0,269,0,11,117,6,15,526,14,101,85,312,0,312,1846,3862
31,State,Andhra Pradesh,Warangal,49,19,5,28,0,28,49,39,10,3,0,6,141,132,5,127,146,0,131,2,10,803,7,98,10,50,0,248,780,2717
32,State,Andhra Pradesh,Warangal Urban,21,16,1,17,0,17,28,28,0,0,0,6,122,245,0,245,44,3,165,1,42,566,12,50,25,412,0,245,495,2516
