Sr. No.,Category,States/ UTs,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/Cases Registered - Complaints / Cases Declared False/ Unsustantiated,Complaints Received/Cases Registered - No. of Cases Registered During the Year,Complaints Received/Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/Cases Registered - No. of Cases - Sent Up for Trials/ Charge Sheeted,Police Personnel Involved/Action Taken - No. of Police Personnel Sent Up for Trial During the Year,Police Personnel Involved/Action Taken - No. of Police Personnel Whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved/Action Taken - No. of Personnel in Whose Cases Trial Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against Whom Disciplinary Action initiated,Departmental Action/Punishment - No. of Police Personnel - Whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel - in Whose Cases Trial Was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
1,State,Andhra Pradesh,2321,320,0,21,5,112,65,52,69,3,14,0,14,950,230,40,1,37,351
2,State,Arunachal Pradesh,177,177,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,13,54
3,State,Assam,19,7,1,3,1,9,0,2,2,2,0,0,0,0,0,0,0,7,5
4,State,Bihar,35,2,0,32,1,37,2,2,31,2,0,0,0,643,227,248,5,293,157
5,State,Chhattisgarh,1863,1104,0,8,1272,29,98,30,11,1,19,17,2,362,57,207,23,37,148
6,State,Goa,15,1,0,0,7,8,1,3,3,2,4,1,3,257,165,41,0,1,121
7,State,Gujarat,958,558,41,24,375,274,271,202,219,9,20,5,15,1937,191,690,34,166,808
8,State,Haryana,788,322,0,0,814,40,23,16,35,0,0,0,0,8,0,0,0,0,0
9,State,Himachal Pradesh,334,21,2,0,300,17,0,5,7,1,0,0,0,98,20,32,0,22,23
10,State,Jammu & Kashmir,526,435,1,0,116,79,35,35,40,4,8,1,7,1447,877,797,17,559,516
11,State,Jharkhand,2043,24,0,6,5,8,0,6,1,0,1,1,0,932,112,253,90,353,327
12,State,Karnataka,485,450,31,13,9,81,177,51,62,3,3,1,2,633,82,386,8,22,449
13,State,Kerala,4294,2684,0,3,3337,118,108,37,45,12,16,5,11,1223,141,395,13,128,359
14,State,Madhya Pradesh,13620,3545,158,0,12792,30,73,23,20,9,2,1,1,805,188,83,25,80,177
15,State,Maharashtra,4906,370,19,58,3713,413,90,159,160,3,25,2,23,275,4,184,36,21,127
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
