Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases (Col. 5) - Compounded or Withdrawn,No. of Cases in which Trials Completed (Col. 6) - Convicted,No. of Cases in which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases in which Trials Completed (Col. 8) - Total = Col. {(6) +(7)),No. of Cases (Col. 9) - Pending Trial at the end of the year,Pendency Percentage (Col. 10),Percentage of Pendency to All India Total (Col. 11),Conviction Rate (Col. 12) = Col. ((6) /(8)× 100),Note of Conviction Rate
State,Andhra Pradesh,3794,0,46,155,1105,1260,2488,65.6,4.2,12.3,NA
State,Arunachal Pradesh,135,0,0,0,0,0,135,100,0.2,0,NA
State,Assam,286,0,0,7,34,41,245,85.7,0.4,17.1,NA
State,Bihar,2262,0,0,35,109,144,2118,93.6,3.6,24.3,NA
State,Chhattisgarh,4118,0,9,332,616,948,3161,76.8,5.3,35,NA
State,Goa,220,0,1,9,39,48,171,77.7,0.3,18.8,NA
State,Gujarat,4798,0,7,26,294,320,4471,93.2,7.5,8.1,NA
State,Haryana,669,0,0,67,205,272,397,59.3,0.7,24.6,NA
State,Himachal Pradesh,526,0,22,10,143,153,351,66.7,0.6,6.5,NA
State,Jammu & Kashmir,160,0,0,1,7,8,152,95,0.3,12.5,NA
State,Jharkhand,170,0,6,3,81,84,80,47.1,0.1,3.6,NA
State,Karnataka,891,0,1,23,132,155,735,82.5,1.2,14.8,NA
State,Kerala,2343,0,5,54,213,267,2071,88.4,3.5,20.2,NA
State,Madhya Pradesh,13945,0,459,1384,2115,3499,9987,71.6,16.9,39.6,NA
State,Maharashtra,15900,0,11,92,1025,1117,14772,92.9,24.9,8.2,NA
State,Manipur,3,0,0,0,0,0,3,100,0,NA,@
State,Meghalaya,203,0,0,3,11,14,189,93.1,0.3,21.4,NA
State,Mizoram,60,0,0,22,0,22,38,63.3,0.1,100,NA
State,Nagaland,8,0,0,5,0,5,3,37.5,0,100,NA
State,Odisha,811,0,0,12,58,70,741,91.4,1.3,17.1,NA
State,Punjab,977,0,0,112,185,297,680,69.6,1.1,37.7,NA
State,Rajasthan,3015,0,2,103,152,255,2758,91.5,4.7,40.4,NA
State,Sikkim,80,0,0,0,1,1,79,98.8,0.1,0,NA
State,Tamil Nadu,1345,0,0,116,224,340,1005,74.7,1.7,34.1,NA
State,Tripura,362,0,0,21,98,119,243,67.1,0.4,17.6,NA
State,Uttar Pradesh,9908,0,0,1456,922,2378,7530,76,12.7,61.2,NA
State,Uttarakhand,147,0,0,26,20,46,101,68.7,0.2,56.5,NA
State,West Bengal,1175,0,18,44,98,142,1015,86.4,1.7,31,NA
State,Total (States),68311,0,587,4118,7887,12005,55719,81.6,94.1,34.3,NA
Union Territory,A & N Islands,106,0,0,0,0,0,106,100,0.2,NA,@
Union Territory,Chandigarh,119,0,0,13,20,33,86,72.3,0.1,39.4,NA
Union Territory,D & N Haveli,40,0,0,2,3,5,35,87.5,0.1,40,NA
Union Territory,Daman & Diu,7,0,0,1,0,1,6,85.7,0,100,NA
Union Territory,Delhi,3681,0,0,198,293,491,3190,86.7,5.4,40.3,NA
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,NA,@
Union Territory,Puducherry,87,0,0,2,6,8,79,90.8,0.1,25,NA
Union Territory,Total (UTs),4040,0,0,216,322,538,3502,86.7,5.9,40.1,NA
Total (All-India),Total (All-India),72351,0,587,4334,8209,12543,59221,81.9,100,34.6,NA
