Sr. No.,Category,States/ UTs,Total No. of Persons Undertrial Including those from Previous Year,Total No. of Persons Whose - Cases Compounded or Withdrawn,Total No. of Persons Whose - Trial Completed,Total No. of Persons Whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total,Note of Pendency Percentage,Note of Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,2349,33,776,1540,91,65.6,5.1,NA,NA
2,State,Arunachal Pradesh,198,0,4,194,1,98,0.6,NA,NA
3,State,Assam,176,0,25,151,2,85.8,0.5,NA,NA
4,State,Bihar,542,0,106,436,11,80.4,1.4,NA,NA
5,State,Chhattisgarh,3501,32,611,2858,164,81.6,9.4,NA,NA
6,State,Goa,8,0,0,8,0,100,0,NA,NA
7,State,Gujarat,4326,0,322,4004,8,92.6,13.1,NA,NA
8,State,Haryana,0,0,0,0,0,NA,NA,@,@
9,State,Himachal Pradesh,13,0,11,2,1,15.4,0,NA,NA
10,State,Jammu & Kashmir,0,0,0,0,0,NA,NA,@,@
11,State,Jharkhand,923,3,274,646,72,70,2.1,NA,NA
12,State,Karnataka,2271,110,903,1258,14,55.4,4.1,NA,NA
13,State,Kerala,563,25,62,476,5,84.5,1.6,NA,NA
14,State,Madhya Pradesh,8773,204,2496,6073,944,69.2,19.9,NA,NA
15,State,Maharashtra,5438,5,556,4877,18,89.7,16,NA,NA
16,State,Manipur,0,0,0,0,0,NA,NA,@,@
17,State,Meghalaya,0,0,0,0,0,NA,NA,@,@
18,State,Mizoram,0,0,0,0,0,NA,NA,@,@
19,State,Nagaland,0,0,0,0,0,NA,NA,@,@
20,State,Odisha,4664,0,506,4158,71,89.2,13.6,NA,NA
21,State,Punjab,0,0,0,0,0,0,0,NA,NA
22,State,Rajasthan,4156,50,741,3365,319,81,11,NA,NA
23,State,Sikkim,24,10,0,14,0,58.3,0,NA,NA
24,State,Tamil Nadu,195,0,26,169,4,86.7,0.6,NA,NA
25,State,Tripura,47,0,33,14,7,29.8,0,NA,NA
26,State,Uttar Pradesh,122,0,73,49,40,40.2,0.2,NA,NA
27,State,Uttarakhand,8,0,8,0,3,0,0,NA,NA
28,State,West Bengal,62,0,0,62,0,100,0.2,NA,NA
State,State,Total (States),38359,472,7533,30354,1775,79.1,99.6,NA,NA
29,Union Territory,A & N Islands,73,0,10,63,0,86.3,0.2,NA,NA
30,Union Territory,Chandigarh,0,0,0,0,0,NA,NA,@,@
31,Union Territory,D & N Haveli,58,0,4,54,0,93.1,0.2,NA,NA
32,Union Territory,Daman & Diu,4,0,2,2,0,50,0,NA,NA
33,Union Territory,Delhi,0,0,0,0,0,NA,NA,@,@
34,Union Territory,Lakshadweep,1,0,0,1,0,100,0,NA,NA
35,Union Territory,Puducherry,0,0,0,0,0,NA,NA,@,@
Union Territory,Union Territory,Total (UTs),136,0,16,120,0,88.2,0.4,NA,NA
Total (All-India),Total (All-India),Total (All-India),38495,472,7549,30474,1775,79.2,100,NA,NA
