Sr. No.,Category,States/ UTs,Estimated Mid Year Population (In Lakhs)#,Murder (Sec. 302 IPC) - (I),Murder (Sec. 302 IPC) - ( R),Murder (Sec. 302 IPC) - (P),Rape (Sec. 376 IPC) - (I),Rape (Sec. 376 IPC) - ( R),Rape (Sec. 376 IPC) - (P),"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (I)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - ( R)","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - (P)",Dacoity (Sec. 395-398 IPC) - (I),Dacoity (Sec. 395-398 IPC) - ( R),Dacoity (Sec. 395-398 IPC) - (P),"Robbery (Sec. 392-394,397,398 IPC) - (I)","Robbery (Sec. 392-394,397,398 IPC) - ( R)","Robbery (Sec. 392-394,397,398 IPC) - (P)","Arson (Sec. 435,436,438 IPC) - (I)","Arson (Sec. 435,436,438 IPC) - ( R)","Arson (Sec. 435,436,438 IPC) - (P)","Hurt (Sec. 323-333,335-338 IPC) - (I)","Hurt (Sec. 323-333,335-338 IPC) - ( R)","Hurt (Sec. 323-333,335-338 IPC) - (P)",Prot.of Civil Rights Act (1955) - (I),Prot.of Civil Rights Act (1955) - ( R),Prot.of Civil Rights Act (1955) - (P),SC/ST Prev.of Attrocities Act (1989) - (I),SC/ST Prev.of Attrocities Act (1989) - ( R),SC/ST Prev.of Attrocities Act (1989) - (P),Other offences - (I),Other offences - ( R),Other offences - (P),Total - (I),Total - ( R),Total - (P)
1,State,Andhra Pradesh,841.29,7,0,4.9,41,0,6.3,1,0,1.2,0,0,0,0,0,0,2,0,5.1,102,0.1,10.8,4,0,80,225,0.3,19.2,425,0.5,15,807,1,13.7
2,State,Arunachal Pradesh,12.35,0,0,0,0,0,0,2,0.2,2.4,0,0,0,0,0,0,0,0,0,17,1.4,1.8,0,0,0,0,0,0,35,2.8,1.2,54,4.4,0.9
3,State,Assam,309.78,1,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,1,0,0,3,0,0.1
4,State,Bihar,971.84,1,0,0.7,1,0,0.2,0,0,0,0,0,0,0,0,0,1,0,2.6,15,0,1.6,0,0,0,33,0,2.8,20,0,0.7,71,0.1,1.2
5,State,Chhattisgarh,245.38,24,0.1,16.9,112,0.5,17.1,15,0.1,17.9,0,0,0,0,0,0,6,0,15.4,42,0.2,4.5,0,0,0,132,0.5,11.3,176,0.7,6.2,507,2.1,8.6
6,State,Goa,17.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,581.93,8,0,5.6,19,0,2.9,13,0,15.5,1,0,14.3,1,0,20,1,0,2.6,41,0.1,4.4,0,0,0,34,0.1,2.9,37,0.1,1.3,155,0.3,2.6
8,State,Haryana,245.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,66.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.2,0,0,0,2,0,0
10,State,Jammu & Kashmir,133.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
