Sr. No.,Category,States/ UTs,No. of Occasions of Poilce Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,State,Andhra Pradesh,6,5,3,0,3
2,State,Arunachal Pradesh,1,0,1,0,0
3,State,Assam,2,1,0,0,0
4,State,Bihar,0,0,0,0,0
5,State,Chhattisgarh,82,11,8,68,16
6,State,Goa,0,0,0,0,0
7,State,Gujarat,28,1,0,0,39
8,State,Haryana,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0
10,State,Jammu & Kashmir,662,91,494,17,2952
11,State,Jharkhand,28,3,2,24,12
12,State,Karnataka,3,2,5,0,43
13,State,Kerala,3,0,0,0,9
14,State,Madhya Pradesh,7,5,1,1,7
15,State,Maharashtra,27,18,13,7,89
16,State,Manipur,2,0,0,0,2
17,State,Meghalaya,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0
20,State,Odisha,15,4,2,9,11
21,State,Punjab,2,4,1,2,2
22,State,Rajasthan,21,8,25,1,82
23,State,Sikkim,0,0,0,0,0
24,State,Tamil Nadu,12,8,1,2,40
25,State,Tripura,3,0,0,2,2
26,State,Uttar Pradesh,445,55,68,4,29
27,State,Uttarakhand,0,0,0,0,0
28,State,West Bengal,70,23,51,29,76
State,State,Total (States),1419,239,675,166,3414
29,Union Territory,A & N Islands,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,30,0,41
31,Union Territory,D & N Haveli,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0
33,Union Territory,Delhi,1,0,8,0,17
34,Union Territory,Lakshadweep,0,0,0,0,0
35,Union Territory,Puducherry,1,0,0,0,0
Union Territory,Union Territory,Total (UTs),2,0,38,0,58
Total (All-India),Total (All-India),Total (All-India),1421,239,713,166,3472
