Sr. No.,Category,States/ UTs,No. of officers (Dy. SP & Above) - Sanctioned,No. of officers (Dy. SP & Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
1,State,Andhra Pradesh,16,15,44,29,27263,27257
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,134,75,4552,4324,245,223
4,State,Bihar,62,32,370,157,1769,480
5,State,Chhattisgarh,29,22,384,178,7737,5702
6,State,Goa,4,4,28,11,750,719
7,State,Gujarat,145,37,1785,471,40518,34739
8,State,Haryana,47,18,185,127,383,240
9,State,Himachal Pradesh,19,15,291,149,228,150
10,State,Jammu & Kashmir,35,35,82,70,1501,1493
11,State,Jharkhand,246,173,302,110,4864,3032
12,State,Karnataka,1182,849,777,448,26115,19672
13,State,Kerala,0,0,0,0,2134,1979
14,State,Madhya Pradesh,70,56,659,435,16005,15294
15,State,Maharashtra,4,0,3,2,652,441
16,State,Manipur,10,10,96,96,2180,2180
17,State,Meghalaya,18,14,63,55,433,395
18,State,Mizoram,8,8,46,31,100,84
19,State,Nagaland,5,3,17,6,130,181
20,State,Odisha,19,11,292,253,124,101
21,State,Punjab,6,5,140,72,17879,11555
22,State,Rajasthan,50,25,236,122,431,322
23,State,Sikkim,0,3,6,4,776,646
24,State,Tamil Nadu,0,0,0,0,11605,9225
25,State,Tripura,10,5,30,3,3036,1645
26,State,Uttar Pradesh,102,76,262,216,1138,778
27,State,Uttarakhand,20,5,241,106,6411,5795
28,State,West Bengal,314,150,166,94,20999,17809
State,State,Total (States),2555,1646,11057,7569,195406,162137
29,Union Territory,A & N Islands,1,1,6,3,799,761
30,Union Territory,Chandigarh,3,3,2,2,1363,1321
31,Union Territory,D & N Haveli,0,0,0,0,400,384
32,Union Territory,Daman & Diu,1,1,14,14,139,130
33,Union Territory,Delhi,11,4,186,10,10088,6233
34,Union Territory,Lakshadweep,0,0,0,0,55,47
35,Union Territory,Puducherry,0,2,2,1,777,450
Union Territory,Union Territory,Total (UTs),16,11,210,30,13621,9326
Total (All-India),Total (All-India),Total (All-India),2571,1657,11267,7599,209027,171463
