Sr. No.,Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
1,State,Andhra Pradesh,2120
2,State,Arunachal Pradesh,0
3,State,Assam,15
4,State,Bihar,1447
5,State,Chhattisgarh,65
6,State,Goa,243
7,State,Gujarat,2226
8,State,Haryana,628
9,State,Himachal Pradesh,89
10,State,Jammu & Kashmir,266
11,State,Jharkhand,317
12,State,Karnataka,2268
13,State,Kerala,491
14,State,Madhya Pradesh,1040
15,State,Maharashtra,7651
16,State,Manipur,25
17,State,Meghalaya,31
18,State,Mizoram,3
19,State,Nagaland,6
20,State,Odisha,1161
21,State,Punjab,1141
22,State,Rajasthan,1125
23,State,Sikkim,8
24,State,Tamil Nadu,2795
25,State,Tripura,17
26,State,Uttar Pradesh,3767
27,State,Uttarakhand,364
28,State,West Bengal,3461
State,State,Total (States),32770
29,Union Territory,Andaman & Nicobar Islands,0
30,Union Territory,Chandigarh,32
31,Union Territory,Dadra Nagar Haveli,4
32,Union Territory,Daman & Diu,8
33,Union Territory,Delhi,2877
34,Union Territory,Lakshadweep,0
35,Union Territory,Pondicherry,166
Union Territory,Union Territory,Total (UTs),3087
Total (All-India),Total (All-India),Total (All-India),35857
