Sl. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for investigation including Pending Cases from previous year (Col 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in Which - investigation was Refused (Col. 5),No. of Cases in Which - investigation Was Completed (Charge Found False / Mistake of Fact Or Law Etc) (Col.6),No. of Cases in Which - investigation Was Completed (Final Report True Submitted) (Col. 7),No. of Cases in Which - investigation Was Completed (Charge Sheets Submitted) (Col. 8),No. of Cases in Which - investigation Was Completed (Total) (Col. 9) = {(6)+(7)+(8)},No. of Cases Pending investigation at the end of the year (Col.10)
1,Murder (sec.302 IPC),61152,1,81,1438,4662,27979,34079,26991
2,Attempt to Commit Murder (sec. 307 IPC),49667,0,22,1251,2736,26419,30406,19239
3,"C.h. not Amounting Murder (sec.304 , 308 IPC)",5880,2,1,203,446,2995,3644,2233
4,Rape (sec. 376 IPC) - Total,36156,1,31,1810,1308,19785,22903,13221
5,Rape (sec. 376 IPC) - Custodial Rape,5,0,0,1,1,3,5,0
6,Rape (sec. 376 IPC) - Other Rape,36151,1,31,1809,1307,19782,22898,13221
7,"Kidnapping & Abduction (sec.363-369,371-373 IPC) - Total",71089,197,172,9466,9570,22818,41854,28866
8,"Kidnapping & Abduction (sec.363-369,371-373 IPC) - of Women & Girls",55107,93,120,7431,6896,18631,32958,21936
9,"Kidnapping & Abduction (sec.363-369,371-373 IPC) - of Others",15982,104,52,2035,2674,4187,8896,6930
10,Dacoity (sec.395-398 IPC),9982,2,9,293,1158,3010,4461,5510
11,Preparation & Assembly for Dacoity (sec.399 To 402 IPC),5568,0,0,13,151,2393,2557,3011
12,"Robbery(sec.392-394, 397,398 IPC)",39055,2,36,1188,6918,15531,23637,15380
13,"Burglary(sec.449-452,454,455,457-460 IPC)",135573,0,263,2571,49967,37815,90353,44957
14,Theft (sec.379 – 382 IPC),497994,38,555,9685,208915,120383,338983,158418
15,Theft (sec.379 – 382 IPC) - Auto Theft,209932,31,114,2978,108476,40230,151684,58103
16,Theft (sec.379 – 382 IPC) - Other Theft,288062,7,441,6707,100439,80153,187299,100315
17,"Riots (sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",103249,1,45,3467,5766,62394,71627,31576
18,"Criminal Breach of Trust
(sec.406-409 IPC)",32170,4,19,1936,4426,10856,17218,14929
19,"Cheating (sec.419,420 IPC)",147178,8,243,21358,18279,41138,80775,66152
20,"Counterfeiting (sec.231-254, 489a-489d IPC)",5274,0,3,98,1233,1024,2355,2916
21,"Arson (sec.435,436,438 IPC)",13701,0,11,762,2522,5433,8717,4973
22,"Hurt (sec.323-333,335-338 IPC)",370050,3,184,11553,15125,268352,295030,74833
23,Dowry Deaths (sec.304b IPC),13638,0,4,515,671,7694,8880,4754
24,Molestation (sec. 354 IPC),54378,1,23,2691,1393,38526,42610,11744
25,Sexual Harassment (sec.509 IPC),10443,0,0,386,288,7746,8420,2023
26,Cruelty by Husband and Relatives (sec. 498a IPC),133544,42,90,10193,4631,77786,92610,40802
27,Importation of Girls (sec.366b IPC),127,0,0,1,16,75,92,35
28,Causing Death by Negligenc (sec. 304a IPC),144697,11,103,3919,20624,81510,106053,38530
29,Other IPC Crimes,1205761,24,653,58007,93507,808219,959733,245351
30,Total Cognizable Crimes Under IPC,3146326,337,2548,142804,454312,1689881,2286997,856444
