Sl. No.,Category,State/UT,"Age Group - 18-25
Years","Age Group - 25-35
Years","Age Group - 35-45
Years","Age Group - 45-55
Years",Age Group - Above 55 Years,Age Group - Total
1,State,Andhra Pradesh,2,7,9,6,2,26
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,0,2,1,0,0,3
4,State,Bihar,1,1,3,3,1,9
5,State,Chhattisgarh,20,22,24,10,9,85
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,1,2,18,18,6,45
8,State,Haryana,2,4,19,6,0,31
9,State,Himachal Pradesh,2,0,0,0,0,2
10,State,Jammu & Kashmir,0,5,12,1,0,18
11,State,Jharkhand,2,36,8,5,2,53
12,State,Karnataka,0,4,3,3,2,12
13,State,Kerala,0,3,0,3,0,6
14,State,Madhya Pradesh,2,9,14,14,0,39
15,State,Maharashtra,2,25,35,22,6,90
16,State,Manipur,0,7,2,0,0,9
17,State,Meghalaya,0,7,3,1,0,11
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0
20,State,Odisha,0,3,1,1,1,6
21,State,Punjab,0,4,47,29,19,99
22,State,Rajasthan,3,13,26,15,2,59
23,State,Sikkim,0,0,0,0,0,0
24,State,Tamil Nadu,0,21,27,33,2,83
25,State,Tripura,0,0,0,0,0,0
26,State,Uttar Pradesh,5,23,45,51,10,134
27,State,Uttarakhand,4,4,2,3,0,13
28,State,West Bengal,0,4,4,7,5,20
State,State,Total (States),46,206,303,231,67,853
29,Union Territory,A & N Islands,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0
33,Union Territory,Delhi,1,2,4,5,2,14
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),1,2,4,5,2,14
Total (All-India),Total (All-India),Total (All-India),47,208,307,236,69,867
