Sl. No.,Category,State/UT,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways -Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,State,Andhra Pradesh,6008,3920.6,64,8,0,0,56,16,0,0,56,16,38,174.2,982,944.2,1152,784,8300,5846.9
2,State,Arunachal Pradesh,83,296.9,2,1.8,0,0,0,0,0,0,0,0,0,0,58,39.9,40,71.6,183,410.2
3,State,Assam,1681,344.4,57,36.5,0,0,0,0,0,0,0,0,2,16.9,674,128.4,913,121.9,3327,648.1
4,State,Bihar,2681,308.8,0,0,0,0,4,0,2,0,2,0,4,4.3,330,64.3,610,81.7,3629,459.1
5,State,Chhattisgarh,2800,754.1,0,0,0,0,8,3.3,0,0,8,3.3,7,0,184,251,549,135.2,3548,1143.6
6,State,Goa,193,239.9,0,0,0,0,0,0,0,0,0,0,6,0,63,93.7,56,42.1,318,375.6
7,State,Gujarat,2351,1876,5,0.8,0,0,0,0,0,0,0,0,19,2.3,660,654.5,1474,1160,4509,3693.6
8,State,Haryana,3350,1529.5,0,0,0,0,4,0.3,0,0,4,0.3,27,15.3,1038,388.6,592,521.2,5011,2454.9
9,State,Himachal Pradesh,518,381.2,0,0,0,0,0,0,0,0,0,0,4,0.4,199,337.8,274,130.2,995,849.6
10,State,Jammu & Kashmir,621,255,0,0,0,0,0,0,0,0,0,0,1,0,432,250.9,462,223.5,1516,729.4
11,State,Jharkhand,1070,260.9,0,0,0,0,1,0.3,0,0,1,0.3,1,0.1,74,8.4,89,10,1235,279.7
12,State,Karnataka,4103,2932.6,5,1.5,0,0,26,22.7,3,0,23,22.7,46,118,645,699.8,1311,3658.3,6136,7432.8
13,State,Kerala,1585,1279.9,0,0,0,0,4,0.3,0,0,4,0.3,4,100.1,594,419.7,814,456.6,3001,2256.6
14,State,Madhya Pradesh,7193,2583.2,12,2.5,0,0,5,1.6,0,0,5,1.6,10,1.1,1379,572.2,1631,811.4,10230,3972
15,State,Maharashtra,10557,7928.2,0,0,0,0,33,34.4,6,0.8,27,33.6,89,78.2,2548,4114.3,3086,3165,16313,15320
16,State,Manipur,11,13.7,6,1.4,0,0,0,0,0,0,0,0,1,1.5,14,23.9,20,9.2,52,49.7
17,State,Meghalaya,79,14.1,4,1.5,0,0,0,0,0,0,0,0,0,0,2,6,60,81.7,145,103.3
18,State,Mizoram,263,67.2,0,0,0,0,0,0,0,0,0,0,0,0,56,27.9,17,31.5,336,126.6
19,State,Nagaland,20,21.6,11,8.1,0,0,0,0,0,0,0,0,0,0,21,5.3,21,6.6,73,41.6
20,State,Odisha,1493,762.9,0,0,0,0,3,0.5,0,0,3,0.5,15,50.4,480,264.7,1040,624.9,3031,1703.4
21,State,Punjab,1296,825.2,4,4.2,0,0,1,0.1,0,0,1,0.1,24,5.7,600,420.5,563,613.9,2488,1869.6
22,State,Rajasthan,2824,1771.6,0,0,0,0,0,0,0,0,0,0,18,2,909,611.7,759,267.4,4510,2652.6
23,State,Sikkim,53,40.9,0,0,0,0,0,0,0,0,0,0,0,0,3,4.2,4,1.8,60,46.9
24,State,Tamil Nadu,3340,2265.6,3,1.5,0,0,2,0.4,0,0,2,0.4,13,0.5,609,447.1,881,567.9,4848,3283
25,State,Tripura,123,36.9,0,0,0,0,0,0,0,0,0,0,0,0,56,10.6,48,11.5,227,59.1
26,State,Uttar Pradesh,3908,2173.2,0,0,0,0,0,0,0,0,0,0,12,54.4,539,245.7,1306,431.7,5765,2905
27,State,Uttarakhand,247,90.3,0,0,0,0,0,0,0,0,0,0,0,0,36,24.7,59,25.5,342,140.5
28,State,West Bengal,238,215.1,0,0,0,0,0,0,0,0,0,0,3,22.7,22,38.2,192,86.1,455,362.2
State,State,Total (States),58689,33189.6,173,67.5,0,0,147,79.9,11,0.8,136,79.1,344,648.1,13207,11098.1,18023,14132.5,90583,59215.6
29,Union Territory,A & N Islands,63,25,0,0,0,0,0,0,0,0,0,0,0,0,9,35.2,27,7.5,99,67.7
30,Union Territory,Chandigarh,210,111.1,0,0,0,0,0,0,0,0,0,0,0,0,67,27.9,8,10.1,285,149.1
31,Union Territory,D & N Haveli,6,16,0,0,0,0,0,0,0,0,0,0,0,0,16,56.9,0,0,22,72.8
32,Union Territory,Daman & Diu,12,35.5,0,0,0,0,0,0,0,0,0,0,0,0,11,28.7,8,9,31,73.2
33,Union Territory,Delhi,944,5252.9,0,0,0,0,0,0,0,0,0,0,2,0,189,211.9,284,1590.2,1419,7055.1
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
