Category (Col. 1),State/UT (Col. 2),Number of Police Stations - 0-60 Cases (Col. 3),Number of Police Stations - 61-100 Cases (Col. 4),Number of Police Stations - 101-200 Cases (Col. 5),Number of Police Stations - 201-300 Cases (Col. 6),Number of Police Stations - 301-400 Cases (Col. 7),Number of Police Stations - 401-500 Cases (Col. 8),Number of Police Stations - 501-1000 Cases (Col. 9),Number of Police Stations - 1001 and Above (Col. 10),Number of Police Stations - Total (Col. 11) = Col. (3 to 10)
State,Andhra Pradesh,297,389,561,237,98,26,31,22,1661
State,Arunachal Pradesh,60,4,3,2,0,0,0,0,69
State,Assam,41,43,99,61,27,21,15,6,313
State,Bihar,138,188,268,152,68,37,17,2,870
State,Chhattisgarh,75,40,154,68,38,18,21,2,416
State,Goa,5,5,11,1,3,0,0,0,25
State,Gujarat,104,103,106,72,36,27,63,34,545
State,Haryana,18,22,63,43,37,30,39,10,262
State,Himachal Pradesh,14,17,35,18,16,2,0,0,102
State,Jammu & Kashmir,67,46,60,28,9,3,2,0,215
State,Jharkhand,160,111,66,55,21,10,2,0,425
State,Karnataka,66,127,304,216,122,53,15,0,903
State,Kerala,20,3,12,16,43,51,155,176,476
State,Madhya Pradesh,89,91,242,196,110,86,115,19,948
State,Maharashtra,149,168,287,184,106,69,58,5,1026
State,Manipur,53,8,15,4,6,2,2,1,91
State,Meghalaya,20,10,7,2,0,0,0,0,39
State,Mizoram,23,5,5,1,2,0,2,0,38
State,Nagaland,45,0,4,0,1,0,0,0,50
State,Odisha,73,92,301,61,22,5,0,0,554
State,Punjab,42,91,156,70,15,3,0,0,377
State,Rajasthan,42,57,205,174,121,80,90,4,773
State,Sikkim,25,2,1,0,0,0,0,0,28
State,Tamil Nadu,68,57,169,207,176,170,303,151,1301
State,Tripura,36,13,14,3,2,1,1,0,70
State,Uttar Pradesh,242,295,399,233,155,110,65,16,1515
State,Uttarakhand,41,19,21,18,8,11,5,2,125
State,West Bengal,101,86,146,99,62,34,25,0,553
State,Total (States),2114,2092,3714,2221,1304,849,1026,450,13770
Union Territory,A & N Islands,9,4,4,4,0,0,1,1,23
Union Territory,Chandigarh,0,0,0,3,3,4,1,0,11
Union Territory,D & N Haveli,0,1,0,0,1,0,0,0,2
Union Territory,Daman & Diu,0,0,0,3,0,0,0,0,3
Union Territory,Delhi,12,7,33,37,48,34,8,1,180
Union Territory,Lakshadweep,9,0,0,0,0,0,0,0,9
Union Territory,Puducherry,11,3,8,8,7,1,6,0,44
Union Territory,Total (UTs),41,15,45,55,59,39,16,2,272
Total (All-India),Total (All-India),2155,2107,3759,2276,1363,888,1042,452,14042
