Sl. No.,Category,State/UT,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered - No. of Inquiry Instituted (Departmental),Complaints Received/Cases Registered - No. of Inquiry Instituted (Magisterial),Complaints Received/Cases Registered - No. of Inquiry Instituted (Judicial),"Complaints Received/Cases Registered - Complaints / Cases Declared
False/
Unsustantiated",Complaints Received/Cases Registered - No. of Cases Registered During the Year,Complaints Received/Cases Registered - No. of Cases (Reported for Regular Deptt. Action),Complaints Received/Cases Registered - No. of Cases ( Sent Up for Trials/ Chargesheeted),"Police Personnel Involved/Action Taken - No. of Police Personnel Sent Up
for Trial During
the Year",Police Personnel Involved/Action Taken - No. of Police Personnel whose cases were withdrawn or otherwise disposed of,"Police Personnel Involved/Action Taken - No. of Personnel
In Whose Cases Trial Completed",Police Personnel Involved/Action Taken - No. of Police Personnel (Convicted),Police Personnel Involved/Action Taken - No. of Police Personnel (Aquitted),Departmental Action/Punishment - No. of Police Personnel (Against Whom Disciplinary Action Initiated),Departmental Action/Punishment - No. of Police Personnel (Whose Cases Withdrawn Or Otherwise Disposed of),Departmental Action/Punishment - No. of Police Personnel (In Whose Cases Trial Was Completed),Departmental Action/Punishment - No. of Police Personnel (Dismissed/ Removed From Service),Departmental Action/Punishment - No. of Police Personnel (Major Punishment Awarded),Departmental Action/Punishment - No. of Police Personnel (Minor Punishment Awarded)
1,State,Andhra Pradesh,346,271,0,16,4,82,135,44,54,4,6,0,6,717,435,51,25,127,393
2,State,Arunachal Pradesh,115,115,0,0,0,3,0,2,2,0,0,0,0,114,0,1,0,18,33
3,State,Assam,6,0,1,3,0,10,0,2,1,2,1,0,1,0,0,1,0,10,61
4,State,Bihar,22,4,0,19,0,22,0,1,32,2,0,0,0,465,198,191,2,171,192
5,State,Chhattisgarh,1345,328,25,2,1092,10,30,6,5,16,24,8,16,83,255,287,252,40,182
6,State,Goa,6,0,0,0,0,0,6,4,4,0,2,0,2,375,324,73,7,1,320
7,State,Gujarat,1304,480,47,21,472,269,346,211,222,346,10,0,10,2277,187,676,54,165,687
8,State,Haryana,3058,858,124,0,960,252,6,2,5,0,2,1,1,17,0,2,0,0,0
9,State,Himachal Pradesh,373,44,1,0,222,17,0,9,6,2,1,0,1,98,11,28,0,20,32
10,State,Jammu & Kashmir,595,414,7,2,183,58,31,24,41,6,6,0,6,1665,843,763,11,552,371
11,State,Jharkhand,3,1,1,0,1,2,12,1,1,0,0,0,0,866,662,827,28,566,152
12,State,Karnataka,236,153,27,13,8,107,88,69,51,0,1,0,1,250,50,6,5,16,79
13,State,Kerala,3274,2390,0,1,2613,197,98,88,101,8,11,1,10,902,126,177,17,141,160
14,State,Madhya Pradesh,10683,1845,0,0,8678,13,32,11,14,0,216,0,216,128,587,55,9,49,118
15,State,Maharashtra,5541,558,2,73,3842,399,159,191,212,7,18,4,14,220,21,117,19,11,87
16,State,Manipur,4,4,0,0,0,4,5,0,0,0,0,0,0,11,0,0,0,0,0
17,State,Meghalaya,2,2,1,0,0,5,1,2,1,1,0,0,0,4,0,0,5,57,32
18,State,Mizoram,4,0,3,0,0,4,0,1,1,0,0,0,0,3,2,0,0,0,0
19,State,Nagaland,8,0,0,8,0,8,0,6,7,0,0,0,0,2,2,0,0,2,0
20,State,Odisha,22,3,0,18,2,22,3,6,9,0,0,0,0,11,0,0,0,0,0
21,State,Punjab,5767,2057,4,0,4739,142,73,25,32,27,48,20,28,1844,268,191,98,569,1688
22,State,Rajasthan,2550,959,0,0,2068,134,92,25,44,12,5,4,1,2141,385,1054,19,131,904
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,51,4,13,31
24,State,Tamil Nadu,451,431,26,45,13,140,145,81,66,7,6,1,5,1683,331,323,25,322,735
25,State,Tripura,19,9,1,9,0,23,9,4,4,3,1,0,1,60,24,23,8,11,25
26,State,Uttar Pradesh,11971,9191,12,0,2768,9203,8717,80,145,0,3,0,3,9683,2502,7181,108,517,6556
27,State,Uttarakhand,458,458,0,0,428,9,21,8,8,0,1,0,1,186,15,160,3,52,105
28,State,West Bengal,158,35,0,4,0,20,11,4,14,0,14,0,14,93,40,14,6,36,137
State,State,Total (States),48321,20610,282,234,28093,11155,10020,907,1082,443,376,39,337,23948,7275,12252,705,3597,13080
29,Union Territory,A & N Islands,12,0,0,12,0,12,0,4,4,0,2,1,1,33,39,0,3,13,78
30,Union Territory,Chandigarh,624,0,0,0,301,1,0,0,0,0,0,0,0,104,36,0,3,11,24
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,1
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,12805,532,0,0,395,0,0,0,137,32,61,7,54,2624,1149,2838,162,861,1815
34,Union Territory,Lakshadweep,2,2,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,2
35,Union Territory,Puducherry,1,0,0,0,0,1,0,1,1,0,0,0,0,19,1,0,0,0,4
Union Territory,Union Territory,Total (UTs),13444,534,0,12,696,16,0,6,147,32,63,8,55,2788,1225,2838,168,885,1924
Total (All-India),Total (All-India),Total (All-India),61765,21144,282,246,28789,11171,10020,913,1229,475,439,47,392,26736,8500,15090,873,4482,15004
