Sl. No.,Category,State/UT,Total No. of Persons Under Arrest* including those from Previous Year,Number of Persons Released Before Trial,Number of Persons Charge Sheeted,Number of Persons Under investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India total
1,State,Andhra pradesh,305302,1821,232746,70735,23.2,8.8
2,State,Arunachal pradesh,4088,703,1479,1906,46.6,0.2
3,State,Assam,140751,33824,35286,71641,50.9,8.9
4,State,Bihar,398699,15575,256242,126882,31.8,15.7
5,State,Chhattisgarh,78070,84,74182,3804,4.9,0.5
6,State,Goa,5390,471,2644,2275,42.2,0.3
7,State,Gujarat,181963,42,166350,15571,8.6,1.9
8,State,Haryana,71871,0,61002,10869,15.1,1.3
9,State,Himachal pradesh,20712,99,17717,2896,14,0.4
10,State,Jammu & kashmir,43847,0,43545,302,0.7,0
11,State,Jharkhand,73670,118,46028,27524,37.4,3.4
12,State,Karnataka,193967,5667,162445,25855,13.3,3.2
13,State,Kerala,239440,23,206199,33218,13.9,4.1
14,State,Madhya pradesh,339028,161,335211,3656,1.1,0.5
15,State,Maharashtra,410765,4009,306270,100486,24.5,12.4
16,State,Manipur,3825,1195,125,2505,65.5,0.3
17,State,Meghalaya,5664,331,1355,3978,70.2,0.5
18,State,Mizoram,1833,0,1579,254,13.9,0
19,State,Nagaland,1926,369,849,708,36.8,0.1
20,State,Odisha,96129,0,86961,9168,9.5,1.1
21,State,Punjab,74206,3978,42713,27515,37.1,3.4
22,State,Rajasthan,182316,3,180553,1760,1,0.2
23,State,Sikkim,1017,158,512,347,34.1,0
24,State,Tamil nadu,294981,4633,189521,100827,34.2,12.5
25,State,Tripura,11817,1695,7340,2782,23.5,0.3
26,State,Uttar pradesh,421707,99633,275299,46775,11.1,5.8
27,State,Uttarakhand,12297,146,10381,1770,14.4,0.2
28,State,West bengal,219972,15869,121231,82872,37.7,10.3
State,State,Total (states),3835253,190607,2865765,778881,20.3,96.5
29,Union territory,A & n islands,1310,0,917,393,30,0
30,Union territory,Chandigarh,4846,214,2986,1646,34,0.2
31,Union territory,D & n haveli,909,7,597,305,33.6,0
32,Union territory,Daman & diu,475,3,305,167,35.2,0
33,Union territory,Delhi,63396,3087,35704,24605,38.8,3
34,Union territory,Lakshadweep,316,0,64,252,79.7,0
35,Union territory,Puducherry,5902,14,4714,1174,19.9,0.1
Union territory,Union territory,Total (uts),77154,3325,45287,28542,37,3.5
Total (all-india),Total (all-india),Total (all-india),3912407,193932,2911052,807423,20.6,100
