Sl. No.,Category,State/UT,Total No. of Persons Under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,3248,4,2286,958,29.5,9.5
2,State,Arunachal Pradesh,37,0,31,6,16.2,0.1
3,State,Assam,423,87,103,233,55.1,2.3
4,State,Bihar,4660,53,2310,2297,49.3,22.7
5,State,Chhattisgarh,2015,4,1994,17,0.8,0.2
6,State,Goa,128,1,70,57,44.5,0.6
7,State,Gujarat,1415,0,1301,114,8.1,1.1
8,State,Haryana,211,0,204,7,3.3,0.1
9,State,Himachal Pradesh,289,13,221,55,19,0.5
10,State,Jammu & Kashmir,29,0,29,0,0,0
11,State,Jharkhand,150,0,127,23,15.3,0.2
12,State,Karnataka,419,17,331,71,16.9,0.7
13,State,Kerala,1800,4,1080,716,39.8,7.1
14,State,Madhya Pradesh,5694,0,5592,102,1.8,1
15,State,Maharashtra,5508,29,3813,1666,30.2,16.5
16,State,Manipur,142,43,0,99,69.7,1
17,State,Meghalaya,158,14,33,111,70.3,1.1
18,State,Mizoram,63,0,46,17,27,0.2
19,State,Nagaland,23,0,2,21,91.3,0.2
20,State,Odisha,297,0,285,12,4,0.1
21,State,Punjab,1101,86,559,456,41.4,4.5
22,State,Rajasthan,1016,0,998,18,1.8,0.2
23,State,Sikkim,33,0,33,0,0,0
24,State,Tamil Nadu,1276,45,600,631,49.5,6.2
25,State,Tripura,301,35,208,58,19.3,0.6
26,State,Uttar Pradesh,9037,1702,6359,976,10.8,9.6
27,State,Uttarakhand,77,0,77,0,0,0
28,State,West Bengal,1871,101,828,942,50.3,9.3
State,State,Total (States),41421,2238,29520,9663,23.3,95.5
29,Union Territory,A & N Islands,155,0,119,36,23.2,0.4
30,Union Territory,Chandigarh,91,10,61,20,22,0.2
31,Union Territory,D & N Haveli,10,0,7,3,30,0
32,Union Territory,Daman & Diu,6,0,1,5,83.3,0
33,Union Territory,Delhi,1665,8,1266,391,23.5,3.9
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Puducherry,35,3,28,4,11.4,0
Union Territory,Union Territory,Total (UTs),1962,21,1482,459,23.4,4.5
Total (All-India),Total (All-India),Total (All-India),43383,2259,31002,10122,23.3,100
