Sl. No.,Category,State/UT,IT ACT - 2010,IT ACT - 2011,IT ACT - % Variation,IPC Section - 2010,IPC Section - 2011,IPC Section - % Variation,Note of IT ACT - 2010,Note of IT ACT - % Variation,Note of IPC Section - 2011,Note of IPC Section - % Variation
1,State,Andhra Pradesh,105,349,232.4,66,23,-65.2,NA,NA,NA,NA
2,State,Arunachal Pradesh,3,13,333.3,0,1,NA,NA,NA,NA,@
3,State,Assam,18,31,72.2,0,0,NA,NA,NA,NA,@
4,State,Bihar,2,25,1150,0,13,NA,NA,NA,NA,@
5,State,Chhattisgarh,4,2,-50,46,76,65.2,NA,NA,NA,NA
6,State,Goa,15,16,6.7,1,2,100,NA,NA,NA,NA
7,State,Gujarat,35,52,48.6,20,15,-25,NA,NA,NA,NA
8,State,Haryana,1,42,4100,0,3,NA,NA,NA,NA,@
9,State,Himachal Pradesh,17,12,-29.4,0,0,NA,NA,NA,NA,@
10,State,Jammu & Kashmir,5,14,180,1,0,-100,NA,NA,NA,NA
11,State,Jharkhand,0,8,NA,0,25,NA,NA,@,NA,@
12,State,Karnataka,153,151,-1.3,23,9,-60.9,NA,NA,NA,NA
13,State,Kerala,148,227,53.4,8,18,125,NA,NA,NA,NA
14,State,Madhya Pradesh,30,90,200,5,13,160,NA,NA,NA,NA
15,State,Maharashtra,142,306,115.5,104,87,-16.3,NA,NA,NA,NA
16,State,Manipur,0,0,NA,0,0,NA,NA,@,NA,@
17,State,Meghalaya,0,6,NA,0,0,NA,NA,@,NA,@
18,State,Mizoram,1,3,200,1,0,-100,NA,NA,NA,NA
19,State,Nagaland,0,0,NA,0,0,NA,NA,@,NA,@
20,State,Odisha,7,7,0,5,5,0,NA,NA,NA,NA
21,State,Punjab,41,59,43.9,27,20,-25.9,NA,NA,NA,NA
22,State,Rajasthan,52,122,134.6,3,24,700,NA,NA,NA,NA
23,State,Sikkim,0,3,NA,0,1,NA,NA,@,NA,@
24,State,Tamil Nadu,52,37,-28.8,25,8,-68,NA,NA,NA,NA
25,State,Tripura,0,0,NA,0,0,NA,NA,@,NA,@
26,State,Uttar Pradesh,32,101,215.6,9,13,44.4,NA,NA,NA,NA
27,State,Uttarakhand,10,6,-40,1,0,-100,NA,NA,NA,NA
28,State,West Bengal,49,43,-12.2,11,14,27.3,NA,NA,NA,NA
State,State,Total (States),922,1725,87.1,356,370,3.9,NA,NA,NA,NA
29,Union Territory,A & N Islands,0,0,NA,0,0,NA,NA,@,NA,@
30,Union Territory,Chandigarh,3,10,233.3,0,0,NA,NA,NA,NA,@
31,Union Territory,D & N Haveli,0,3,NA,0,3,NA,NA,@,NA,@
32,Union Territory,Daman & Diu,0,1,NA,0,0,NA,NA,@,NA,@
33,Union Territory,Delhi,41,50,22,0,49,NA,NA,NA,NA,@
