Sl. No.,Category,STATE/UT,Population (In Lakhs)@,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) -I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) -P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives(Sec.498A IPC) - R,Cruelty by Husband and Relatives(Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) -I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,Sati Prevention Act - 1987 - I,Sati Prevention Act - 1987 - R,Sati Prevention Act - 1987 - P,"Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
1,State,Andhra Pradesh,846.65,1442,1.7,6,1612,1.9,4.5,599,0.7,7,13376,15.8,13.5,4849,5.7,11.3,3658,4.3,42.7,0,0,0,0,0,0,497,0.6,20.4,314,0.4,69.3,1899,2.2,28.7,28246,33.4,12.4
2,State,Arunachal Pradesh,13.83,42,3,0.2,60,4.3,0.2,0,0,0,18,1.3,0,51,3.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,12.4,0.1
3,State,Assam,311.69,1700,5.5,7,3192,10.2,9,121,0.4,1.4,5246,16.8,5.3,1193,3.8,2.8,8,0,0.1,2,0,2.5,0,0,0,21,0.1,0.9,1,0,0.2,19,0.1,0.3,11503,36.9,5
4,State,Bihar,1038.04,934,0.9,3.9,3050,2.9,8.6,1413,1.4,16.4,2607,2.5,2.6,790,0.8,1.8,11,0,0.1,10,0,12.5,0,0,0,23,0,0.9,0,0,0,1393,1.3,21,10231,9.9,4.5
5,State,Chhattisgarh,255.4,1053,4.1,4.4,365,1.4,1,104,0.4,1.2,834,3.3,0.8,1654,6.5,3.8,174,0.7,2,2,0,2.5,0,0,0,15,0.1,0.6,0,0,0,18,0.1,0.3,4219,16.5,1.8
6,State,Goa,14.58,29,2,0.1,17,1.2,0,1,0.1,0,18,1.2,0,29,2,0.1,12,0.8,0.1,0,0,0,0,0,0,18,1.2,0.7,3,0.2,0.7,0,0,0,127,8.7,0.1
7,State,Gujarat,603.83,439,0.7,1.8,1442,2.4,4.1,30,0,0.3,6052,10,6.1,685,1.1,1.6,93,0.2,1.1,0,0,0,0,0,0,46,0.1,1.9,0,0,0,28,0,0.4,8815,14.6,3.9
8,State,Haryana,253.53,733,2.9,3,733,2.9,2.1,255,1,3,2740,10.8,2.8,474,1.9,1.1,490,1.9,5.7,0,0,0,0,0,0,57,0.2,2.3,0,0,0,9,0,0.1,5491,21.7,2.4
9,State,Himachal Pradesh,68.57,168,2.5,0.7,191,2.8,0.5,4,0.1,0,239,3.5,0.2,331,4.8,0.8,62,0.9,0.7,0,0,0,0,0,0,2,0,0.1,0,0,0,0,0,0,997,14.5,0.4
10,State,Jammu & Kashmir,125.49,277,2.2,1.1,1023,8.2,2.9,11,0.1,0.1,286,2.3,0.3,1194,9.5,2.8,350,2.8,4.1,0,0,0,1,0,100,1,0,0,0,0,0,3,0,0,3146,25.1,1.4
