Sl. No.,State/UT,Murder (Sec 302 IPC),Attempt to Commit Murder (Sec 307 IPC),"CH. not Amounting to Murder (Sec 304, 308 IPC)",Rape (Sec 376 IPC),"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Women & Girls","Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Others",Dacoity (Sec 395-398 IPC),Preparation & Assembly for Dacoity (Sec 399-402 IPC),"Robbery (Sec 392-394, 397,398 IPC)","Burglary (Sec 449-452, 454, 455, 457-460 IPC)",Theft (Sec 379-382 IPC),"Riots (Sec 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)","Arson (Sec 435, 436, 438 IPC)","Hurt (Sec 323-333, 335-338 IPC)",Causing Death by Negligence (Sec 304A IPC),Other IPC Crimes,Total IPC Crimes
1,Andhra Pradesh,20,2,0,1,4,3,1,2,0,14,0,1074,8,1,40,11,172,1349
2,Assam,7,0,0,1,8,1,7,11,0,3,2,166,8,0,6,0,130,342
3,Bihar,50,13,5,3,23,4,19,20,5,32,23,1418,43,0,46,14,652,2347
4,Chhattisgarh,4,0,0,2,0,0,0,0,0,2,5,193,2,1,12,3,53,277
5,Gujarat,12,1,0,0,3,2,1,1,2,12,10,766,6,0,75,3,139,1030
6,Haryana,26,8,0,0,2,2,0,6,5,18,4,520,27,0,12,17,620,1265
7,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,15,24
8,Jammu & Kashmir,0,1,0,0,0,0,0,0,0,0,0,14,2,1,0,2,22,42
9,Jharkhand,12,0,0,1,11,9,2,3,1,17,3,358,3,0,13,0,213,635
10,Karnataka,15,2,1,0,1,1,0,1,4,31,3,520,1,0,9,11,73,672
11,Kerala,1,1,1,0,0,0,0,0,5,2,4,250,6,0,35,0,57,362
12,Madhya Pradesh,14,6,4,5,3,3,0,2,3,59,8,1859,10,0,8,3,425,2409
13,Maharashtra,18,5,1,4,12,6,6,14,1,99,8,3584,18,0,78,1,325,4168
14,Odisha,12,8,1,1,3,0,3,3,6,23,30,782,2,0,16,2,251,1140
15,Punjab,6,3,2,0,1,0,1,0,0,0,1,52,0,0,9,0,277,351
16,Rajasthan,10,7,0,2,8,7,1,1,0,6,0,585,3,0,4,4,190,820
17,Tamil Nadu,11,6,0,0,1,1,0,1,0,29,2,320,5,0,51,11,308,745
18,Tripura,1,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,4,11
19,Uttar Pradesh,30,14,9,2,13,6,7,30,4,216,1,3043,62,0,7,0,1685,5116
20,West Bengal,26,15,4,2,22,11,11,2,13,17,0,1220,19,0,50,0,268,1658
21,Delhi UT,10,3,0,4,25,10,15,3,0,21,4,746,0,0,4,0,152,972
Total (All-India),Total (All-India),285,95,28,28,140,66,74,100,49,601,109,17480,226,3,478,82,6031,25735
