Sl. No.,Category,State/UT,DG/ Addl.DG / IG / DIG - Sanctioned,DG/ Addl.DG / IG / DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
1,State,Andhra Pradesh,0,0,0,0,118,77,1621,1771,1739,1848
2,State,Arunachal Pradesh,0,0,0,0,15,24,52,386,67,410
3,State,Assam,0,0,0,0,22,22,310,164,332,186
4,State,Bihar,0,3,0,8,247,163,505,1058,752,1232
5,State,Chhattisgarh,0,0,30,30,136,131,1782,1782,1948,1943
6,State,Goa,0,0,0,2,4,20,215,325,219,347
7,State,Gujarat,1,2,23,8,511,363,3335,1655,3870,2028
8,State,Haryana,0,1,0,25,323,209,2722,2328,3045,2563
9,State,Himachal Pradesh,0,1,0,9,3,42,137,547,140,599
10,State,Jammu & Kashmir,0,1,0,8,0,117,0,889,0,1015
11,State,Jharkhand,0,5,0,8,0,136,0,1443,0,1592
12,State,Karnataka,0,2,0,25,0,285,0,3301,0,3613
13,State,Kerala,0,0,1,1,95,95,2679,2643,2775,2739
14,State,Madhya Pradesh,5,8,60,63,196,276,1509,1844,1770,2191
15,State,Maharashtra,0,5,0,48,0,1834,0,22331,0,24218
16,State,Manipur,0,0,0,0,357,158,2008,527,2365,685
17,State,Meghalaya,0,0,0,7,3,62,41,68,44,137
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,2,1,6,8,87,57,95,66
20,State,Odisha,6,6,23,23,472,472,3174,3174,3675,3675
21,State,Punjab,0,2,0,12,0,184,0,2310,0,2508
22,State,Rajasthan,0,2,0,54,106,168,1044,4661,1150,4885
23,State,Sikkim,0,0,0,12,0,26,0,147,0,185
24,State,Tamil Nadu,6,6,109,109,1699,1623,11726,10218,13540,11956
25,State,Tripura,0,0,3,6,127,87,805,608,935,701
26,State,Uttar Pradesh,5,5,81,81,338,221,2274,2047,2698,2354
27,State,Uttarakhand,0,0,0,16,0,55,772,1220,772,1291
28,State,West Bengal,0,1,1,10,688,382,2419,1947,3108,2340
State,State,Total (States),23,50,333,566,5466,7240,39217,69451,45039,77307
29,Union Territory,A & N Islands,0,0,0,0,1,21,18,369,19,390
30,Union Territory,Chandigarh,0,0,0,0,0,36,0,800,0,836
31,Union Territory,D & N Haveli,0,0,0,0,2,2,7,7,9,9
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,2,1,24,645,948,3765,4206,4411,5180
34,Union Territory,Lakshadweep,0,0,0,0,1,1,6,15,7,16
35,Union Territory,Puducherry,0,0,0,1,5,15,76,75,81,91
Union Territory,Union Territory,Total (UTs),0,2,1,25,654,1023,3872,5472,4527,6522
Total (All-India),Total (All-India),Total (All-India),23,52,334,591,6120,8263,43089,74923,49566,83829
