Sr. No.,Category,State/UT,Unidentified Bodies Recovered and Inquest Conducted
1,State,Andhra Pradesh,2639
2,State,Arunachal Pradesh,2
3,State,Assam,19
4,State,Bihar,581
5,State,Chhattisgarh,15
6,State,Goa,162
7,State,Gujarat,2099
8,State,Haryana,1159
9,State,Himachal Pradesh,331
10,State,Jammu & Kashmir,229
11,State,Jharkhand,320
12,State,Karnataka,2440
13,State,Kerala,471
14,State,Madhya Pradesh,1191
15,State,Maharashtra,6313
16,State,Manipur,7
17,State,Meghalaya,264
18,State,Mizoram,1
19,State,Nagaland,51
20,State,Odisha,789
21,State,Punjab,1004
22,State,Rajasthan,1170
23,State,Sikkim,18
24,State,Tamil Nadu,4479
25,State,Tripura,0
26,State,Uttar Pradesh,4084
27,State,Uttarakhand,457
28,State,West Bengal,3704
State,State,Total (states),33999
29,Union Territory,A & N Islands,0
30,Union Territory,Chandigarh,240
31,Union Territory,D & N Haveli,0
32,Union Territory,Daman & Diu,16
33,Union Territory,Delhi,2748
34,Union Territory,Lakshadweep,0
35,Union Territory,Puducherry,190
Union Territory,Union Territory,Total (UTs),3194
Total (All-India),Total (All-India),Total (All-India),37193
