Crime Head (col.1),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Male (col.2),Persons in Custody During the Stage of Investigation at the Beginning of the Year - Female (col.3),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Male (col.4),Persons on Bail During the Stage of Investigation at the Beginning of the Year - Female (col.5),Total - Male (col.6) = (col. 2+4),Total - Female (col.7) = (Col. 3+5) ,Persons Arrested During the Year - Male (col.8),Persons Arrested During the Year - Female (col.9),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Male (col.10),Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or Any Other Reason - Female (col.11),Number of Persons Charge Sheeted During the Year - Male (col.12),Number of Persons Charge Sheeted During the Year - Female (col.13),Persons in Custody during the Stage of Investigation at the End of the Year - Male (col.14),Persons in Custody during the Stage of Investigation at the End of the Year - Female (col.15),Persons on Bail during the Stage of Investigation at the End of the Year - Male (col.16),Persons on Bail during the Stage of Investigation at the End of the Year - Female (col.17)
1 Procuration of Minor Girls,360,8,454,9,814,17,2471,10,255,1,1510,10,199,6,1321,10
2 Importation of Girls from Foreign Country,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0
3 Buying of Minors for Prostitution,13,0,36,0,49,0,6,9,0,0,13,2,23,0,19,7
4 Selling of Minors for Prostitution,60,5,106,3,166,8,124,12,2,1,144,13,53,4,91,2
"5 Immoral Traffic (Prevention) Act, 1956",29,18,140,25,169,43,106,37,10,6,121,39,24,12,120,23
5.1 Under ITP Section 5,0,0,13,5,13,5,67,27,0,0,64,25,9,2,7,5
5.2 Under ITP Section 6,0,0,8,0,8,0,7,0,0,0,4,0,0,0,11,0
5.3 Under ITP Section 7,0,0,12,0,12,0,3,1,0,0,6,1,0,0,9,0
5.4 Under ITP Section 8,0,0,1,0,1,0,3,0,0,0,4,0,0,0,0,0
5.5 Other Section of ITP Act,29,18,106,20,135,38,26,9,10,6,43,13,15,10,93,18
6 Human Trafficking (Sec.370 & 370 A),23,0,9,0,32,0,261,39,3,0,227,37,17,0,46,2
Total Child Trafficking,485,31,745,37,1230,68,2970,108,270,8,2016,101,317,23,1597,44
