S.No.,Category,State/UT,Number of Victims - Below 6 Years - M,Number of Victims - Below 6 Years - F,Number of Victims - Below 6 Years - T,Number of Victims - 6 Years & Above - Below 12 Years - M,Number of Victims - 6 Years & Above - Below 12 Years - F,Number of Victims - 6 Years & Above - Below 12 Years - T,Number of Victims - 12 Years & Above – Below 16 Years - M,Number of Victims - 12 Years & Above – Below 16 Years - F,Number of Victims - 12 Years & Above – Below 16 Years - T,Number of Victims - 16 Years & Above – Below 18 Years - M,Number of Victims - 16 Years & Above – Below 18 Years - F,Number of Victims - 16 Years & Above – Below 18 Years - T,Number of Victims - 18 Years & Above – Below 30 Years - M,Number of Victims - 18 Years & Above – Below 30 Years - F,Number of Victims - 18 Years & Above – Below 30 Years - T,Number of Victims - 30 Years & Above – Below 45 Years - M,Number of Victims - 30 Years & Above – Below 45 Years - F,Number of Victims - 30 Years & Above – Below 45 Years - T,Number of Victims - 45 Years & Above – Below 60 Years - M,Number of Victims - 45 Years & Above – Below 60 Years - F,Number of Victims - 45 Years & Above – Below 60 Years - T,Number of Victims - 60 Years & Above - M,Number of Victims - 60 Years & Above - F,Number of Victims - 60 Years & Above - T,Number of Victims - Total of All Age Groups - M,Number of Victims - Total of All Age Groups - F,Number of Victims - Total of All Age Groups - T
1,State,Andhra Pradesh,1,1,2,1,1,2,0,2,2,3,2,5,25,9,34,32,5,37,17,2,19,6,0,6,85,22,107
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,5,0,5
3,State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,25,2,27,36,4,40,23,1,24,0,0,0,84,7,91
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,36,10,46,63,5,68,5,1,6,1,0,1,105,16,121
5,State,Chhattisgarh,0,0,0,1,2,3,2,1,3,2,0,2,9,2,11,13,5,18,5,0,5,3,2,5,35,12,47
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,0,2,1,0,1,1,0,1,8,0,8
7,State,Gujarat,1,2,3,4,0,4,0,1,1,0,0,0,17,11,28,29,9,38,6,1,7,0,0,0,57,24,81
8,State,Haryana,1,3,4,3,1,4,0,0,0,2,0,2,18,1,19,21,3,24,7,0,7,1,0,1,53,8,61
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,1,0,1,2,0,2,6,1,7
10,State,Jammu & Kashmir,0,0,0,0,1,1,2,0,2,0,0,0,5,2,7,17,1,18,3,0,3,0,0,0,27,4,31
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,1,0,1,8,0,8,23,1,24,1,0,1,0,0,0,33,1,34
12,State,Karnataka,1,1,2,0,2,2,0,0,0,5,1,6,26,4,30,30,8,38,13,2,15,0,0,0,75,18,93
13,State,Kerala,2,5,7,2,1,3,3,0,3,0,1,1,11,2,13,45,5,50,22,7,29,6,5,11,91,26,117
14,State,Madhya Pradesh,7,2,9,0,1,1,8,4,12,11,2,13,101,10,111,83,19,102,33,11,44,2,0,2,245,49,294
15,State,Maharashtra,6,2,8,6,2,8,4,4,8,9,1,10,37,14,51,64,9,73,24,10,34,7,4,11,157,46,203
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0,0,0,4,0,4
18,State,Mizoram,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,2,3,4,0,4,0,0,0,8,2,10
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,7,0,7
20,State,Odisha,0,0,0,0,0,0,0,1,1,0,9,9,15,0,15,1,0,1,0,0,0,0,0,0,16,10,26
21,State,Punjab,0,0,0,1,0,1,3,1,4,4,2,6,44,10,54,43,15,58,42,11,53,4,0,4,141,39,180
22,State,Rajasthan,0,0,0,4,0,4,3,0,3,6,0,6,19,1,20,42,2,44,10,0,10,1,0,1,85,3,88
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2
24,State,Tamil Nadu,6,1,7,0,0,0,0,0,0,1,2,3,29,2,31,28,2,30,10,2,12,0,0,0,74,9,83
25,State,Telangana,2,2,4,2,3,5,0,0,0,2,0,2,29,3,32,37,7,44,33,1,34,2,0,2,107,16,123
26,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,3,0,3
27,State,Uttar Pradesh,5,1,6,12,3,15,15,3,18,25,2,27,433,98,531,433,112,545,156,28,184,25,4,29,1104,251,1355
28,State,Uttarakhand,0,2,2,0,0,0,0,0,0,0,0,0,18,5,23,12,0,12,1,0,1,0,0,0,31,7,38
29,State,West Bengal,0,3,3,3,0,3,3,1,4,7,1,8,91,18,109,137,13,150,68,8,76,4,0,4,313,44,357
TOTAL (STATES),TOTAL (STATES),TOTAL (STATES),32,25,57,39,17,56,45,18,63,78,23,101,1011,204,1215,1205,229,1434,485,85,570,65,15,80,2960,616,3576
30,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,2,0,2,0,1,1,1,0,1,10,2,12
32,UT,D&N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,2
33,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,UT,Delhi UT,1,0,1,1,0,1,1,0,1,0,0,0,12,0,12,33,3,36,6,3,9,0,0,0,54,6,60
35,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,UT,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,0,1,0,0,0,5,2,7
TOTAL (UTS),TOTAL (UTS),TOTAL (UTS),1,0,1,1,0,1,1,0,1,0,0,0,20,1,21,39,6,45,7,4,11,1,0,1,70,11,81
TOTAL (ALL INDIA),TOTAL (ALL INDIA),TOTAL (ALL INDIA),33,25,58,40,17,57,46,18,64,78,23,101,1031,205,1236,1244,235,1479,492,89,581,66,15,81,3030,627,3657
