Category,State/UT,Cases Reported *,Percentage Contribution to All India Total,Population of SCs #+ (in Lakhs),Rate of Total Cognizable Crimes $
State,Andhra Pradesh,4415,9.8,84.5,52.3
State,Arunachal Pradesh,0,0,0,NA
State,Assam,5,0,22.3,0.2
State,Bihar,6438,14.3,165.7,38.9
State,Chhattisgarh,1028,2.3,32.7,31.4
State,Goa,13,0,0.3,51.1
State,Gujarat,1046,2.3,40.7,25.7
State,Haryana,834,1.9,51.1,16.3
State,Himachal Pradesh,95,0.2,17.3,5.5
State,Jammu & Kashmir,0,0,9.2,0
State,Jharkhand,738,1.6,39.9,18.5
State,Karnataka,1987,4.4,104.7,19
State,Kerala,752,1.7,30.4,24.7
State,Madhya Pradesh,4188,9.3,113.4,36.9
State,Maharashtra,1816,4,132.8,13.7
State,Manipur,0,0,1,0
State,Meghalaya,0,0,0.2,0
State,Mizoram,0,0,0,0
State,Nagaland,0,0,0,NA
State,Odisha,2305,5.1,71.9,32.1
State,Punjab,147,0.3,88.6,1.7
State,Rajasthan,6998,15.6,122.2,57.3
State,Sikkim,11,0,0.3,38.9
State,Tamil Nadu,1782,4,144.4,12.3
State,Telangana,1678,3.7,54.3,30.9
State,Tripura,28,0.1,6.5,4.3
State,Uttar Pradesh,8358,18.6,413.6,20.2
State,Uttarakhand,93,0.2,18.9,4.9
State,West Bengal,186,0.4,214.6,0.9
State,TOTAL (STATES),44941,99.9,1981.6,22.7
UT,A & N Islands,0,0,0,NA
UT,Chandigarh,1,0,2,0.5
UT,D&N Haveli,0,0,0.1,0
UT,Daman & Diu,2,0,0.1,32.7
UT,Delhi UT,54,0.1,28.1,1.9
UT,Lakshadweep,0,0,0,NA
UT,Puducherry,5,0,2,2.5
UT,TOTAL (UTS),62,0.1,32.2,1.9
TOTAL (ALL INDIA),TOTAL (ALL INDIA),45003,100,2013.8,22.3
