S. No.,Category,State/UT,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - 1-10 Crore,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - 10-25 Crore,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - 25-50 Crore,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - 50-100 Crore,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - Above 100 Crore,No. of Reported Cases Where The Loss Of Property Under - Criminal Breach of Trust Worth (in Rupees) - Total,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - 1-10 Crore,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - 10-25 Crore,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - 25-50 Crore,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - 50-100 Crore,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - Above 100 Crore,No. of Reported Cases Where The Loss Of Property Under - Cheating Worth (in Rupees) - Total,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - 1-10 Crore,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - 10-25 Crore,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - 25-50 Crore,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - 50-100 Crore,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - Above 100 Crore,No. of Reported Cases Where The Loss Of Property Under - Fraud/Forgery Worth (in Rupees) - Total,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - 1-10 Crore,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - 10-25 Crore,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - 25-50 Crore,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - 50-100 Crore,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - Above 100 Crore,No. of Reported Cases Where The Loss Of Property Under - Grand Total (CBT + Cheating + Fraud/Forgery) Worth (in Rupees) - Total
1,State,Andhra Pradesh,3,1,0,0,0,4,21,3,0,0,0,24,2,0,10,0,0,12,26,4,10,0,0,40
2,State,Arunachal Pradesh,8,0,0,0,0,8,27,0,0,0,0,27,4,0,0,0,0,4,39,0,0,0,0,39
3,State,Assam,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
4,State,Bihar,118,0,0,0,0,118,133,0,0,0,0,133,107,0,0,0,0,107,358,0,0,0,0,358
5,State,Chhattisgarh,9,0,0,0,0,9,45,1,1,0,0,47,0,0,0,0,0,0,54,1,1,0,0,56
6,State,Goa,0,0,0,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0,4
7,State,Gujarat,38,2,1,1,0,42,80,0,0,1,0,81,5,0,0,0,0,5,123,2,1,2,0,128
8,State,Haryana,0,0,0,0,0,0,42,7,0,3,0,52,1,0,0,0,0,1,43,7,0,3,0,53
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Karnataka,6,0,0,0,0,6,32,5,1,1,1,40,0,0,0,0,0,0,38,5,1,1,1,46
13,State,Kerala,10,0,0,0,0,10,64,0,0,1,0,65,1,0,0,0,0,1,75,0,0,1,0,76
14,State,Madhya Pradesh,2,0,0,0,0,2,42,0,0,0,0,42,11,0,0,0,0,11,55,0,0,0,0,55
15,State,Maharashtra,52,11,5,0,5,73,129,10,3,2,2,146,13,1,0,1,0,15,194,22,8,3,7,234
16,State,Manipur,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
20,State,Odisha,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5
21,State,Punjab,2,0,0,0,0,2,22,1,0,1,0,24,0,0,0,0,0,0,24,1,0,1,0,26
