S. No.,Category,Crime Head,Below 12 Years - Boys,Below 12 Years - Girls,Below 12 Years - Total,12 Years to 16 Years - Boys,12 Years to 16 Years - Girls,12 Years to 16 Years - Total,16 Years to 18 Years - Boys,16 Years to 18 Years - Girls,16 Years to 18 Years - Total,Overall Age Group (Total) - Boys,Overall Age Group (Total) - Girls,Overall Age Group (Total) - Boys + Girls
1,IPC Case,Murder,12,1,13,253,10,263,873,28,901,1138,39,1177
2,IPC Case,Culpable Homicide not Amounting to Murder,5,0,5,26,0,26,38,0,38,69,0,69
3,IPC Case,Causing Death by Negligence,5,0,5,65,0,65,229,1,230,299,1,300
4,IPC Case,Attempt to Commit Murder,4,0,4,231,8,239,1022,13,1035,1257,21,1278
5,IPC Case,Attempt to Commit Culpable Homicide,0,0,0,15,0,15,64,1,65,79,1,80
6,IPC Case,Grievous Hurt,12,3,15,301,12,313,1046,44,1090,1359,59,1418
7,IPC Case,Causing Injuries under Rash Driving,7,0,7,282,3,285,914,17,931,1203,20,1223
8,IPC Case,Unlawful Assembly,2,0,2,53,1,54,118,4,122,173,5,178
9,IPC Case,Rioting,10,0,10,309,16,325,1651,40,1691,1970,56,2026
10,IPC Case,Assault on Women with Intent to Outrage her Modesty,10,0,10,325,4,329,1278,10,1288,1613,14,1627
11,IPC Case,Insult to the Modesty of Women,1,0,1,28,0,28,65,0,65,94,0,94
12,IPC Case,Kidnapping & Abduction,3,1,4,160,2,162,1191,7,1198,1354,10,1364
13,IPC Case,Human Trafficking,0,0,0,0,0,0,15,6,21,15,6,21
14,IPC Case,Rape,27,2,29,463,1,464,1553,8,1561,2043,11,2054
15,IPC Case,Attempt to Commit Rape,2,0,2,18,0,18,53,0,53,73,0,73
16,IPC Case,Unnatural Offences,8,0,8,92,0,92,117,1,118,217,1,218
17,IPC Case,Theft,207,15,222,2888,47,2935,6927,55,6982,10022,117,10139
18,IPC Case,Criminal Trespass/Burglary,78,0,78,1260,8,1268,2452,14,2466,3790,22,3812
19,IPC Case,Robbery,10,0,10,430,3,433,1355,0,1355,1795,3,1798
20,IPC Case,Dacoity,0,0,0,49,5,54,272,1,273,321,6,327
21,IPC Case,Extortion,0,0,0,10,0,10,92,0,92,102,0,102
22,IPC Case,Cheating,0,0,0,24,1,25,161,2,163,185,3,188
23,IPC Case,Arson,2,0,2,18,0,18,69,1,70,89,1,90
24,IPC Case,Forgery,0,0,0,2,0,2,14,3,17,16,3,19
25,IPC Case,Counterfeiting,0,0,0,2,1,3,11,0,11,13,1,14
26,IPC Case,Other IPC Cases,174,12,186,2735,186,2921,8579,451,9030,11488,649,12137
Total Cognizable IPC Crimes,IPC Case,Total Cognizable IPC Crimes,579,34,613,10039,308,10347,30159,707,30866,40777,1049,41826
1,SLL Cases,"Juvenile Justice (Care and Protection of Children) Act, 2000",0,0,0,223,0,223,2,0,2,225,0,225
2,SLL Cases,"Arms Act, 1959",2,0,2,32,0,32,209,0,209,243,0,243
3,SLL Cases,"Excise Act, 1944",0,0,0,53,2,55,188,0,188,241,2,243
4,SLL Cases,"Gambling Act, 1867",0,0,0,52,0,52,206,0,206,258,0,258
5,SLL Cases,Prohibition Act (State),0,0,0,20,1,21,149,6,155,169,7,176
6,SLL Cases,"Narcotic Drugs & Psychotropic Substances Act, 1985",0,0,0,31,3,34,160,1,161,191,4,195
7,SLL Cases,"Information Technology Act, 2000",0,0,0,5,0,5,19,1,20,24,1,25
8,SLL Cases,"SC/ST (Prevention of Atrocities) Act, 1989)",9,0,9,2,1,3,6,1,7,17,2,19
9,SLL Cases,Explosives and Explosive Substances Act,0,0,0,1,0,1,6,0,6,7,0,7
10,SLL Cases,"Indian Railways Act, 1989",0,0,0,1,0,1,2,0,2,3,0,3
11,SLL Cases,"Unlawful Activities (Prevention) Act, 1967",0,0,0,0,0,0,1,0,1,1,0,1
12,SLL Cases,Other SLL Crimes,12,1,13,176,7,183,745,9,754,933,17,950
13,SLL Cases,Total Cognizable SLL Crimes,23,1,24,596,14,610,1693,18,1711,2312,33,2345
Grand Total (IPC+SLL),Grand Total (IPC+SLL),Grand Total (IPC+SLL),602,35,637,10635,322,10957,31852,725,32577,43089,1082,44171
Percentage Share of Age-Group on Total,Percentage Share of Age-Group on Total,Percentage Share of Age-Group on Total,NA,NA,1.4,NA,NA,24.8,NA,NA,73.8,NA,NA,100
