S. No.,Category,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Acquitted/ Discharged - Male,Persons Acquitted/ Discharged - Female,Persons Acquitted/ Discharged - Total
1,A) Offences under IT Act,IT - Tampering computer source documents,29,1,30,9,0,9,0,0,0,2,0,2
2,A) Offences under IT Act,IT - Computer Related Offences (Section 66 and Section 66B to 66E),1174,29,1203,588,6,594,9,2,11,67,0,67
2.1,A) Offences under IT Act,Computer Related Offences-Under Section 66,696,7,703,421,2,423,8,2,10,60,0,60
2.2,A) Offences under IT Act,Computer Related Offences-Under Section 66B,8,0,8,8,0,8,0,0,0,0,0,0
2.3,A) Offences under IT Act,Computer Related Offences-Under Section 66C,226,4,230,95,3,98,1,0,1,3,0,3
2.4,A) Offences under IT Act,Computer Related Offences-Under Section 66D,55,1,56,24,0,24,0,0,0,1,0,1
2.5,A) Offences under IT Act,Computer Related Offences-Under Section 66E,189,17,206,40,1,41,0,0,0,3,0,3
3,A) Offences under IT Act,IT - Cyber Terrorism (Section 66F),0,0,0,0,0,0,0,0,0,0,0,0
4,A) Offences under IT Act,IT - Publication/Transmission of Obscene/Sexually Explicit Content (Sec 67 And Sec 67A to 67C),91,1,92,63,0,63,3,0,3,2,0,2
4.1,A) Offences under IT Act,Under Section 67 And Section 67A,89,1,90,63,0,63,3,0,3,2,0,2
4.2,A) Offences under IT Act,Under Section 67B,2,0,2,0,0,0,0,0,0,0,0,0
4.3,A) Offences under IT Act,Under Section 67C,0,0,0,0,0,0,0,0,0,0,0,0
5,A) Offences under IT Act,IT - Breach of Confidentiality/Privacy & Disclosure of Information in Breach of Lawful Contract,4,0,4,4,0,4,0,0,0,0,0,0
6,A) Offences under IT Act,IT - Others,105,4,109,28,1,29,3,0,3,1,0,1
Total (A),A) Offences under IT Act,Total (A),1403,35,1438,692,7,699,15,2,17,72,0,72
1,B) Offences under IPC,IPC - Data Theft,11,0,11,7,0,7,0,0,0,0,0,0
2,B) Offences under IPC,IPC - Criminal Breach of Trust/Fraud,11,1,12,8,0,8,0,0,0,0,0,0
2.1,B) Offences under IPC,IPC - Credit /Debit Card fraud,1,0,1,1,0,1,0,0,0,0,0,0
2.2,B) Offences under IPC,IPC - Other fraud,10,1,11,7,0,7,0,0,0,0,0,0
3,B) Offences under IPC,IPC - Cheating,302,5,307,172,3,175,0,0,0,8,0,8
4,B) Offences under IPC,IPC - Forgery,39,1,40,24,1,25,0,0,0,0,0,0
5,B) Offences under IPC,IPC - Counterfeiting,0,0,0,0,0,0,0,0,0,0,0,0
6,B) Offences under IPC,"IPC - Fabrication/Destruction of Electronic Records for 
 Evidence",0,0,0,0,0,0,0,0,0,0,0,0
7,B) Offences under IPC,IPC - Others,189,12,201,132,8,140,4,0,4,8,0,8
Total (B),B) Offences under IPC,Total (B),552,19,571,343,12,355,4,0,4,16,0,16
1,C) Offences under SLL,"Copyright Act, 1957",8,0,8,5,0,5,0,0,0,1,0,1
2,C) Offences under SLL,"Trade Marks Act, 1999",0,0,0,0,0,0,0,0,0,0,0,0
3,C) Offences under SLL,Other SLL Offences,1,0,1,1,0,1,0,0,0,0,0,0
Total ( C),C) Offences under SLL,Total ( C),9,0,9,6,0,6,0,0,0,1,0,1
Grand Total (A+B+C),Grand Total (A+B+C),Grand Total (A+B+C),1964,54,2018,1041,19,1060,19,2,21,89,0,89
