Category (Col.1),Crime Head (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Total Cases for Investigation (Col.5) = (Col. 3+4),Cases Withdrawn by Govt. (Col.6),Cases Transferred to other PS or Magistrate (Col.7),Cases not Investigated U/S 157(1) (b) of Cr.PC (Col.8),Final Report - True but Insufficient Evidence (Col.9),Final Report - False (Col.10),Final Report - Mistake of Fact (Col.11),Final Report - Non-Cognizable (Col.12),Final Report - Total (Col.13) = (Col.9+ Col.10+ Col.11+ Col.12),Cases in which Chargesheets were Submitted (Col.14),Total Cases Disposed off by Police (Col.15) = (Col. 7+8+13+ 14),Cases Pending Investigation at the End of the Year (Col.16) = (Col. 5 - (Col.6+ Col.15)),Chargesheeting Rate (Col.17) = (Col.14/ Col.15) * 100,Pendency Percentage (Col.18) = (Col.16/ (Col.5)) * 100
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.1. Murder,239,786,1025,0,1,0,31,41,12,3,87,665,753,272,88.3,26.5
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.2. Attempt to Commit Murder,168,733,901,1,1,0,44,31,9,2,86,563,650,250,86.6,27.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3. Grievous Hurt,647,1071,1718,1,1,0,53,49,5,0,107,1020,1128,589,90.4,34.3
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.1. Hurt,646,1065,1711,1,1,0,53,48,5,0,106,1015,1122,588,90.5,34.4
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.3.2. Acid Attack & Attempt to Acid Attack,1,6,7,0,0,0,0,1,0,0,1,5,6,1,83.3,16.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4. Assault on Women with Intent to Outrage her Modesty,622,3172,3794,1,0,1,138,252,29,4,423,2598,3022,771,86,20.3
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.1. Sexual Harassment,188,1467,1655,1,0,1,112,77,4,0,193,1220,1414,240,86.3,14.5
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.2. Assault on Women with Intent to Disrobe,57,284,341,0,0,0,11,20,5,1,37,209,246,95,85,27.9
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.3. Voyeurism,5,19,24,0,0,0,1,0,0,0,1,17,18,6,94.4,25
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.4. Stalking,27,134,161,0,0,0,2,4,0,0,6,116,122,39,95.1,24.2
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.4.5. Other Sexual Harassment,345,1268,1613,0,0,0,12,151,20,3,186,1036,1222,391,84.8,24.2
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.5. Insult to the Modesty of Women,41,81,122,0,0,0,1,11,0,0,12,32,44,78,72.7,63.9
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6. Kidnapping & Abduction,206,855,1061,1,0,0,142,120,19,2,283,541,824,236,65.7,22.2
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.1. Kidnaping & Abduction,35,152,187,0,0,0,9,26,4,0,39,90,129,58,69.8,31
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.2. Kidnaping & Abduction in order to Murder,4,11,15,0,0,0,2,3,0,0,5,8,13,2,61.5,13.3
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.3. Kidnapping for Ransom,2,5,7,0,0,0,0,2,0,0,2,5,7,0,71.4,0
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.4. Kidnapping & Abduction of Women to Compel her for Marriage,118,559,677,0,0,0,128,49,12,2,191,354,545,132,65,19.5
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.6.5. Other Kidnapping,47,128,175,1,0,0,3,40,3,0,46,84,130,44,64.6,25.1
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.7. Rape,717,2541,3258,0,7,1,68,240,12,3,323,2066,2397,861,86.2,26.4
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.8. Attempt to Commit Rape,15,148,163,0,0,0,17,29,1,0,47,85,132,31,64.4,19
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.9. Riots,430,1725,2155,1,1,1,132,69,15,8,224,1416,1642,512,86.2,23.8
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.10. Robbery,23,58,81,0,0,0,7,3,2,0,12,41,53,28,77.4,34.6
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.11. Dacoity,20,26,46,1,0,0,0,1,1,0,2,24,26,19,92.3,41.3
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.12. Arson,70,168,238,0,0,0,10,13,4,2,29,136,165,73,82.4,30.7
1. SC/ST POA ACT r/w (in Conjunction with) Sections of IPC,1.13. Other IPC Crimes *,7699,24328,32027,8,6,3,1170,3659,639,98,5566,17315,22890,9129,75.6,28.5
2. SC / ST (Prevention of Atrocities) Act,2. SC / ST (Prevention of Atrocities) Act,4550,5082,9632,2,23,0,335,826,119,51,1331,4497,5851,3779,76.9,39.2
Total of SC/ST (Prevention of Atrocities) Act (1+2),Total of SC/ST (Prevention of Atrocities) Act (1+2),15447,40774,56221,16,40,6,2148,5344,867,173,8532,30999,39577,16628,78.3,29.6
"3. Protection of Civil Rights Act, 1955","3. Protection of Civil Rights Act, 1955",51,27,78,0,0,0,2,3,2,2,9,43,52,26,82.7,33.3
Total Crime/Atrocities Against SCs (1+2+3),Total Crime/Atrocities Against SCs (1+2+3),15498,40801,56299,16,40,6,2150,5347,869,175,8541,31042,39629,16654,78.3,29.6
