S. No. (Col.1),State/UT (Col.2),Child Victims - Below 6 Years - Male (Col.3),Child Victims - Below 6 Years - Female (Col.4),Child Victims - Below 6 Years - Total (Col.5),Child Victims - 6 Years to 12 Years - Male (Col.6),Child Victims - 6 Years to 12 Years - Female (Col.7),Child Victims - 6 Years to 12 Years - Total (Col.8),Child Victims - 12 Years to 16 Years - Male (Col.9),Child Victims - 12 Years to 16 Years - Female (Col.10),Child Victims - 12 Years to 16 Years - Total (Col.11),Child Victims - 16 Years to 18 Years - Male (Col.12),Child Victims - 16 Years to 18 Years - Female (Col.13),Child Victims - 16 Years to 18 Years - Total (Col.14),Child Victims - Total Child Victims - Male (Col.15),Child Victims - Total Child Victims - Female (Col.16),Child Victims - Total Child Victims - Total (Col.17),Adult Victims - 18 Years to 30 Years - Male (Col.18),Adult Victims - 18 Years to 30 Years - Female (Col.19),Adult Victims - 18 Years to 30 Years - Total (Col.20),Adult Victims - 30 Years to 45 Years - Male (Col.21),Adult Victims - 30 Years to 45 Years - Female (Col.22),Adult Victims - 30 Years to 45 Years - Total (Col.23),Adult Victims - 45 Years to 60 Years - Male (Col.24),Adult Victims - 45 Years to 60 Years - Female (Col.25),Adult Victims - 45 Years to 60 Years - Total (Col.26),Adult Victims - 60 Years & Above - Male (Col.27),Adult Victims - 60 Years & Above - Female (Col.28),Adult Victims - 60 Years & Above - Total (Col.29),Adult Victims - Total Adult Victims - Male (Col.30),Adult Victims - Total Adult Victims - Female (Col.31),Adult Victims - Total Adult Victims - Total (Col.32),Total Victims (Child+Adult) - Male (Col.33),Total Victims (Child+Adult) - Female (Col.34),Total Victims (Child+Adult) - Total (Col.35)
1,Andhra Pradesh,14,15,29,6,9,15,5,3,8,4,3,7,29,30,59,221,164,385,331,154,485,145,56,201,33,24,57,730,398,1128,759,428,1187
2,Arunachal Pradesh,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,18,4,22,13,4,17,6,2,8,1,0,1,38,10,48,38,11,49
3,Assam,1,1,2,11,1,12,10,4,14,4,3,7,26,9,35,402,119,521,393,86,479,102,12,114,0,0,0,897,217,1114,923,226,1149
4,Bihar,1,2,3,4,0,4,9,1,10,13,3,16,27,6,33,1207,173,1380,744,121,865,277,25,302,12,1,13,2240,320,2560,2267,326,2593
5,Chhattisgarh,8,9,17,11,9,20,11,5,16,14,9,23,44,32,76,180,132,312,245,106,351,130,64,194,33,22,55,588,324,912,632,356,988
6,Goa,0,1,1,0,0,0,0,0,0,0,2,2,0,3,3,3,3,6,6,5,11,4,1,5,1,4,5,14,13,27,14,16,30
7,Gujarat,30,23,53,17,7,24,3,5,8,5,4,9,55,39,94,296,105,401,360,104,464,151,39,190,19,8,27,826,256,1082,881,295,1176
8,Haryana,9,4,13,7,12,19,8,8,16,12,4,16,36,28,64,330,95,425,350,84,434,116,22,138,23,6,29,819,207,1026,855,235,1090
9,Himachal Pradesh,0,1,1,1,0,1,0,1,1,0,0,0,1,2,3,26,12,38,29,5,34,12,5,17,7,4,11,74,26,100,75,28,103
10,Jammu & Kashmir,2,0,2,0,1,1,1,0,1,1,1,2,4,2,6,58,5,63,65,16,81,16,2,18,0,0,0,139,23,162,143,25,168
11,Jharkhand,1,2,3,1,2,3,3,1,4,5,2,7,10,7,17,612,60,672,537,93,630,148,38,186,10,2,12,1307,193,1500,1317,200,1517
12,Karnataka,26,27,53,8,14,22,6,11,17,6,4,10,46,56,102,368,255,623,430,204,634,165,66,231,36,14,50,999,539,1538,1045,595,1640
13,Kerala,13,10,23,6,8,14,2,2,4,0,0,0,21,20,41,61,18,79,122,36,158,94,19,113,26,14,40,303,87,390,324,107,431
14,Madhya Pradesh,15,17,32,11,10,21,15,16,31,29,19,48,70,62,132,479,238,717,501,234,735,285,115,400,64,20,84,1329,607,1936,1399,669,2068
