S. No. (Col.1),Category (Col.2),State/UT (Col.3),Year - 2014 (Col.4),Year - 2015 (Col.5),Year - 2016 (Col.6),Percentage State Share to All-India (2016) (Col.7),Rank Based on Incidence/ Percentage share (2016) (Col.8),Mid-Year Projected Children Population+ (in Lakhs) (2016) (Col.9),Rate of Total Cognizable Crimes (2016)++ (Col.10),Rank Based on Crime Rate (Col.11)
1,State,Andhra Pradesh,2059,1992,1847,1.7,17,156.7,11.8,32
2,State,Arunachal Pradesh,134,181,133,0.1,29,4.7,28.3,14
3,State,Assam,1385,2835,3964,3.7,9,118.9,33.3,12
4,State,Bihar,2255,1917,3932,3.7,10,447.8,8.8,34
5,State,Chhattisgarh,4358,4469,4746,4.4,6,100.5,47.2,6
6,State,Goa,330,242,230,0.2,24,5.2,44.2,8
7,State,Gujarat,3219,3623,3637,3.4,11,206.8,17.6,25
8,State,Haryana,2540,3262,3099,2.9,13,92.8,33.4,11
9,State,Himachal Pradesh,467,477,467,0.4,21,21.6,21.6,22
10,State,Jammu & Kashmir,211,308,222,0.2,26,45,4.9,36
11,State,Jharkhand,423,406,717,0.7,19,131.5,5.5,35
12,State,Karnataka,3416,3961,4455,4.2,7,195.9,22.7,20
13,State,Kerala,2391,2384,2879,2.7,15,93.4,30.8,13
14,State,Madhya Pradesh,15085,12859,13746,12.9,3,300.8,45.7,7
15,State,Maharashtra,8115,13921,14559,13.6,2,378.5,38.5,9
16,State,Manipur,137,110,134,0.1,28,9.6,14,31
17,State,Meghalaya,213,257,240,0.2,23,10,24,17
18,State,Mizoram,178,186,188,0.2,27,3.7,50.8,5
19,State,Nagaland,25,61,78,0.1,32,6.7,11.6,33
20,State,Odisha,2196,2562,3286,3.1,12,140.4,23.4,19
21,State,Punjab,1762,1836,1843,1.7,18,87.7,21,23
22,State,Rajasthan,3880,3689,4034,3.8,8,285.4,14.1,30
23,State,Sikkim,93,64,110,0.1,30,2,55,4
24,State,Tamil Nadu,2354,2617,2856,2.7,16,202,14.1,29
25,State,Telangana,1930,2697,2909,2.7,14,111.7,26,15
26,State,Tripura,369,255,274,0.3,22,12.4,22.1,21
27,State,Uttar Pradesh,14835,11420,16079,15,1,885.8,18.2,24
28,State,Uttarakhand,489,635,676,0.6,20,38.5,17.6,26
29,State,West Bengal,4909,4963,7004,6.5,5,293.7,23.8,18
Total (States),State,Total (States),79758,84189,98344,91.9,NA,4389.6,22.4,NA
30,UT,A & N Islands,50,102,86,0.1,31,1.4,61.4,2
31,UT,Chandigarh,208,271,222,0.2,25,4,55.5,3
32,UT,D&N Haveli,11,35,21,0,35,1.3,16.2,27
33,UT,Daman & Diu,7,28,31,0,34,0.9,34.4,10
34,UT,Delhi,9350,9489,8178,7.6,4,56,146,1
35,UT,Lakshadweep,1,2,5,0,36,0.2,25,16
36,UT,Puducherry,38,56,71,0.1,33,4.7,15.1,28
Total (UTs),UT,Total (UTs),9665,9983,8614,8.1,NA,68.4,125.9,NA
Total (All-India),Total (All-India),Total (All-India),89423,94172,106958,100,NA,4458,24,NA
