S. No (Col.1),State/UT (Col.2),Rioting (Sec. 147 to 151 IPC) (Col.3),Murder (Section 302 IPC) (Col.4),Culpable Homicide not Amounting to Murder (Sec 304 IPC) (Col.5),Causing Death by Negligence (Sec 304A IPC) (Col.6),Attempt To Commit Murder (Section 307 IPC) (Col.7),"Grievous Hurt (Sec 325, 326, 326A & 326B IPC) (Col.8)","Kidnapping & Abduc-tion (Sec 363, 364, 364A, 366A IPC) (Col.9)",Rape (Sec. 376 IPC) (Col.10),Theft (Sec. 379 To 380 IPC) (Col.11),Criminal Trespass & Burglary (Sec 453 to 457 r/w Sec 380 IPC) (Col.12),Robbery (Sec 392-394 IPC) (Col.13),Dacoity (Section 395 to 398 IPC) (Col.14),Making Preparation & Assembly for Committing Dacoity (Sec 399& 402 IPC) (Col.15),"Arson (Sec. 435, 436, 438 IPC) (Col.16)",Other IPC Crimes* (Col.17),Total IPC Crimes (Col.18) = (Sum of Col. 3 to 17)
1,Andhra Pradesh,9,15,0,1,1,12,1,2,1625,1,16,3,0,0,131,1817
2,Assam,3,12,0,2,0,10,12,1,375,0,5,1,0,0,74,495
3,Bihar,12,30,0,5,17,6,37,6,1389,20,18,6,3,1,737,2287
4,Chhattisgarh,3,5,0,1,3,8,1,2,478,2,4,0,0,0,43,550
5,Gujarat,2,8,1,1,2,6,7,1,1291,11,53,2,2,0,175,1562
6,Haryana,27,23,1,16,5,10,17,0,641,0,22,4,5,0,799,1570
7,Himachal Pradesh,1,0,0,0,0,0,0,0,1,0,1,0,0,0,7,10
8,Jammu & Kashmir,14,1,0,0,1,0,0,0,22,0,0,0,0,0,17,55
9,Jharkhand,0,18,0,3,5,4,2,2,423,14,12,5,0,0,84,572
10,Karnataka,1,15,2,11,5,6,4,2,1180,7,96,1,8,0,84,1422
11,Kerala,1,0,0,0,0,2,1,0,155,0,12,0,0,0,136,307
12,Madhya Pradesh,2,8,3,4,11,2,39,18,4317,24,107,3,2,0,542,5082
13,Maharashtra,2,14,3,1,9,36,57,15,6551,4,205,13,5,1,442,7358
14,Odisha,0,12,0,1,5,0,7,2,931,13,22,2,5,0,127,1127
15,Punjab,0,8,1,12,2,13,1,4,220,1,0,0,17,0,212,491
16,Rajasthan,3,7,2,3,4,3,11,6,1101,0,12,1,0,1,182,1336
17,Tamil Nadu,11,1,1,2,9,0,0,0,483,0,34,1,0,0,313,855
18,Telangana,1,5,0,1,1,0,2,1,984,1,3,0,0,0,137,1136
19,Tripura,1,0,0,0,0,1,0,0,1,3,0,0,0,0,2,8
20,Uttar Pradesh,15,24,4,1,13,6,26,7,6483,0,381,8,1,1,1323,8293
21,West Bengal,4,24,1,4,27,32,15,3,1194,0,6,2,169,0,268,1749
22,Delhi UT,0,6,0,1,5,3,40,7,3837,0,60,1,0,0,346,4306
Total All India,Total All India,112,236,19,70,125,160,280,79,33682,101,1069,53,217,4,6181,42388
