S. No. (Col.1),State/UT (Col.2),Dowry Deaths (Sec.304B IPC) - I (Col.3),Dowry Deaths (Sec.304B IPC) - V (Col.4),Dowry Deaths (Sec.304B IPC) - R (Col.5),Abetment of Suicide of Women (Sec.306 IPC) - I (Col.6),Abetment of Suicide of Women (Sec.306 IPC) - V (Col.7),Abetment of Suicide of Women (Sec.306 IPC) - R (Col.8),Causing miscarriage without women's consent (Sec.313 IPC) - I (Col.9),Causing miscarriage without women's consent (Sec.313 IPC) - V (Col.10),Causing miscarriage without women's consent (Sec.313 IPC) - R (Col.11),Deaths caused by act done with intent to cause miscarriage (Sec.314 IPC) - I (Col.12),Deaths caused by act done with intent to cause miscarriage (Sec.314 IPC) - V (Col.13),Deaths caused by act done with intent to cause miscarriage (Sec.314 IPC) - R (Col.14),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - I (Col.15),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - V (Col.16),Acid Attack (Sec. 326 A IPC) & Attempt to Acid Attack (Sec. 326 B IPC) - R (Col.17),Cruelty by Husband or his relatives (Sec. 498 A) - I (Col.18),Cruelty by Husband or his relatives (Sec. 498 A) - V (Col.19),Cruelty by Husband or his relatives (Sec. 498 A) - R (Col.20),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - I (Col.21),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - V (Col.22),Kidnapping & Abduction of Women - Kidnapping & Abduction of Women (Total) - R (Col.23),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - I (Col.21A),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - V (Col.22A),Kidnapping & Abduction of Women - Kidnapping & Abduction (Sec.363 IPC) - R (Col.23A),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - I (Col.21B),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - V (Col.22B),Kidnapping & Abduction of Women - Kidnapping & Abduction in order to Murder (Sec. 364 IPC) - R (Col.23B),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - I (Col.21C),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - V (Col.22C),Kidnapping & Abduction of Women - Kidnapping for Ransom (Sec. 364A IPC) - R (Col.23C),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel Women for Marriage (Sec. 366 IPC) - I (Col.21D),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel Women for Marriage (Sec. 366 IPC) - V (Col.22D),Kidnapping & Abduction of Women - Kidnapping & Abduction to Compel Women for Marriage (Sec. 366 IPC) - R (Col.23D),"Kidnapping & Abduction of Women - Other Kidnapping & Abduction (Female) (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - I (Col.21E)","Kidnapping & Abduction of Women - Other Kidnapping & Abduction (Female) (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - V (Col.22E)","Kidnapping & Abduction of Women - Other Kidnapping & Abduction (Female) (Sec. 363A, 365, 366A, 366B, 367, 368 & 369) - R (Col.23E)",Human Trafficking (Sec. 370 & 370A IPC) (Female)* - I (Col.24),Human Trafficking (Sec. 370 & 370A IPC) (Female)* - V (Col.25),Human Trafficking (Sec. 370 & 370A IPC) (Female)* - R (Col.26),Rape ** - Rape (Total ) - I (Col.27),Rape ** - Rape (Total ) - V (Col.28),Rape ** - Rape (Total ) - R (Col.29),Rape ** - Rape (Sec. 376 IPC) - I (Col.27A),Rape ** - Rape (Sec. 376 IPC) - V (Col.28A),Rape ** - Rape (Sec. 376 IPC) - R (Col.29A),Rape ** - Gang Rape (Sec. 376D IPC) - I (Col.27B),Rape ** - Gang Rape (Sec. 376D IPC) - V (Col.28B),Rape ** - Gang Rape (Sec. 376D IPC) - R (Col.29B),Rape - Custodial Rape@@ (Sec. 376C IPC) - I (Col.27C),Rape - Custodial Rape@@ (Sec. 376C IPC) - V (Col.28C),Rape - Custodial Rape@@ (Sec. 376C IPC) - R (Col.29C),Attempt to Commit Rape (Sec. 376/511 IPC) - I (Col.30),Attempt to Commit Rape (Sec. 376/511 IPC) - V (Col.31),Attempt to Commit Rape (Sec. 376/511 IPC) - R (Col.32),Unnatural Offences (Sec. 377 IPC) - I (Col.33),Unnatural Offences (Sec. 377 IPC) - V (Col.34),Unnatural Offences (Sec. 377 IPC) - R (Col.35),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - I (Col.36),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - V (Col.37),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Total) - R (Col.38),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - I (Col.36A),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - V (Col.37A),Assault On Women With Intent To Outrage Her Modesty - Assault On Women (Sec. 354 IPC) - R (Col.38A),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - I (Col.36B),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - V (Col.37B),Assault On Women With Intent To Outrage Her Modesty - Sexual Harrassment (Sec. 354 A IPC) - R (Col.38B),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec. 354 B IPC) - I (Col.36C),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec. 354 B IPC) - V (Col.37C),Assault On Women With Intent To Outrage Her Modesty - Assault or Use of Criminal Force to Women With Intent to Disrobe (Sec. 354 B IPC) - R (Col.38C),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - I (Col.36D),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - V (Col.37D),Assault On Women With Intent To Outrage Her Modesty - Voyeurism (Sec. 354 C IPC) - R (Col.38D),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - I (Col.36E),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - V (Col.37E),Assault On Women With Intent To Outrage Her Modesty - Stalking (Sec. 354 D IPC) - R (Col.38E),Insult to Modesty of Women (Sec. 509 IPC) - I (Col.39),Insult to Modesty of Women (Sec. 509 IPC) - V (Col.40),Insult to Modesty of Women (Sec. 509 IPC) - R (Col.41),Total IPC Crimes # against Women - I (Col.42),Total IPC Crimes # against Women - V (Col.43),Total IPC Crimes # against Women - R (Col.44),"Dowry Prohibition Act, 1961 - I (Col.45)","Dowry Prohibition Act, 1961 - V (Col.46)","Dowry Prohibition Act, 1961 - R (Col.47)",Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act*** 1956 (Women Cases only)-Total - I (Col.48),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act*** 1956 (Women Cases only)-Total - V (Col.49),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Immoral Traffic (Prevention) Act*** 1956 (Women Cases only)-Total - R (Col.50),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/Inducing a Person for sake of Prostitution (Sec 5) - I (Col.48A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/Inducing a Person for sake of Prostitution (Sec 5) - V (Col.49A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Procuring/Inducing a Person for sake of Prostitution (Sec 5) - R (Col.50A),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - I (Col.48B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - V (Col.49B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Detaining a Person in Premises where prositution is carried on (Sec 6) - R (Col.50B),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - I (Col.48C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - V (Col.49C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Prostitution in the Vicinity of Public Places (Sec 7) - R (Col.50C),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - I (Col.48D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - V (Col.49D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Seducing or Soliciting for Prostitution (Sec 8) - R (Col.50D),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - I (Col.48E),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - V (Col.49E),Immoral Traffic (Prevention) Act 1956 (Women Cases only) - Other Sections of ITP Act - R (Col.50E),"Protection of Women from Domestic Violence Act, 2005 - I (Col.51)","Protection of Women from Domestic Violence Act, 2005 - V (Col.52)","Protection of Women from Domestic Violence Act, 2005 - R (Col.53)",Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act) - I (Col.54),Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act) - V (Col.55),Publishing or Transmitting of Material containing Sexually Explicit Act (Sec 67A IT Act) - R (Col.56),"Indecent Representation of Women (Prohibition) Act, 1986 - I (Col.57)","Indecent Representation of Women (Prohibition) Act, 1986 - V (Col.58)","Indecent Representation of Women (Prohibition) Act, 1986 - R (Col.59)",Total SLL Crimes against Women @ - I (Col.60),Total SLL Crimes against Women @ - V (Col.61),Total SLL Crimes against Women @ - R (Col.62),Total Crime against Women (IPC+SLL) - I (Col.63),Total Crime against Women (IPC+SLL) - V (Col.64),Total Crime against Women (IPC+SLL) - R (Col.65)
1,Andhra Pradesh,193,194,0.7,405,405,1.6,3,3,0,0,0,0,9,9,0,6461,6466,25.1,626,639,2.4,349,353,1.4,3,3,0,4,4,0,163,163,0.6,107,116,0.4,31,39,0.1,994,995,3.9,979,980,3.8,15,15,0.1,0,0,0,190,190,0.7,0,0,0,4829,5114,18.7,2356,2632,9.1,1305,1312,5.1,446,448,1.7,83,83,0.3,639,639,2.5,1831,1831,7.1,15572,15885,60.4,592,592,2.3,186,215,0.7,67,68,0.3,2,2,0,3,4,0,2,2,0,112,139,0.4,0,0,0,7,7,0,5,6,0,790,820,3.1,16362,16705,63.5
2,Arunachal Pradesh,1,1,0.2,4,4,0.6,0,0,0,0,0,0,0,0,0,50,51,7.9,85,91,13.5,28,30,4.4,0,0,0,1,1,0.2,19,19,3,37,41,5.9,1,1,0.2,92,92,14.7,90,90,14.4,2,2,0.3,0,0,0,15,15,2.4,0,0,0,109,111,17.4,99,101,15.8,4,4,0.6,3,3,0.5,1,1,0.2,2,2,0.3,10,10,1.6,367,376,58.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,376,58.7
3,Assam,157,157,1,0,0,0,0,0,0,0,0,0,9,9,0.1,9321,9321,58.7,5339,5342,33.6,189,192,1.2,7,7,0,7,7,0,4706,4706,29.6,430,430,2.7,67,84,0.4,1779,1779,11.2,1748,1748,11,31,31,0.2,0,0,0,370,370,2.3,0,0,0,3378,3378,21.3,1645,1645,10.4,677,677,4.3,937,937,5.9,31,31,0.2,88,88,0.6,34,34,0.2,20454,20474,128.7,234,234,1.5,65,66,0.4,14,14,0.1,2,3,0,3,3,0,0,0,0,46,46,0.3,2,2,0,114,114,0.7,0,0,0,415,416,2.6,20869,20890,131.3
4,Bihar,987,987,2,0,0,0,0,0,0,0,0,0,2,2,0,3794,3794,7.5,5496,5595,10.9,177,228,0.4,50,50,0.1,2,2,0,4323,4324,8.6,944,991,1.9,9,12,0,1008,1008,2,1000,1000,2,8,8,0,0,0,0,321,321,0.6,4,4,0,324,324,0.6,145,145,0.3,124,124,0.2,44,44,0.1,7,7,0,4,4,0,167,167,0.3,12112,12214,24,1058,1058,2.1,50,60,0.1,45,55,0.1,4,4,0,1,1,0,0,0,0,0,0,0,171,171,0.3,9,9,0,0,0,0,1288,1298,2.6,13400,13512,26.6
5,Chhattisgarh,84,84,0.6,189,189,1.5,0,0,0,2,2,0,0,0,0,622,623,4.8,1447,1527,11.2,927,984,7.2,1,1,0,1,1,0,359,360,2.8,159,181,1.2,28,59,0.2,1626,1627,12.6,1572,1573,12.1,54,54,0.4,0,0,0,20,20,0.2,2,2,0,1770,1773,13.7,1115,1116,8.6,244,246,1.9,329,329,2.5,11,11,0.1,71,71,0.5,101,101,0.8,5891,6007,45.5,19,19,0.1,17,18,0.1,4,5,0,0,0,0,0,0,0,0,0,0,13,13,0.1,3,3,0,17,17,0.1,0,0,0,56,57,0.4,5947,6064,45.9
6,Goa,2,2,0.2,1,1,0.1,0,0,0,0,0,0,1,2,0.1,23,23,2.5,69,81,7.5,59,68,6.4,0,0,0,0,0,0,0,0,0,10,13,1.1,35,75,3.8,61,61,6.7,61,61,6.7,0,0,0,0,0,0,0,0,0,0,0,0,143,146,15.6,76,78,8.3,41,42,4.5,5,5,0.5,2,2,0.2,19,19,2.1,32,35,3.5,367,426,39.9,0,0,0,3,4,0.3,2,3,0.2,0,0,0,0,0,0,0,0,0,1,1,0.1,0,0,0,1,1,0.1,0,0,0,4,5,0.4,371,431,40.5
7,Gujarat,12,12,0,270,271,0.9,1,1,0,0,0,0,9,9,0,3732,3738,12.5,2146,2241,7.2,893,957,3,1,1,0,3,3,0,1143,1149,3.8,106,131,0.4,0,0,0,982,986,3.3,966,970,3.2,14,14,0,2,2,0,5,5,0,2,2,0,1224,1227,4.1,548,549,1.8,473,474,1.6,86,87,0.3,30,30,0.1,87,87,0.3,59,59,0.2,8442,8551,28.3,0,0,0,76,90,0.3,54,66,0.2,7,7,0,8,10,0,4,4,0,3,3,0,0,0,0,14,14,0,0,0,0,90,104,0.3,8532,8655,28.7
8,Haryana,260,260,2.1,123,123,1,1,1,0,1,1,0,11,11,0.1,3313,3314,26.2,2697,2744,21.3,100,103,0.8,5,8,0,4,5,0,818,821,6.5,1770,1807,14,11,11,0.1,1187,1189,9.4,996,998,7.9,191,191,1.5,0,0,0,137,137,1.1,8,8,0.1,1860,1864,14.7,545,545,4.3,699,700,5.5,273,276,2.2,22,22,0.2,321,321,2.5,124,126,1,9733,9789,76.9,8,8,0.1,59,103,0.5,19,32,0.2,7,7,0.1,10,16,0.1,0,0,0,23,48,0.2,10,10,0.1,29,29,0.2,0,0,0,106,150,0.8,9839,9939,77.8
9,Himachal Pradesh,3,3,0.1,66,66,1.9,1,1,0,0,0,0,0,0,0,214,214,6.2,201,211,5.8,18,22,0.5,0,0,0,0,0,0,165,171,4.8,18,18,0.5,0,0,0,252,258,7.3,248,254,7.1,4,4,0.1,0,0,0,3,3,0.1,0,0,0,410,411,11.8,223,224,6.4,114,114,3.3,10,10,0.3,3,3,0.1,60,60,1.7,49,49,1.4,1199,1216,34.6,1,1,0,7,8,0.2,5,6,0.1,0,0,0,0,0,0,0,0,0,2,2,0.1,11,11,0.3,4,4,0.1,0,0,0,23,24,0.7,1222,1240,35.2
10,Jammu & Kashmir,6,6,0.1,65,65,1.1,0,0,0,0,0,0,0,0,0,342,342,5.7,774,774,13,293,293,4.9,0,0,0,0,0,0,197,197,3.3,284,284,4.8,0,0,0,256,256,4.3,255,255,4.3,1,1,0,0,0,0,17,17,0.3,1,1,0,1235,1254,20.7,883,883,14.8,253,272,4.2,91,91,1.5,1,1,0,7,7,0.1,153,153,2.6,2849,2868,47.8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2850,2869,47.8
11,Jharkhand,278,278,1.7,3,3,0,0,0,0,0,0,0,0,0,0,1002,1002,6.1,693,769,4.2,28,28,0.2,1,1,0,3,3,0,616,616,3.8,45,121,0.3,137,171,0.8,1109,1110,6.8,1032,1033,6.3,77,77,0.5,0,0,0,179,179,1.1,0,0,0,667,667,4.1,151,151,0.9,373,373,2.3,129,129,0.8,1,1,0,13,13,0.1,13,13,0.1,4081,4192,24.9,1371,1371,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1372,1372,8.4,5453,5564,33.2
12,Karnataka,234,234,0.8,218,220,0.7,2,2,0,0,0,0,4,4,0,2556,2567,8.3,1923,2023,6.2,1475,1557,4.8,1,1,0,10,12,0,178,178,0.6,259,275,0.8,11,21,0,1655,1671,5.4,1635,1650,5.3,20,21,0.1,0,0,0,16,16,0.1,1,1,0,5260,5313,17,3711,3743,12,703,716,2.3,675,682,2.2,36,36,0.1,135,136,0.4,160,160,0.5,12040,12232,39,1698,1698,5.5,323,464,1,222,333,0.7,13,17,0,29,32,0.1,16,21,0.1,43,61,0.1,0,0,0,70,70,0.2,0,0,0,2091,2232,6.8,14131,14464,45.8
13,Kerala,25,25,0.1,22,22,0.1,0,0,0,0,0,0,9,9,0,3455,3462,18.9,166,173,0.9,53,56,0.3,0,0,0,2,2,0,55,56,0.3,56,59,0.3,18,189,0.1,1656,1661,9.1,1637,1642,9,19,19,0.1,0,0,0,42,42,0.2,13,13,0.1,4029,4052,22.1,2277,2290,12.5,1273,1280,7,301,304,1.6,46,46,0.3,132,132,0.7,328,329,1.8,9763,9977,53.4,3,3,0,113,125,0.6,11,15,0.1,0,0,0,13,14,0.1,78,82,0.4,11,14,0.1,111,111,0.6,42,42,0.2,2,2,0,271,283,1.5,10034,10260,54.9
14,Madhya Pradesh,629,629,1.7,565,565,1.5,0,0,0,0,0,0,4,4,0,6264,6264,16.8,4904,4994,13.1,2489,2565,6.7,2,2,0,2,2,0,1975,1978,5.3,436,447,1.2,35,36,0.1,4882,4908,13.1,4656,4682,12.4,226,226,0.6,0,0,0,63,64,0.2,11,11,0,8717,8720,23.3,4486,4488,12,3128,3129,8.4,190,190,0.9,93,93,0.3,820,820,2,358,358,1,26432,26553,70.7,26,26,0.1,20,38,0.1,8,17,0,2,6,0,2,5,0,0,0,0,8,10,0,90,90,0.2,36,36,0.1,0,0,0,172,190,0.5,26604,26743,71.1
15,Maharashtra,248,248,0.4,756,768,1.3,2,2,0,0,0,0,2,2,0,7215,7215,12.6,6170,6417,10.7,4422,4595,7.7,4,4,0,5,5,0,1038,1050,1.8,701,763,1.2,12,13,0,4189,4216,7.3,4093,4120,7.1,96,96,0.2,0,0,0,12,12,0,36,39,0.1,11396,11454,19.8,5225,5241,9.1,4057,4071,7.1,400,404,0.7,127,127,0.2,1587,1611,2.8,924,958,1.6,30962,31344,53.9,38,38,0.1,303,559,0.5,99,150,0.2,3,10,0,36,118,0.1,125,223,0.2,40,58,0.1,2,2,0,83,83,0.1,0,0,0,426,682,0.7,31388,32026,54.6
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,31,2.2,95,101,7.4,2,2,0.2,0,0,0,0,0,0,75,77,5.8,18,22,1.4,1,1,0.1,55,55,4.3,55,55,4.3,0,0,0,0,0,0,3,3,0.2,0,0,0,65,66,5,35,35,2.7,15,16,1.2,9,9,0.7,1,1,0.1,5,5,0.4,5,5,0.4,253,262,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,262,19.6
