S. No. (Col.1),Category (Col.2),State/UT (Col.3),Cases Pending Investigation from Previous Year (Col.4),Cases Reported during the Year (Col.5),Total Cases for Investigation (Col.6) = (Col. 4+5),Cases Withdrawn by Govt. (Col.7),Cases Transferred to other PS or Magistrate (Col.8),Cases not Investigated U/S 157(1)(b) of Cr.PC (Col.9),Final Report - True but Insufficient Evidence (Col.10),Final Report - False (Col.11),Final Report - Mistake of Fact (Col.12),Final Report - Non-Cognizable (Col.13),Final Report - Total (Col.14) = (Col.10+ Col.11+ Col.12+Col.13),Cases in which Chargesheets were Submitted (Col.15),Total Cases Disposed off by Police (Col.16) = (Col.8+ Col.9+ Col.14+ Col.15),Cases Pending Investigation at the End of the Year (Col.17) = (col. 6- col. 16),Chargesheeting Rate (Col.18) = (Col.15/ Col.16) * 100,Pendency Percentage (Col.19) = (Col.17/ Col.6) * 100
1,State,Andhra Pradesh,54979,106774,161753,39,605,46,8602,5422,1453,239,15716,86306,102673,59041,84.1,36.5
2,State,Arunachal Pradesh,1876,2534,4410,0,3,0,792,160,94,99,1145,1657,2805,1605,59.1,36.4
3,State,Assam,112468,102250,214718,0,189,0,47693,21,165,26,47905,45586,93680,121038,48.7,56.4
4,State,Bihar,92265,164163,256428,1,4,0,19586,4609,4147,5755,34097,130005,164106,92321,79.2,36
5,State,Chhattisgarh,8167,55029,63196,0,4,27,7459,1757,1266,0,10482,46148,56661,6535,81.4,10.3
6,State,Goa,2803,2692,5495,0,8,0,708,11,145,6,870,1582,2460,3035,64.3,55.2
7,State,Gujarat,19126,147122,166248,127,36,28,17005,182,703,94,17984,128836,146884,19237,87.7,11.6
8,State,Haryana,17117,88527,105644,0,9,0,31756,10750,4,1189,43699,45766,89474,16170,51.2,15.3
9,State,Himachal Pradesh,2868,13386,16254,0,0,0,1481,941,216,0,2638,10537,13175,3079,80,18.9
10,State,Jammu & Kashmir,9905,24501,34406,0,0,0,3022,2315,5,0,5342,16515,21857,12549,75.6,36.5
11,State,Jharkhand,28060,40710,68770,0,3,0,12839,845,1399,434,15517,24560,40080,28690,61.3,41.7
12,State,Karnataka,71811,148402,220213,1,1058,9,21436,5898,1645,0,28979,105572,135618,84594,77.8,38.4
13,State,Kerala,38190,260097,298287,13,274,3,6074,2715,706,201,9696,247657,257630,40644,96.1,13.6
14,State,Madhya Pradesh,23379,264418,287797,7,31,51,12337,6333,16694,5933,41297,221817,263196,24594,84.3,8.5
15,State,Maharashtra,168839,261714,430553,13,312,22,68265,2193,8215,1761,80434,187788,268556,161984,69.9,37.6
16,State,Manipur,16501,3170,19671,4,0,0,1331,0,0,0,1331,899,2230,17437,40.3,88.6
17,State,Meghalaya,8899,3366,12265,0,3,0,2615,31,309,6,2961,1834,4798,7467,38.2,60.9
18,State,Mizoram,566,2425,2991,0,0,0,203,0,9,1,213,2144,2357,634,91,21.2
19,State,Nagaland,637,1376,2013,0,0,0,544,0,0,1,545,848,1393,620,60.9,30.8
20,State,Odisha,33368,81460,114828,14,30,0,8857,2004,3119,132,14112,67578,81720,33094,82.7,28.8
21,State,Punjab,28916,40007,68923,0,1,0,5269,4790,1774,4,11837,21752,33590,35333,64.8,51.3
22,State,Rajasthan,15955,180398,196353,1,116,4,27539,40398,20242,1105,89284,94245,183649,12703,51.3,6.5
23,State,Sikkim,368,809,1177,0,6,0,195,0,0,0,195,586,787,390,74.5,33.1
24,State,Tamil Nadu,83226,179896,263122,2,240,0,17613,15,5578,5,23211,139971,163422,99698,85.7,37.9
25,State,Telangana,39233,108991,148224,0,723,0,11115,4040,2146,1575,18876,83319,102918,45306,81,30.6
26,State,Tripura,1481,3933,5414,0,0,0,689,93,403,106,1291,2965,4256,1158,69.7,21.4
27,State,Uttar Pradesh,49017,282171,331188,0,4,0,94935,8445,0,76,103456,173382,276842,54346,62.6,16.4
28,State,Uttarakhand,3507,10867,14374,1,6,3,3210,511,0,25,3746,5682,9437,4936,60.2,34.3
29,State,West Bengal,72146,176569,248715,0,303,0,21680,0,0,2615,24295,146641,171239,77476,85.6,31.2
Total (States),State,Total (States),1005673,2757757,3763430,223,3968,193,454850,104479,70437,21388,651154,2042178,2697493,1065714,75.7,28.3
30,UT,A & N Islands,486,802,1288,0,0,0,58,2,18,3,81,582,663,625,87.8,48.5
31,UT,Chandigarh,1825,2996,4821,0,0,0,879,0,240,0,1119,1697,2816,2005,60.3,41.6
32,UT,D&N Haveli,264,244,508,1,0,0,37,32,2,8,79,233,312,195,74.7,38.4
33,UT,Daman & Diu,284,271,555,0,0,0,75,1,35,0,111,236,347,208,68,37.5
34,UT,Delhi,130933,209519,340452,20,294,85,114579,1029,6594,0,122202,46680,169261,171171,27.6,50.3
35,UT,Lakshadweep,67,36,103,0,0,0,0,0,12,0,12,31,43,60,72.1,58.3
36,UT,Puducherry,1255,4086,5341,0,3,0,463,3,15,33,514,3359,3876,1465,86.7,27.4
Total (UTs),UT,Total (UTs),135114,217954,353068,21,297,85,116091,1067,6916,44,124118,52818,177318,175729,29.8,49.8
Total (All India),Total (All India),Total (All India),1140787,2975711,4116498,244,4265,278,570941,105546,77353,21432,775272,2094996,2874811,1241443,72.9,30.2
